ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2018,2018-09-09,1,22.256,CLE,,PIT,T 21-21,,3,21,7.00,0
2,2018,2018-09-16,2,22.263,CLE,@,NOR,L 18-21,,2,14,7.00,0
3,2018,2018-09-20,3,22.267,CLE,,NYJ,W 21-17,,2,6,3.00,0
