ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1989,1989-10-15,6,22.335,NOR,,NYJ,W 29-14,0,0,,0,3,67,22.33,0,2,22,11.00,0
2,1989,1989-10-22,7,22.342,NOR,@,RAM,W 40-21,0,0,,0,3,65,21.67,0,5,48,9.60,0
3,1989,1989-10-29,8,22.349,NOR,,ATL,W 20-13,0,0,,0,0,0,,0,3,8,2.67,0
4,1989,1989-11-06,9,22.357,NOR,@,SFO,L 13-31,0,0,,0,3,57,19.00,0,4,51,12.75,0
5,1989,1989-11-12,10,22.363,NOR,@,NWE,W 28-24,0,0,,0,2,45,22.50,0,1,8,8.00,0
6,1989,1989-11-19,11,23.005,NOR,@,ATL,W 26-17,0,0,,0,1,19,19.00,0,3,7,2.33,0
7,1989,1989-11-26,12,23.012,NOR,,RAM,L 17-20,0,0,,0,3,63,21.00,0,3,14,4.67,0
8,1989,1989-12-03,13,23.019,NOR,@,DET,L 14-21,0,0,,0,1,8,8.00,0,6,38,6.33,0
9,1989,1989-12-10,14,23.026,NOR,@,BUF,W 22-19,0,0,,0,2,36,18.00,0,0,0,,0
10,1989,1989-12-18,15,23.034,NOR,,PHI,W 30-20,0,0,,0,1,18,18.00,0,0,0,,0
11,1989,1989-12-24,16,23.040,NOR,,IND,W 41-6,,,,,0,0,,0,0,0,,0
12,1990,1990-09-09,1,23.299,DAL,,SDG,W 17-14,0,0,,0,0,0,,0,1,0,0.00,0
13,1990,1990-09-23,3,23.313,DAL,@,WAS,L 15-19,0,0,,0,1,0,0.00,0,2,14,7.00,0
14,1990,1990-09-30,4,23.320,DAL,@,NYG,L 17-31,0,0,,0,0,0,,0,2,5,2.50,0
15,1990,1990-10-07,5,23.327,DAL,,TAM,W 14-10,0,0,,0,0,0,,0,3,17,5.67,0
16,1990,1990-10-14,6,23.334,DAL,@,PHO,L 3-20,0,0,,0,0,0,,0,2,13,6.50,0
17,1990,1990-10-21,7,23.341,DAL,@,TAM,W 17-13,0,0,,0,0,0,,0,1,4,4.00,0
18,1990,1990-10-28,8,23.348,DAL,,PHI,L 20-21,0,0,,0,0,0,,0,1,10,10.00,0
19,1990,1990-12-09,13,24.025,PHI,@,MIA,L 20-23,0,0,,0,0,0,,0,3,30,10.00,0
20,1990,1990-12-16,14,24.032,PHI,,GNB,W 31-0,0,0,,0,0,0,,0,6,91,15.17,0
21,1990,1990-12-23,15,24.039,PHI,,DAL,W 17-3,0,0,,0,1,44,44.00,0,4,24,6.00,0
22,1990,1990-12-29,16,24.045,PHI,@,PHO,W 23-21,0,0,,0,0,0,,0,3,6,2.00,0
23,1991,1991-09-01,1,24.291,PHI,@,GNB,W 20-3,0,0,,0,0,0,,0,6,49,8.17,0
24,1991,1991-09-08,2,24.298,PHI,,PHO,L 10-26,1,22,22.00,0,0,0,,0,5,41,8.20,0
25,1991,1991-09-15,3,24.305,PHI,@,DAL,W 24-0,0,0,,0,0,0,,0,5,58,11.60,0
26,1991,1991-09-22,4,24.312,PHI,,PIT,W 23-14,0,0,,0,2,49,24.50,0,4,36,9.00,0
27,1991,1991-09-30,5,24.320,PHI,@,WAS,L 0-23,1,6,6.00,0,6,87,14.50,0,2,28,14.00,0
28,1991,1991-10-06,6,24.326,PHI,@,TAM,L 13-14,0,0,,0,1,12,12.00,0,3,26,8.67,0
29,1991,1991-10-13,7,24.333,PHI,,NOR,L 6-13,0,0,,0,0,0,,0,4,54,13.50,0
30,1991,1991-10-27,8,24.347,PHI,,SFO,L 7-23,0,0,,0,2,44,22.00,0,3,11,3.67,0
31,1991,1991-11-04,9,24.355,PHI,,NYG,W 30-7,0,0,,0,2,41,20.50,0,4,35,8.75,0
32,1991,1991-11-10,10,24.361,PHI,@,CLE,W 32-30,0,0,,0,3,55,18.33,0,2,25,12.50,0
33,1991,1991-11-17,11,25.003,PHI,,CIN,W 17-10,0,0,,0,1,27,27.00,0,2,14,7.00,0
34,1991,1991-11-24,12,25.010,PHI,@,PHO,W 34-14,0,0,,0,1,33,33.00,0,3,6,2.00,0
35,1991,1991-12-02,13,25.018,PHI,@,HOU,W 13-6,0,0,,0,1,12,12.00,0,3,2,0.67,0
36,1991,1991-12-08,14,25.024,PHI,@,NYG,W 19-14,0,0,,0,3,56,18.67,0,1,13,13.00,0
37,1991,1991-12-15,15,25.031,PHI,,DAL,L 13-25,0,0,,0,6,57,9.50,0,3,15,5.00,0
38,1991,1991-12-22,16,25.038,PHI,,WAS,W 24-22,0,0,,0,0,0,,0,3,3,1.00,0
