ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-01,1,23.196,MIA,@,BUF,L 31-35,,,,,,,,,,,,,,,,,,
2,1991,1991-09-08,2,23.203,MIA,,IND,W 17-6,,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
3,1991,1991-09-15,3,23.210,MIA,@,DET,L 13-17,,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
4,1991,1991-09-22,4,23.217,MIA,,GNB,W 16-13,,,,,,,,,,,,,,,,,,
5,1991,1991-09-29,5,23.224,MIA,@,NYJ,L 23-41,,,,,,,,,,,,,,,,,,
6,1991,1991-11-03,9,23.259,MIA,@,IND,W 10-6,,,,,,,,,,,,,,,,,,
7,1991,1991-11-10,10,23.266,MIA,,NWE,W 30-20,,,,,,,,,,,,,,,,,,
8,1991,1991-11-18,11,23.274,MIA,,BUF,L 27-41,,,,,,,,,,,,,,,,,,
9,1991,1991-11-24,12,23.280,MIA,@,CHI,W 16-13,,,,,,,,,,,,,,,,,,
10,1991,1991-12-01,13,23.287,MIA,,TAM,W 33-14,,,,,,,,,,,,,,,,,,
11,1991,1991-12-09,14,23.295,MIA,,CIN,W 37-13,,,,,,,,,,,,,,,,,,
12,1991,1991-12-15,15,23.301,MIA,@,SDG,L 30-38,,,,,,,,,,,,,,,,,,
13,1991,1991-12-22,16,23.308,MIA,,NYJ,L 20-23,,,,,,,,,,,,,,,,,,
14,1992,1992-09-14,1,24.210,MIA,@,CLE,W 27-23,,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
15,1992,1992-09-20,2,24.216,MIA,,RAM,W 26-10,,,0,0,,0,0.0%,,0,0,,0,0,0,2.0,0,0,0
16,1992,1992-09-27,3,24.223,MIA,@,SEA,W 19-17,,,0,0,,0,0.0%,,0,0,,0,0,0,2.0,1,0,0
17,1992,1992-10-04,4,24.230,MIA,@,BUF,W 37-10,,,0,0,,0,0.0%,,0,0,,0,0,0,2.0,0,0,0
18,1992,1992-10-11,5,24.237,MIA,,ATL,W 21-17,,,,,,,0.0%,,,,,,,,,,,
19,1992,1992-10-18,6,24.244,MIA,,NWE,W 38-17,,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
20,1992,1992-10-25,7,24.251,MIA,,IND,L 20-31,,,,,,,0.0%,,,,,,,,,,,
21,1992,1992-11-01,8,24.258,MIA,@,NYJ,L 14-26,,,0,0,,0,0.0%,,0,0,,0,0,0,2.0,0,0,0
22,1992,1992-11-08,9,24.265,MIA,@,IND,W 28-0,,,,,,,0.0%,,,,,,,,,,,
23,1992,1992-11-16,10,24.273,MIA,,BUF,L 20-26,,,,,,,0.0%,,,,,,,,,,,
24,1992,1992-11-22,11,24.279,MIA,,HOU,W 19-16,,,,,,,0.0%,,,,,,,,,,,
25,1992,1992-11-29,12,24.286,MIA,@,NOR,L 13-24,,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
26,1992,1992-12-06,13,24.293,MIA,@,SFO,L 3-27,,,,,,,0.0%,,,,,,,,,,,
27,1992,1992-12-14,14,24.301,MIA,,RAI,W 20-7,,,0,0,,0,0.0%,,0,0,,0,0,0,2.0,0,0,0
28,1992,1992-12-20,15,24.307,MIA,,NYJ,W 19-17,,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
29,1992,1992-12-27,16,24.314,MIA,@,NWE,W 16-13,,,,,,,0.0%,,,,,,,,,,,
30,1993,1993-09-05,1,25.200,MIA,@,IND,W 24-20,,,,,,,0.0%,,,,,,,,,,,
31,1993,1993-09-12,2,25.207,MIA,,NYJ,L 14-24,,,,,,,0.0%,,,,,,,,,,,
32,1993,1993-09-26,3,25.221,MIA,@,BUF,W 22-13,,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
33,1993,1993-10-04,4,25.229,MIA,,WAS,W 17-10,,,,,,,0.0%,,,,,,,,,,,
34,1993,1993-10-10,5,25.235,MIA,@,CLE,W 24-14,,,0,0,,0,0.0%,,0,0,,0,0,0,2.0,0,0,0
35,1993,1993-10-24,6,25.249,MIA,,IND,W 41-27,,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
