ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1965,1965-09-11,1,22.193,SDG,,DEN,W 34-31,3,-7,-2.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
2,1965,1965-09-26,3,22.208,SDG,,KAN,T 10-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,37,18.50,0,0,0,0,0,,0
3,1965,1965-10-03,4,22.215,SDG,,HOU,W 31-14,9,34,3.78,0,2,25,12.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
4,1965,1965-10-10,5,22.222,SDG,@,BUF,W 34-3,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
5,1965,1965-10-17,6,22.229,SDG,@,BOS,T 13-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,0,0,,0
6,1965,1965-10-23,7,22.235,SDG,@,NYJ,W 34-9,0,0,,0,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
7,1965,1965-10-31,8,22.243,SDG,,BOS,L 6-22,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
8,1965,1965-11-07,9,22.250,SDG,@,DEN,W 35-21,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,0,0,,0
9,1965,1965-12-04,12,22.277,SDG,,NYJ,W 38-7,2,19,9.50,0,1,15,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,33,33.00,0
10,1965,1965-12-12,13,22.285,SDG,@,HOU,W 37-26,2,-5,-2.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
11,1965,1965-12-19,14,22.292,SDG,,OAK,W 24-14,13,47,3.62,0,4,70,17.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,39,39.00,0
12,1966,1966-09-04,1,23.186,SDG,,BUF,W 27-7,5,37,7.40,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
13,1966,1966-09-10,2,23.192,SDG,,BOS,W 24-0,3,64,21.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
14,1966,1966-09-25,3,23.207,SDG,@,OAK,W 29-20,6,22,3.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
15,1966,1966-10-08,5,23.220,SDG,@,NYJ,L 16-17,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
16,1966,1966-10-16,6,23.228,SDG,@,BUF,T 17-17,2,9,4.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
17,1966,1966-10-23,7,23.235,SDG,@,BOS,L 17-35,1,3,3.00,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
18,1966,1966-11-06,9,23.249,SDG,@,KAN,L 14-24,1,5,5.00,0,4,17,4.25,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
19,1966,1966-11-13,10,23.256,SDG,,OAK,L 19-41,3,3,1.00,0,4,35,8.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
20,1966,1966-11-27,11,23.270,SDG,@,DEN,L 17-20,0,0,,0,1,17,17.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
21,1966,1966-12-04,12,23.277,SDG,@,HOU,W 28-22,1,1,1.00,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
22,1966,1966-12-11,13,23.284,SDG,,NYJ,W 42-27,6,58,9.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
