ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2003,2003-09-07,1,22.154,CLE,,IND,L 6-9,*,,,,,,,,,,0.0%,,,,
2,2003,2003-09-14,2,22.161,CLE,@,BAL,L 13-33,*,,,,,,,,,,0.0%,,,,
3,2003,2003-09-21,3,22.168,CLE,@,SFO,W 13-12,*,,,,,,,,,,0.0%,,,,
4,2003,2003-09-28,4,22.175,CLE,,CIN,L 14-21,*,,,,,,,,,,0.0%,,,,
5,2003,2003-10-05,5,22.182,CLE,@,PIT,W 33-13,*,1,0,0.00,0,0,0,0,,0,0.0%,,0.0,,
6,2003,2003-10-12,6,22.189,CLE,,OAK,W 13-7,*,,,,,0,,,,,0.0%,,,,
7,2003,2003-11-09,9,22.217,CLE,@,KAN,L 20-41,*,,,,,,,,,,0.0%,,,,
8,2003,2003-11-16,10,22.224,CLE,,ARI,W 44-6,*,,,,,,,,,,0.0%,,,,
9,2003,2003-11-23,11,22.231,CLE,,PIT,L 6-13,*,,,,,,,,,,0.0%,,,,
10,2004,2004-09-12,1,23.159,CLE,,BAL,W 20-3,*,,,,,,,,,,0.0%,,,,
11,2004,2004-09-19,2,23.166,CLE,@,DAL,L 12-19,*,,,,,,,,,,0.0%,,,,
12,2004,2004-09-26,3,23.173,CLE,@,NYG,L 10-27,*,,,,,,,,,,0.0%,,,,
13,2004,2004-10-03,4,23.180,CLE,,WAS,W 17-13,*,,,,,,,,,,0.0%,,,,
14,2004,2004-10-10,5,23.187,CLE,@,PIT,L 23-34,*,,,,,,,,,,0.0%,,,,
15,2004,2004-10-17,6,23.194,CLE,,CIN,W 34-17,*,,,,,,,,,,0.0%,,,,
16,2004,2004-10-24,7,23.201,CLE,,PHI,L 31-34,*,,,,,,,,,,0.0%,,,,
17,2004,2004-11-07,8,23.215,CLE,@,BAL,L 13-27,*,,,,,,,,,,0.0%,,,,
18,2004,2004-11-14,9,23.222,CLE,,PIT,L 10-24,*,,,,,,,,,,0.0%,,,,
19,2004,2004-11-21,10,23.229,CLE,,NYJ,L 7-10,*,,,,,,,,,,0.0%,,,,
20,2004,2004-11-28,11,23.236,CLE,@,CIN,L 48-58,*,,,,,,,,,,0.0%,,,,
21,2004,2004-12-05,12,23.243,CLE,,NWE,L 15-42,*,,,,,,,,,,0.0%,,,,
22,2004,2004-12-12,13,23.250,CLE,@,BUF,L 7-37,*,,,,,,,,,,0.0%,,,,
23,2005,2005-09-11,1,24.158,CLE,,CIN,L 13-27,*,0,0,,0,1,1,-1,-1.00,0,100.0%,-1.00,0.0,,
24,2005,2005-09-18,2,24.165,CLE,@,GNB,W 26-24,*,,,,,,,,,,0.0%,,,,
25,2005,2005-09-25,3,24.172,CLE,@,IND,L 6-13,*,,,,,,,,,,0.0%,,,,
26,2005,2005-10-09,4,24.186,CLE,,CHI,W 20-10,*,,,,,,,,,,0.0%,,,,
27,2005,2005-10-16,5,24.193,CLE,@,BAL,L 3-16,*,,,,,0,,,,,0.0%,,,,
28,2005,2005-10-23,6,24.200,CLE,,DET,L 10-13,*,,,,,0,,,,,0.0%,,,,
29,2005,2005-10-30,7,24.207,CLE,@,HOU,L 16-19,*,,,,,,,,,,0.0%,,,,
30,2005,2005-11-06,8,24.214,CLE,,TEN,W 20-14,*,,,,,,,,,,0.0%,,,,
31,2005,2005-11-13,9,24.221,CLE,@,PIT,L 21-34,*,,,,,,,,,,0.0%,,,,
32,2005,2005-11-20,10,24.228,CLE,,MIA,W 22-0,*,,,,,,,,,,0.0%,,,,
33,2005,2005-11-27,11,24.235,CLE,@,MIN,L 12-24,*,,,,,,,,,,0.0%,,,,
34,2005,2005-12-04,12,24.242,CLE,,JAX,L 14-20,*,,,,,,,,,,0.0%,,,,
35,2005,2005-12-11,13,24.249,CLE,@,CIN,L 20-23,*,,,,,0,,,,,0.0%,,,,
36,2005,2005-12-18,14,24.256,CLE,@,OAK,W 9-7,*,,,,,,,,,,0.0%,,,,
37,2006,2006-09-10,1,25.157,NOR,@,CLE,W 19-14,*,,,,,,,,,,0.0%,,,,
38,2006,2006-09-17,2,25.164,NOR,@,GNB,W 34-27,*,,,,,,,,,,0.0%,,,,
39,2006,2006-09-25,3,25.172,NOR,,ATL,W 23-3,*,,,,,,,,,,0.0%,,,,
40,2006,2006-10-01,4,25.178,NOR,@,CAR,L 18-21,*,,,,,,,,,,0.0%,,,,
41,2006,2006-10-08,5,25.185,NOR,,TAM,W 24-21,*,,,,,,,,,,0.0%,,,,
42,2006,2006-10-15,6,25.192,NOR,,PHI,W 27-24,*,,,,,,,,,,0.0%,,,,
43,2006,2006-10-29,7,25.206,NOR,,BAL,L 22-35,*,,,,,0,,,,,0.0%,,,,
44,2006,2006-11-05,8,25.213,NOR,@,TAM,W 31-14,*,,,,,,,,,,0.0%,,,,
45,2006,2006-11-12,9,25.220,NOR,@,PIT,L 31-38,*,,,,,,,,,,0.0%,,,,
46,2006,2006-11-19,10,25.227,NOR,,CIN,L 16-31,*,,,,,0,,,,,0.0%,,,,
47,2006,2006-11-26,11,25.234,NOR,@,ATL,W 31-13,*,,,,,,,,,,0.0%,,,,
48,2006,2006-12-03,12,25.241,NOR,,SFO,W 34-10,*,,,,,,,,,,0.0%,,,,
49,2006,2006-12-10,13,25.248,NOR,@,DAL,W 42-17,*,,,,,,,,,,0.0%,,,,
50,2006,2006-12-17,14,25.255,NOR,,WAS,L 10-16,*,,,,,,,,,,0.0%,,,,
51,2006,2006-12-24,15,25.262,NOR,@,NYG,W 30-7,*,,,,,,,,,,0.0%,,,,
52,2006,2006-12-31,16,25.269,NOR,,CAR,L 21-31,*,,,,,,,,,,0.0%,,,,
53,2007,2007-09-06,1,26.153,NOR,@,IND,L 10-41,*,,,,,,,,,,0.0%,,,,
54,2007,2007-09-16,2,26.163,NOR,@,TAM,L 14-31,*,,,,,,,,,,0.0%,,,,
55,2007,2007-09-24,3,26.171,NOR,,TEN,L 14-31,*,,,,,0,,,,,0.0%,,,,
56,2007,2007-10-07,4,26.184,NOR,,CAR,L 13-16,*,,,,,,,,,,0.0%,,,,
57,2007,2007-10-14,5,26.191,NOR,@,SEA,W 28-17,*,,,,,,,,,,0.0%,,,,
58,2007,2007-10-21,6,26.198,NOR,,ATL,W 22-16,*,,,,,,,,,,0.0%,,,,
59,2007,2007-11-11,9,26.219,NOR,,STL,L 29-37,*,,,,,,,,,,0.0%,,,,
60,2007,2007-11-18,10,26.226,NOR,@,HOU,L 10-23,*,,,,,,,,,,0.0%,,,,
61,2007,2007-11-25,11,26.233,NOR,@,CAR,W 31-6,*,,,,,,,,,,0.0%,,,,
62,2007,2007-12-02,12,26.240,NOR,,TAM,L 23-27,*,,,,,,,,,,0.0%,,,,
63,2007,2007-12-10,13,26.248,NOR,@,ATL,W 34-14,*,,,,,0,,,,,0.0%,,,,
64,2007,2007-12-16,14,26.254,NOR,,ARI,W 31-24,*,,,,,,,,,,0.0%,,,,
65,2007,2007-12-23,15,26.261,NOR,,PHI,L 23-38,*,,,,,,,,,,0.0%,,,,
66,2007,2007-12-30,16,26.268,NOR,@,CHI,L 25-33,*,,,,,,,,,,0.0%,,,,
