ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1969,1969-11-02,7,22.183,ATL,,RAM,L 6-38,1,17,17.00,0,0,0,,0,0,0,0,0,0
2,1969,1969-11-09,8,22.190,ATL,@,DET,L 21-27,0,0,,0,1,0,0.00,0,0,0,0,0,0
3,1969,1969-11-16,9,22.197,ATL,,CHI,W 48-31,0,0,,0,1,0,0.00,0,0,0,0,0,0
4,1969,1969-12-14,13,22.225,ATL,@,PHI,W 27-3,1,32,32.00,0,2,-11,-5.50,0,0,0,0,0,0
5,1970,1970-09-20,1,23.140,ATL,@,NOR,W 14-3,,,,,,,,,,,,,
6,1970,1970-09-27,2,23.147,ATL,@,GNB,L 24-27,,,,,,,,,,,,,
7,1970,1970-10-04,3,23.154,ATL,,SFO,W 21-20,0,0,,0,2,17,8.50,0,0,0,0,0,0
8,1970,1970-10-11,4,23.161,ATL,@,DAL,L 0-13,0,0,,0,2,11,5.50,0,0,0,0,0,0
9,1970,1970-10-18,5,23.168,ATL,@,DEN,L 10-24,0,0,,0,2,10,5.00,0,0,0,0,0,0
10,1970,1970-10-25,6,23.175,ATL,,NOR,W 32-14,0,0,,0,1,77,77.00,1,1,6,0,0,0
11,1970,1970-11-01,7,23.182,ATL,,CHI,L 14-23,,,,,,,,,,,,,
12,1970,1970-11-08,8,23.189,ATL,@,RAM,T 10-10,,,,,,,,,,,,,
13,1970,1970-11-15,9,23.196,ATL,@,PHI,T 13-13,0,0,,0,2,11,5.50,0,0,0,0,0,0
14,1970,1970-11-22,10,23.203,ATL,,RAM,L 7-17,0,0,,0,1,2,2.00,0,0,0,0,0,0
15,1970,1970-11-30,11,23.211,ATL,,MIA,L 7-20,,,,,,,,,,,,,
16,1970,1970-12-06,12,23.217,ATL,@,SFO,L 20-24,0,0,,0,1,5,5.00,0,0,0,0,0,0
17,1970,1970-12-13,13,23.224,ATL,,PIT,W 27-16,0,0,,0,1,5,5.00,0,0,0,0,0,0
18,1970,1970-12-20,14,23.231,ATL,,MIN,L 7-37,0,0,,0,2,0,0.00,0,0,0,1,32,0
19,1971,1971-09-19,1,24.139,ATL,,SFO,W 20-17,0,0,,0,0,0,,0,0,0,1,0,0
20,1971,1971-09-26,2,24.146,ATL,@,RAM,T 20-20,0,0,,0,1,8,8.00,0,0,0,0,0,0
21,1971,1971-10-03,3,24.153,ATL,@,DET,L 38-41,,,,,,,,,,,,,
22,1971,1971-10-10,4,24.160,ATL,,STL,L 9-26,,,,,,,,,,,,,
