ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2002,2002-09-05,1,23.215,NYG,,SFO,L 13-16,*,0,,,,,0.0%,,,,,,,,,,,,,
2,2002,2002-09-15,2,23.225,NYG,@,STL,W 26-21,,0,0,0,,0,0.0%,,0,0,,0,2,45,22.50,0,0,0,,0
3,2002,2002-09-22,3,23.232,NYG,,SEA,W 9-6,,0,0,0,,0,0.0%,,0,0,,0,2,28,14.00,0,3,1,0.33,0
4,2002,2002-09-29,4,23.239,NYG,@,ARI,L 7-21,,0,0,0,,0,0.0%,,0,0,,0,3,74,24.67,0,3,27,9.00,0
5,2002,2002-10-06,5,23.246,NYG,@,DAL,W 21-17,*,0,,,,,0.0%,,,,,,,,,,,,,
6,2002,2002-10-13,6,23.253,NYG,,ATL,L 10-17,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0
7,2002,2002-11-03,8,23.274,NYG,,JAX,W 24-17,,,,,,,0.0%,,,,,,,,,,,,,
8,2002,2002-11-10,9,23.281,NYG,@,MIN,W 27-20,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0
9,2002,2002-11-17,10,23.288,NYG,,WAS,W 19-17,*,4,,,,,0.0%,,,,,,,,,,,,,
10,2002,2002-11-24,11,23.295,NYG,@,HOU,L 14-16,*,3,1,18,18.00,0,33.3%,6.00,0,0,,0,0,0,,0,0,0,,0
11,2002,2002-12-01,12,23.302,NYG,,TEN,L 29-32,,1,,,,,0.0%,,,,,,,,,,,,,
12,2002,2002-12-08,13,23.309,NYG,@,WAS,W 27-21,*,,3,41,13.67,0,,,1,4,4.00,0,0,0,,0,0,0,,0
13,2002,2002-12-15,14,23.316,NYG,,DAL,W 37-7,*,3,1,12,12.00,0,33.3%,4.00,0,0,,0,1,10,10.00,0,0,0,,0
14,2002,2002-12-22,15,23.323,NYG,@,IND,W 44-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,2,38,19.00,0,0,0,,0
15,2002,2002-12-28,16,23.329,NYG,,PHI,W 10-7,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0
16,2004,2004-09-12,1,25.223,CHI,,DET,L 16-20,,1,0,0,,0,0.0%,0.00,0,0,,0,4,70,17.50,0,0,0,,0
17,2004,2004-09-19,2,25.230,CHI,@,GNB,W 21-10,,1,0,0,,0,0.0%,0.00,0,0,,0,2,42,21.00,0,0,0,,0
