ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,2004,2004-11-28,11,24.007,CLE,@,CIN,L 48-58,,,,,,,,,,,0.0%,,,,,,,,,0,,,
2,2004,2004-12-05,12,24.014,CLE,,NWE,L 15-42,,3,12,4.00,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,,,
3,2004,2004-12-12,13,24.021,CLE,@,BUF,L 7-37,,5,13,2.60,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,
4,2004,2004-12-19,14,24.028,CLE,,SDG,L 0-21,,0,0,,0,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
5,2005,2005-12-25,15,25.034,MIN,@,BAL,L 23-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
6,2005,2006-01-01,16,25.041,MIN,,CHI,W 34-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
7,2006,2006-11-26,11,26.005,OAK,@,SDG,L 14-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
8,2006,2006-12-03,12,26.012,OAK,,HOU,L 14-23,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
9,2006,2006-12-23,15,26.032,OAK,,KAN,L 9-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
10,2006,2006-12-31,16,26.040,OAK,@,NYJ,L 3-23,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
11,2007,2007-09-23,3,26.306,OAK,,CLE,W 26-24,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
12,2007,2007-09-30,4,26.313,OAK,@,MIA,W 35-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,
13,2007,2007-10-28,8,26.341,HOU,@,SDG,L 10-35,,10,62,6.20,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,,,,
14,2007,2007-11-04,9,26.348,HOU,@,OAK,W 24-17,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,
15,2007,2007-11-18,10,26.362,HOU,,NOR,W 23-10,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,
16,2007,2007-11-25,11,27.004,HOU,@,CLE,L 17-27,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,
17,2007,2007-12-02,12,27.011,HOU,@,TEN,L 20-28,,5,8,1.60,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,
18,2007,2007-12-09,13,27.018,HOU,,TAM,W 28-14,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,
19,2007,2007-12-13,14,27.022,HOU,,DEN,W 31-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,
