ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1985,1985-09-09,1,23.235,DAL,,WAS,W 44-14,0,0,,0,0,0,,0
2,1985,1985-09-15,2,23.241,DAL,@,DET,L 21-26,0,0,,0,1,17,17.00,0
3,1985,1985-09-22,3,23.248,DAL,,CLE,W 20-7,1,1,1.00,0,0,0,,0
4,1985,1985-09-29,4,23.255,DAL,@,HOU,W 17-10,0,0,,0,0,0,,0
5,1985,1985-10-06,5,23.262,DAL,@,NYG,W 30-29,0,0,,0,0,0,,0
6,1985,1985-10-13,6,23.269,DAL,,PIT,W 27-13,0,0,,0,0,0,,0
7,1985,1985-10-20,7,23.276,DAL,@,PHI,L 14-16,0,0,,0,0,0,,0
8,1985,1985-10-27,8,23.283,DAL,,ATL,W 24-10,1,32,32.00,0,0,0,,0
9,1985,1985-11-04,9,23.291,DAL,@,STL,L 10-21,2,27,13.50,0,0,0,,0
10,1985,1985-11-17,11,23.304,DAL,,CHI,L 0-44,0,0,,0,0,0,,0
11,1985,1985-11-24,12,23.311,DAL,,PHI,W 34-17,0,0,,0,0,0,,0
12,1985,1985-11-28,13,23.315,DAL,,STL,W 35-17,1,6,6.00,0,0,0,,0
13,1985,1985-12-08,14,23.325,DAL,@,CIN,L 24-50,0,0,,0,0,0,,0
14,1985,1985-12-15,15,23.332,DAL,,NYG,W 28-21,2,44,22.00,0,0,0,,0
15,1985,1985-12-22,16,23.339,DAL,@,SFO,L 16-31,7,127,18.14,0,0,0,,0
16,1986,1986-09-08,1,24.234,DAL,,NYG,W 31-28,,,,,,,,
