ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,2001,2001-09-09,1,24.050,OAK,@,KAN,W 27-24,,
2,2001,2001-10-07,4,24.078,OAK,,DAL,W 28-21,,
3,2001,2002-01-06,16,24.169,OAK,,NYJ,L 22-24,,
4,2002,2002-10-13,5,25.084,OAK,@,STL,L 13-28,,
5,2002,2002-10-27,7,25.098,OAK,@,KAN,L 10-20,,
6,2002,2002-11-11,9,25.113,OAK,@,DEN,W 34-10,,1.0
7,2002,2002-11-17,10,25.119,OAK,,NWE,W 27-20,,
8,2002,2002-11-24,11,25.126,OAK,@,ARI,W 41-20,,
9,2002,2002-12-28,16,25.160,OAK,,KAN,W 24-0,,
10,2003,2003-09-14,2,26.055,HOU,@,NOR,L 10-31,,
11,2003,2003-10-12,5,26.083,HOU,@,TEN,L 17-38,,
12,2003,2003-10-19,6,26.090,HOU,,NYJ,L 14-19,,
13,2003,2003-10-26,7,26.097,HOU,@,IND,L 21-30,*,
14,2003,2003-11-02,8,26.104,HOU,,CAR,W 14-10,*,
15,2003,2003-11-09,9,26.111,HOU,@,CIN,L 27-34,*,
16,2003,2003-11-16,10,26.118,HOU,@,BUF,W 12-10,,
17,2003,2003-11-23,11,26.125,HOU,,NWE,L 20-23,,0.5
18,2003,2003-11-30,12,26.132,HOU,,ATL,W 17-13,,
19,2003,2003-12-07,13,26.139,HOU,@,JAX,L 0-27,,
20,2003,2003-12-14,14,26.146,HOU,@,TAM,L 3-16,,
21,2003,2003-12-21,15,26.153,HOU,,TEN,L 24-27,,
22,2003,2003-12-28,16,26.160,HOU,,IND,L 17-20,*,
23,2004,2004-09-26,3,27.067,HOU,@,KAN,W 24-21,,
24,2004,2004-10-10,5,27.081,HOU,,MIN,L 28-34,,
25,2004,2004-11-21,10,27.123,HOU,,GNB,L 13-16,,
26,2005,2005-09-18,2,28.059,HOU,,PIT,L 7-27,,
27,2005,2005-10-02,3,28.073,HOU,@,CIN,L 10-16,,
28,2005,2005-10-09,4,28.080,HOU,,TEN,L 20-34,,
29,2005,2005-10-16,5,28.087,HOU,@,SEA,L 10-42,,
30,2005,2005-10-23,6,28.094,HOU,,IND,L 20-38,*,
31,2005,2005-10-30,7,28.101,HOU,,CLE,W 19-16,,
32,2005,2005-11-06,8,28.108,HOU,@,JAX,L 14-21,,
33,2005,2005-11-13,9,28.115,HOU,@,IND,L 17-31,,
34,2005,2005-11-20,10,28.122,HOU,,KAN,L 17-45,,
35,2005,2005-11-27,11,28.129,HOU,,STL,L 27-33,,
36,2005,2005-12-04,12,28.136,HOU,@,BAL,L 15-16,,
