ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1978,1978-09-03,1,25.144,GNB,@,DET,W 13-7,,,,,,,,,,
2,1978,1978-09-10,2,25.151,GNB,,NOR,W 28-17,,,,,,,,,,
3,1978,1978-09-17,3,25.158,GNB,,OAK,L 3-28,,,,,,,,,,
4,1978,1978-09-24,4,25.165,GNB,@,SDG,W 24-3,,,,,,,,,,
5,1978,1978-10-01,5,25.172,GNB,,DET,W 35-14,,,,,,,,,,
6,1978,1978-10-08,6,25.179,GNB,,CHI,W 24-14,,,,,,,,,,
7,1978,1978-10-15,7,25.186,GNB,,SEA,W 45-28,,,,,,,,,,
8,1978,1978-10-22,8,25.193,GNB,@,MIN,L 7-21,,,,,,,,,,
9,1978,1978-10-29,9,25.200,GNB,,TAM,W 9-7,,,,,,,,,,
10,1978,1978-11-05,10,25.207,GNB,@,PHI,L 3-10,,,,,,,,,,
11,1978,1978-11-12,11,25.214,GNB,,DAL,L 14-42,,,,,,,,,,
12,1978,1978-11-19,12,25.221,GNB,@,DEN,L 3-16,,,,,,,,,,
13,1978,1978-11-26,13,25.228,GNB,,MIN,T 10-10,,,,,,,,,,
14,1978,1978-12-03,14,25.235,GNB,@,TAM,W 17-7,,,,,,,,,,
15,1978,1978-12-10,15,25.242,GNB,@,CHI,L 0-14,,,,,,,,,,
16,1978,1978-12-17,16,25.249,GNB,@,RAM,L 14-31,0,0,,0,1,0,0.00,0,0,0
17,1979,1979-09-02,1,26.143,GNB,@,CHI,L 3-6,1,8,8.00,0,0,0,,0,0,0
18,1979,1979-09-09,2,26.150,GNB,,NOR,W 28-19,1,12,12.00,0,0,0,,0,0,0
19,1979,1979-09-16,3,26.157,GNB,,TAM,L 10-21,2,36,18.00,0,0,0,,0,0,0
20,1979,1979-09-23,4,26.164,GNB,@,MIN,L 21-27,,,,,,,,,,
21,1979,1979-10-01,5,26.172,GNB,,NWE,W 27-14,,,,,,,,,,
22,1979,1979-10-07,6,26.178,GNB,@,ATL,L 7-25,,,,,,,,,,
23,1979,1979-10-14,7,26.185,GNB,,DET,W 24-16,,,,,,,,,,
24,1979,1979-10-21,8,26.192,GNB,@,TAM,L 3-21,3,42,14.00,0,0,0,,0,0,0
25,1979,1979-10-28,9,26.199,GNB,@,MIA,L 7-27,,,,,,,,,,
26,1979,1979-11-04,10,26.206,GNB,,NYJ,L 22-27,,,,,,,,,,
27,1979,1979-11-11,11,26.213,GNB,,MIN,W 19-7,,,,,,,,,,
28,1979,1979-11-18,12,26.220,GNB,@,BUF,L 12-19,,,,,,,,,,
29,1979,1979-11-25,13,26.227,GNB,,PHI,L 10-21,,,,,,,,,,
30,1979,1979-12-02,14,26.234,GNB,@,WAS,L 21-38,1,52,52.00,1,0,0,,0,1,6
31,1979,1979-12-09,15,26.241,GNB,,CHI,L 14-15,2,23,11.50,0,0,0,,0,0,0
32,1979,1979-12-15,16,26.247,GNB,@,DET,W 18-13,,,,,,,,,,
