ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1999,1999-09-12,1,22.263,PIT,@,CLE,W 43-0,,0,0,,0,4,5,80.0,3,3,100.0,0,13,0,0,,0
2,1999,1999-09-19,2,22.270,PIT,@,BAL,W 23-20,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
3,1999,1999-09-26,3,22.277,PIT,,SEA,L 10-29,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
4,1999,1999-10-03,4,22.284,PIT,,JAX,L 3-17,,0,0,,0,,,,1,1,100.0,0,3,0,0,,0
5,1999,1999-10-10,5,22.291,PIT,@,BUF,L 21-24,,0,0,,0,3,3,100.0,,,,0,3,,,,
6,1999,1999-10-17,6,22.298,PIT,@,CIN,W 17-3,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
7,1999,1999-10-25,7,22.306,PIT,,ATL,W 13-9,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
8,1999,1999-11-07,8,22.319,PIT,@,SFO,W 27-6,,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,,0
9,1999,1999-11-14,9,22.326,PIT,,CLE,L 15-16,,0,0,,0,,,,3,3,100.0,0,9,0,0,,0
10,1999,1999-11-21,10,22.333,PIT,@,TEN,L 10-16,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
11,1999,1999-11-28,11,22.340,PIT,,CIN,L 20-27,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
12,1999,1999-12-02,12,22.344,PIT,@,JAX,L 6-20,,0,0,,0,,,,2,2,100.0,0,6,0,0,,0
13,1999,1999-12-12,13,22.354,PIT,,BAL,L 24-31,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
14,1999,1999-12-18,14,22.360,PIT,@,KAN,L 19-35,,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
15,1999,1999-12-26,15,23.003,PIT,,CAR,W 30-20,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
16,1999,2000-01-02,16,23.010,PIT,,TEN,L 36-47,,0,0,,0,4,4,100.0,,,,0,4,,,,
17,2000,2000-09-03,1,23.255,PIT,,BAL,L 0-16,,0,0,,0,,,,,1,0.0,0,0,0,0,,0
18,2000,2000-09-17,2,23.269,PIT,@,CLE,L 20-23,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
19,2000,2000-09-24,3,23.276,PIT,,TEN,L 20-23,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
20,2000,2000-10-01,4,23.283,PIT,@,JAX,W 24-13,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
21,2000,2000-10-08,5,23.290,PIT,@,NYJ,W 20-3,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
22,2000,2000-10-15,6,23.297,PIT,,CIN,W 15-0,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
23,2000,2000-10-22,7,23.304,PIT,,CLE,W 22-0,,0,0,,0,1,1,100.0,5,5,100.0,0,16,0,0,,0
24,2000,2000-10-29,8,23.311,PIT,@,BAL,W 9-6,,0,0,,0,,1,0.0,1,1,100.0,0,3,0,0,,0
25,2000,2000-11-05,9,23.318,PIT,@,TEN,L 7-9,,0,0,,0,1,1,100.0,,,,0,1,,,,
26,2000,2000-11-12,10,23.325,PIT,,PHI,L 23-26,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
27,2000,2000-11-19,11,23.332,PIT,,JAX,L 24-34,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
28,2000,2000-11-26,12,23.339,PIT,@,CIN,W 48-28,,0,0,,0,6,6,100.0,2,2,100.0,0,12,0,0,,0
29,2000,2000-12-03,13,23.346,PIT,,OAK,W 21-20,,0,0,,0,3,3,100.0,,,,0,3,,,,
30,2000,2000-12-10,14,23.353,PIT,@,NYG,L 10-30,,0,0,,0,1,1,100.0,1,3,33.3,0,4,0,0,,0
31,2000,2000-12-16,15,23.359,PIT,,WAS,W 24-3,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
32,2000,2000-12-24,16,24.001,PIT,@,SDG,W 34-21,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
33,2001,2001-09-09,1,24.260,PIT,@,JAX,L 3-21,,0,0,,0,,,,1,1,100.0,0,3,3,106,35.33,0
34,2001,2001-09-30,2,24.281,PIT,@,BUF,W 20-3,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
35,2001,2001-10-07,3,24.288,PIT,,CIN,W 16-7,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
36,2001,2001-10-14,4,24.295,PIT,@,KAN,W 20-17,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
37,2001,2001-10-21,5,24.302,PIT,@,TAM,W 17-10,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
38,2001,2001-10-29,6,24.310,PIT,,TEN,W 34-7,,1,6,6.00,0,4,4,100.0,2,3,66.7,0,10,0,0,,0
39,2001,2001-11-04,7,24.316,PIT,,BAL,L 10-13,,0,0,,0,1,1,100.0,1,5,20.0,0,4,0,0,,0
40,2001,2001-11-11,8,24.323,PIT,@,CLE,W 15-12,,0,0,,0,,,,5,6,83.3,0,15,0,0,,0
41,2001,2001-11-18,9,24.330,PIT,,JAX,W 20-7,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
42,2001,2001-11-25,10,24.337,PIT,@,TEN,W 34-24,,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,,0
43,2001,2001-12-02,11,24.344,PIT,,MIN,W 21-16,,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
44,2001,2001-12-09,12,24.351,PIT,,NYJ,W 18-7,,0,0,,0,,1,0.0,4,6,66.7,0,12,0,0,,0
45,2001,2001-12-16,13,24.358,PIT,@,BAL,W 26-21,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
46,2001,2001-12-23,14,25.000,PIT,,DET,W 47-14,,0,0,,0,5,6,83.3,2,4,50.0,0,11,0,0,,0
47,2001,2001-12-30,15,25.007,PIT,@,CIN,L 23-26,,0,0,,0,2,3,66.7,1,1,100.0,0,5,0,0,,0
48,2001,2002-01-06,16,25.014,PIT,,CLE,W 28-7,,0,0,,0,4,4,100.0,,,,0,4,,,,
49,2002,2002-09-08,1,25.259,HOU,,DAL,W 19-10,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
50,2002,2002-09-15,2,25.266,HOU,@,SDG,L 3-24,,0,0,,0,,,,1,1,100.0,0,3,0,0,,0
51,2002,2002-09-22,3,25.273,HOU,,IND,L 3-23,,0,0,,0,,,,1,2,50.0,0,3,0,0,,0
52,2002,2002-09-29,4,25.280,HOU,@,PHI,L 17-35,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
53,2002,2002-10-13,5,25.294,HOU,,BUF,L 24-31,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
54,2002,2002-10-20,6,25.301,HOU,@,CLE,L 17-34,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
55,2002,2002-10-27,7,25.308,HOU,@,JAX,W 21-19,,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
56,2002,2002-11-03,8,25.315,HOU,,CIN,L 3-38,,0,0,,0,,,,1,3,33.3,0,3,0,0,,0
57,2002,2002-11-10,9,25.322,HOU,@,TEN,L 10-17,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
58,2002,2002-11-17,10,25.329,HOU,,JAX,L 21-24,,0,0,,0,3,3,100.0,,,,0,3,,,,
59,2002,2002-11-24,11,25.336,HOU,,NYG,W 16-14,,0,0,,0,,,,2,2,100.0,0,6,0,0,,0
60,2002,2002-12-01,12,25.343,HOU,@,IND,L 3-19,,0,0,,0,,,,1,1,100.0,0,3,0,0,,0
61,2002,2002-12-08,13,25.350,HOU,@,PIT,W 24-6,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
62,2002,2002-12-15,14,25.357,HOU,,BAL,L 19-23,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
63,2002,2002-12-22,15,25.364,HOU,@,WAS,L 10-26,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
64,2002,2002-12-29,16,26.006,HOU,,TEN,L 3-13,,0,0,,0,,,,1,3,33.3,0,3,0,0,,0
65,2003,2003-09-07,1,26.258,HOU,@,MIA,W 21-20,,0,0,,0,,,,5,7,71.4,0,15,0,0,,0
66,2003,2003-09-14,2,26.265,HOU,@,NOR,L 10-31,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
67,2003,2003-09-21,3,26.272,HOU,,KAN,L 14-42,,0,0,,0,2,2,100.0,,,,0,2,,,,
68,2003,2003-09-28,4,26.279,HOU,,JAX,W 24-20,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
69,2003,2003-10-12,5,26.293,HOU,@,TEN,L 17-38,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
