ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1958,1958-09-28,1,23.291,RAM,,CLE,L 27-30,6,149,24.83,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,,,,
2,1958,1958-10-05,2,23.298,RAM,@,SFO,W 33-3,5,65,13.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,,,,
3,1958,1958-10-12,3,23.305,RAM,@,DET,W 42-28,4,96,24.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
4,1958,1958-10-19,4,23.312,RAM,@,CHI,L 10-31,4,114,28.50,1,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,,,,,,,,
5,1958,1958-10-26,5,23.319,RAM,,DET,L 24-41,4,79,19.75,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,,,,
6,1958,1958-11-02,6,23.326,RAM,,CHI,W 41-35,4,29,7.25,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
7,1958,1958-11-09,7,23.333,RAM,,SFO,W 56-7,2,136,68.00,2,0,0,,0,0,0,,0,0,,,,,,,2,,,,,,,,
8,1958,1958-11-16,8,23.340,RAM,@,GNB,W 20-7,3,46,15.33,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
9,1958,1958-11-23,9,23.347,RAM,@,BAL,L 7-34,8,110,13.75,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
10,1958,1958-11-30,10,23.354,RAM,@,CRD,W 20-14,4,51,12.75,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
11,1958,1958-12-06,11,23.360,RAM,,BAL,W 30-28,5,175,35.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,,,,
12,1958,1958-12-14,12,24.003,RAM,,GNB,W 34-20,2,47,23.50,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,,,,
13,1959,1959-09-26,1,24.289,RAM,,NYG,L 21-23,5,130,26.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,,,,
14,1959,1959-10-04,2,24.297,RAM,@,SFO,L 0-34,1,7,7.00,0,1,6,6.00,0,0,0,,0,0,,,,,,,0,,,,,,,,
15,1959,1959-10-11,3,24.304,RAM,@,CHI,W 28-21,5,72,14.40,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,,,,
16,1959,1959-10-18,4,24.311,RAM,@,GNB,W 45-6,3,63,21.00,2,0,0,,0,0,0,,0,0,,,,,,,2,,,,,,,,
17,1959,1959-10-25,5,24.318,RAM,,DET,L 7-17,5,88,17.60,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
18,1959,1959-11-01,6,24.325,RAM,,CHI,L 21-26,3,84,28.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,,,,
19,1959,1959-11-08,7,24.332,RAM,,SFO,L 16-24,4,35,8.75,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
20,1959,1959-11-15,8,24.339,RAM,@,DET,L 17-23,5,169,33.80,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,,,,
21,1959,1959-11-22,9,24.346,RAM,@,PHI,L 20-23,3,19,6.33,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
22,1959,1959-11-29,10,24.353,RAM,@,BAL,L 21-35,3,113,37.67,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,,,,
23,1959,1959-12-06,11,24.360,RAM,,GNB,L 20-38,5,75,15.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
24,1959,1959-12-12,12,25.001,RAM,,BAL,L 26-45,5,81,16.20,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
25,1960,1960-09-23,1,25.287,RAM,,STL,L 21-43,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,8,359,44.88,0
26,1960,1960-10-02,2,25.296,RAM,@,SFO,L 9-13,1,11,11.00,0,1,-15,-15.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,4,164,41.00,0
27,1960,1960-10-09,3,25.303,RAM,@,CHI,L 27-34,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,7,322,46.00,0
28,1960,1960-10-16,4,25.310,RAM,@,BAL,L 17-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,2,95,47.50,0
29,1960,1960-10-23,5,25.317,RAM,,CHI,T 24-24,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,8,317,39.63,1
30,1960,1960-10-30,6,25.324,RAM,,DET,W 48-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,192,38.40,0
31,1960,1960-11-06,7,25.331,RAM,@,DAL,W 38-13,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,231,46.20,0
32,1960,1960-11-13,8,25.338,RAM,@,DET,L 10-12,2,16,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,19,0,5,235,47.00,0
33,1960,1960-11-20,9,25.345,RAM,@,GNB,W 33-31,2,28,14.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,6,222,37.00,0
