ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,2002,2002-10-13,6,23.141,CAR,@,DAL,L 13-14,,,,,,
2,2002,2002-10-20,7,23.148,CAR,@,ATL,L 0-30,,,,,,
3,2002,2002-11-10,9,23.169,CAR,,NOR,L 24-34,,,,,,
4,2002,2002-11-17,10,23.176,CAR,@,TAM,L 10-23,,,,,,
5,2002,2002-11-24,11,23.183,CAR,,ATL,L 0-41,,,,,,
6,2002,2002-12-01,12,23.190,CAR,@,CLE,W 13-6,,,,,,
7,2002,2002-12-08,13,23.197,CAR,,CIN,W 52-31,,,,,,
8,2002,2002-12-15,14,23.204,CAR,@,PIT,L 14-30,,,,,,
9,2002,2002-12-22,15,23.211,CAR,,CHI,W 24-14,,,,,,
10,2002,2002-12-29,16,23.218,CAR,@,NOR,W 10-6,,,,,,
11,2003,2003-09-14,2,24.112,CAR,@,TAM,W 12-9,,,,,,
12,2003,2003-09-28,3,24.126,CAR,,ATL,W 23-3,,,,,,
13,2003,2003-10-05,4,24.133,CAR,,NOR,W 19-13,,,,,,
14,2003,2003-10-12,5,24.140,CAR,@,IND,W 23-20,,,,,,
15,2003,2003-10-26,7,24.154,CAR,@,NOR,W 23-20,,,,,,
16,2003,2003-11-09,9,24.168,CAR,,TAM,W 27-24,,,,,,
17,2003,2003-11-16,10,24.175,CAR,,WAS,W 20-17,,,,,,
18,2003,2003-11-23,11,24.182,CAR,@,DAL,L 20-24,,,,,,
19,2003,2003-11-30,12,24.189,CAR,,PHI,L 16-25,,,,,,
20,2003,2003-12-07,13,24.196,CAR,@,ATL,L 14-20,,,,,,
21,2003,2003-12-14,14,24.203,CAR,@,ARI,W 20-17,,0,0,,0,1.0
22,2003,2003-12-21,15,24.210,CAR,,DET,W 20-14,,,,,,
23,2003,2003-12-28,16,24.217,CAR,@,NYG,W 37-24,,1,16,16.00,0,0.0
24,2004,2004-09-13,1,25.111,CAR,,GNB,L 14-24,,,,,,
25,2004,2004-09-19,2,25.117,CAR,@,KAN,W 28-17,,,,,,
26,2004,2004-10-03,3,25.131,CAR,,ATL,L 10-27,,,,,,
27,2004,2004-10-10,4,25.138,CAR,@,DEN,L 17-20,,,,,,
28,2004,2004-10-17,5,25.145,CAR,@,PHI,L 8-30,,,,,,
29,2004,2004-10-24,6,25.152,CAR,,SDG,L 6-17,,,,,,
30,2004,2004-10-31,7,25.159,CAR,@,SEA,L 17-23,,,,,,
31,2004,2004-11-07,8,25.166,CAR,,OAK,L 24-27,,,,,,
32,2004,2004-11-14,9,25.173,CAR,@,SFO,W 37-27,,1,12,12.00,0,0.0
33,2004,2004-12-05,12,25.194,CAR,@,NOR,W 32-21,,,,,,
34,2004,2004-12-12,13,25.201,CAR,,STL,W 20-7,,,,,,
35,2004,2004-12-18,14,25.207,CAR,@,ATL,L 31-34,,,,,,
36,2005,2005-09-11,1,26.109,CAR,,NOR,L 20-23,,,,,,
37,2005,2005-09-18,2,26.116,CAR,,NWE,W 27-17,,,,,,
38,2005,2005-09-25,3,26.123,CAR,@,MIA,L 24-27,,,,,,
39,2005,2005-10-09,5,26.137,CAR,@,ARI,W 24-20,,,,,,
40,2005,2005-10-16,6,26.144,CAR,@,DET,W 21-20,,,,,,
41,2005,2005-10-30,7,26.158,CAR,,MIN,W 38-13,,,,,,
42,2005,2005-11-06,8,26.165,CAR,@,TAM,W 34-14,,,,,,
43,2005,2005-11-13,9,26.172,CAR,,NYJ,W 30-3,,,,,,
44,2005,2005-11-20,10,26.179,CAR,@,CHI,L 3-13,,,,,,
45,2005,2005-11-27,11,26.186,CAR,@,BUF,W 13-9,,,,,,
46,2005,2005-12-04,12,26.193,CAR,,ATL,W 24-6,,,,,,
47,2005,2005-12-11,13,26.200,CAR,,TAM,L 10-20,,,,,,
48,2005,2005-12-18,14,26.207,CAR,@,NOR,W 27-10,,,,,,
49,2005,2005-12-24,15,26.213,CAR,,DAL,L 20-24,,,,,,
50,2005,2006-01-01,16,26.221,CAR,@,ATL,W 44-11,,,,,,
