ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,22.247,HOU,@,PIT,L 17-38,,13,43,3.31,0,3,3,6,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,0,0
2,2008,2008-09-21,2,22.261,HOU,@,TEN,L 12-31,*,18,116,6.44,1,4,4,8,2.00,0,100.0%,2.00,0,0,,0,1,6,0.0,0,0
3,2008,2008-09-28,3,22.268,HOU,@,JAX,L 27-30,*,10,33,3.30,0,8,8,83,10.38,1,100.0%,10.38,0,0,,0,1,6,0.0,0,0
4,2008,2008-10-05,4,22.275,HOU,,IND,L 27-31,*,16,93,5.81,2,2,1,3,3.00,0,50.0%,1.50,0,0,,0,2,12,0.0,0,0
5,2008,2008-10-12,5,22.282,HOU,,MIA,W 29-28,*,15,58,3.87,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0
6,2008,2008-10-19,6,22.289,HOU,,DET,W 28-21,*,17,80,4.71,1,3,3,9,3.00,0,100.0%,3.00,0,0,,0,1,6,0.0,0,0
7,2008,2008-10-26,7,22.296,HOU,,CIN,W 35-6,*,15,53,3.53,1,2,2,13,6.50,0,100.0%,6.50,0,0,,0,1,6,0.0,0,0
8,2008,2008-11-02,8,22.303,HOU,@,MIN,L 21-28,*,16,62,3.88,0,9,8,56,7.00,0,88.9%,6.22,0,0,,0,0,0,0.0,0,0
9,2008,2008-11-09,9,22.310,HOU,,BAL,L 13-41,*,4,7,1.75,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,0.0,1,0
10,2008,2008-11-16,10,22.317,HOU,@,IND,L 27-33,*,14,156,11.14,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0
11,2008,2008-11-23,11,22.324,HOU,@,CLE,W 16-6,*,21,73,3.48,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
12,2008,2008-12-01,12,22.332,HOU,,JAX,W 30-17,*,21,130,6.19,2,3,2,52,26.00,0,66.7%,17.33,0,0,,0,2,12,0.0,0,0
