ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-09-22,3,23.060,SFO,@,CAR,L 7-23,,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,,0,0,0
2,1996,1996-09-29,4,23.067,SFO,,ATL,W 39-17,,,0,0,,0,0.0%,,0,0,,0,,,,,,
3,1996,1996-10-06,5,23.074,SFO,@,STL,W 28-11,,,0,0,,0,0.0%,,0,0,,0,,,,,,
4,1996,1996-10-14,6,23.082,SFO,@,GNB,L 20-23,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,
5,1996,1996-10-20,7,23.088,SFO,,CIN,W 28-21,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0
6,1996,1996-10-27,8,23.095,SFO,@,HOU,W 10-9,,,0,0,,0,0.0%,,0,0,,0,,,,,,
7,1996,1996-11-03,9,23.102,SFO,@,NOR,W 24-17,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
8,1996,1996-11-10,10,23.109,SFO,,DAL,L 17-20,,2,2,39,19.50,1,100.0%,19.50,0,0,,0,0,0,,0,1,6
9,1996,1996-11-17,11,23.116,SFO,,BAL,W 38-20,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0
10,1996,1996-11-24,12,23.123,SFO,@,WAS,W 19-16,,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,
11,1996,1996-12-02,13,23.131,SFO,@,ATL,W 34-10,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0
12,1996,1996-12-08,14,23.137,SFO,,CAR,L 24-30,,,0,0,,0,0.0%,,0,0,,0,,,,,,
13,1996,1996-12-15,15,23.144,SFO,@,PIT,W 25-15,,2,0,0,,0,0.0%,0.00,0,0,,0,,,,,,
14,1996,1996-12-23,16,23.152,SFO,,DET,W 24-14,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0
15,1997,1997-08-31,1,24.038,SFO,@,TAM,L 6-13,,3,2,29,14.50,0,66.7%,9.67,1,25,25.00,0,2,20,10.00,0,0,0
16,1997,1997-09-07,2,24.045,SFO,@,STL,W 15-12,,1,0,0,,0,0.0%,0.00,3,61,20.33,0,3,21,7.00,0,0,0
17,1997,1997-09-14,3,24.052,SFO,,NOR,W 33-7,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,1,36,36.00,0,0,0
18,1997,1997-09-21,4,24.059,SFO,,ATL,W 34-7,,4,3,41,13.67,0,75.0%,10.25,0,0,,0,3,25,8.33,0,0,0
19,1997,1997-09-29,5,24.067,SFO,@,CAR,W 34-21,,2,1,11,11.00,0,50.0%,5.50,1,25,25.00,0,1,15,15.00,0,0,0
20,1997,1997-10-12,6,24.080,SFO,,STL,W 30-10,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,6,63,10.50,0,0,0
21,1997,1997-10-19,7,24.087,SFO,@,ATL,W 35-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
22,1997,1997-10-26,8,24.094,SFO,@,NOR,W 23-0,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,5,53,10.60,0,0,0
23,1997,1997-11-02,9,24.101,SFO,,DAL,W 17-10,,3,3,29,9.67,0,100.0%,9.67,1,20,20.00,0,3,52,17.33,0,0,0
24,1997,1997-11-23,12,24.122,SFO,,SDG,W 17-10,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,5,60,12.00,0,0,0
25,1997,1997-11-30,13,24.129,SFO,@,KAN,L 9-44,,0,0,0,,0,0.0%,,0,0,,0,1,3,3.00,0,0,0
26,1997,1997-12-07,14,24.136,SFO,,MIN,W 28-17,,0,0,0,,0,0.0%,,0,0,,0,2,26,13.00,0,0,0
27,1997,1997-12-15,15,24.144,SFO,,DEN,W 34-17,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0
28,1997,1997-12-21,16,24.150,SFO,@,SEA,L 9-38,,4,1,16,16.00,0,25.0%,4.00,0,0,,0,1,-1,-1.00,0,0,0
29,1998,1998-09-06,1,25.044,SFO,,NYJ,W 36-30,,1,,,,,0.0%,,,,,,,,,,,
30,1998,1998-09-14,2,25.052,SFO,@,WAS,W 45-10,,1,,,,,0.0%,,,,,,,,,,,
31,1998,1998-09-27,3,25.065,SFO,,ATL,W 31-20,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0
32,1998,1998-10-04,4,25.072,SFO,@,BUF,L 21-26,,,,,,,0.0%,,,,,,,,,,,
33,1998,1998-10-11,5,25.079,SFO,@,NOR,W 31-0,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,,0,0,0
34,1998,1998-10-25,7,25.093,SFO,@,STL,W 28-10,,1,1,35,35.00,0,100.0%,35.00,0,0,,0,0,0,,0,0,0
35,1998,1998-11-01,8,25.100,SFO,@,GNB,L 22-36,,,,,,,0.0%,,,,,,,,,,,
36,1998,1998-11-15,10,25.114,MIA,@,CAR,W 13-9,,,,,,,0.0%,,,,,,,,,,,
37,1998,1998-11-23,11,25.122,MIA,@,NWE,L 23-26,,3,,,,,0.0%,,,,,,,,,,,
38,1998,1998-11-29,12,25.128,MIA,,NOR,W 30-10,,,,,,,0.0%,,,,,,,,,,,
39,1998,1998-12-21,15,25.150,MIA,,DEN,W 31-21,,,,,,,0.0%,,,,,,,,,,,
40,1999,1999-09-19,2,26.057,DET,,GNB,W 23-15,,0,,,,,0.0%,,,,,,,,,,,
41,1999,1999-09-26,3,26.064,DET,@,KAN,L 21-31,,1,0,0,,0,0.0%,0.00,0,0,,0,3,24,8.00,0,0,0
42,1999,1999-10-10,4,26.078,DET,,SDG,L 10-20,,0,0,0,,0,0.0%,,0,0,,0,1,20,20.00,0,0,0
43,1999,1999-10-24,6,26.092,DET,@,CAR,W 24-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
44,1999,1999-10-31,7,26.099,DET,,TAM,W 20-3,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,0,0
45,1999,1999-11-07,8,26.106,DET,,STL,W 31-27,,0,0,0,,0,0.0%,,0,0,,0,3,18,6.00,0,0,0
46,1999,1999-11-14,9,26.113,DET,@,ARI,L 19-23,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,3,23,7.67,0,0,0
47,1999,1999-11-21,10,26.120,DET,@,GNB,L 17-26,,0,0,0,,0,0.0%,,0,0,,0,2,14,7.00,0,0,0
48,1999,1999-11-25,11,26.124,DET,,CHI,W 21-17,,0,0,0,,0,0.0%,,0,0,,0,5,34,6.80,0,0,0
49,1999,1999-12-05,12,26.134,DET,,WAS,W 33-17,,0,,,,,0.0%,,,,,,,,,,,
50,2000,2000-10-15,6,27.083,CAR,@,NOR,L 6-24,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,0,0
51,2000,2000-10-22,7,27.090,CAR,,SFO,W 34-16,,0,0,0,,0,0.0%,,0,0,,0,1,13,13.00,0,0,0
52,2000,2000-10-29,8,27.097,CAR,@,ATL,L 12-13,,0,0,0,,0,0.0%,,0,0,,0,2,11,5.50,0,0,0
53,2000,2000-11-05,9,27.104,CAR,@,STL,W 27-24,*,0,0,0,,0,0.0%,,0,0,,0,1,9,9.00,0,0,0
54,2000,2000-11-12,10,27.111,CAR,,NOR,L 10-20,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0
55,2000,2000-11-19,11,27.118,CAR,@,MIN,L 17-31,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,1,27,27.00,0,0,0
56,2000,2000-11-27,12,27.126,CAR,,GNB,W 31-14,,1,0,0,,0,0.0%,0.00,0,0,,0,1,8,8.00,0,0,0
57,2000,2000-12-03,13,27.132,CAR,,STL,W 16-3,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,0,0
58,2000,2000-12-10,14,27.139,CAR,@,KAN,L 14-15,,,,,,,0.0%,,,,,,,,,,,
59,2000,2000-12-17,15,27.146,CAR,,SDG,W 30-22,,0,0,0,,0,0.0%,,0,0,,0,3,93,31.00,1,1,6
60,2000,2000-12-24,16,27.153,CAR,@,OAK,L 9-52,,,,,,,0.0%,,,,,,,,,,,
