ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1987,1987-10-04,3,23.018,NWE,,CLE,L 10-20,9,278,30.89,0
2,1987,1987-10-11,4,23.025,NWE,,BUF,W 14-7,9,311,34.56,1
3,1987,1987-10-18,5,23.032,NWE,@,HOU,W 21-7,7,272,38.86,0
