ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1982,1982-09-12,1,23.163,NOR,,STL,L 7-21,,,
2,1982,1982-09-19,2,23.170,NOR,@,CHI,W 10-0,,,
3,1982,1982-11-21,3,23.233,NOR,,KAN,W 27-17,,,
4,1982,1982-11-28,4,23.240,NOR,@,SFO,W 23-20,,,
5,1982,1982-12-05,5,23.247,NOR,,TAM,L 10-13,,,
6,1982,1982-12-12,6,23.254,NOR,@,ATL,L 0-35,1,12,0
7,1982,1982-12-19,7,23.261,NOR,@,DAL,L 7-21,,,
8,1982,1982-12-26,8,23.268,NOR,,WAS,L 10-27,,,
9,1982,1983-01-02,9,23.275,NOR,,ATL,W 35-6,,,
10,1983,1983-09-04,1,24.155,NOR,,STL,W 28-17,,,
11,1983,1983-09-11,2,24.162,NOR,@,RAM,L 27-30,,,
12,1984,1984-09-02,1,25.153,NOR,,ATL,L 28-36,,,
13,1984,1984-09-09,2,25.160,NOR,,TAM,W 17-13,,,
14,1984,1984-09-16,3,25.167,NOR,@,SFO,L 20-30,,,
15,1984,1984-09-23,4,25.174,NOR,,STL,W 34-24,,,
16,1984,1984-09-30,5,25.181,NOR,@,HOU,W 27-10,,,
17,1984,1984-10-07,6,25.188,NOR,@,CHI,L 7-20,,,
18,1984,1984-10-14,7,25.195,NOR,,RAM,L 10-28,,,
19,1984,1984-10-21,8,25.202,NOR,@,DAL,L 27-30,,,
20,1984,1984-10-28,9,25.209,NOR,@,CLE,W 16-14,,,
21,1984,1984-11-04,10,25.216,NOR,,GNB,L 13-23,,,
22,1984,1984-11-11,11,25.223,NOR,@,ATL,W 17-13,,,
23,1984,1984-11-19,12,25.231,NOR,,PIT,W 27-24,,,
24,1984,1984-11-25,13,25.237,NOR,,SFO,L 3-35,,,
25,1984,1984-12-02,14,25.244,NOR,@,RAM,L 21-34,,,
26,1984,1984-12-09,15,25.251,NOR,,CIN,L 21-24,,,
27,1984,1984-12-15,16,25.257,NOR,@,NYG,W 10-3,,,
