ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1997,1997-08-31,1,21.185,KAN,@,DEN,L 3-19,,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
2,1997,1997-09-08,2,21.193,KAN,@,OAK,W 28-27,,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
3,1997,1997-09-14,3,21.199,KAN,,BUF,W 22-16,,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
4,1997,1997-09-21,4,21.206,KAN,@,CAR,W 35-14,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,
5,1997,1997-09-28,5,21.213,KAN,,SEA,W 20-17,,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
6,1997,1997-10-05,6,21.220,KAN,@,MIA,L 14-17,,1,1,21,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
7,1997,1997-10-16,7,21.231,KAN,,SDG,W 31-3,,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
8,1997,1997-10-26,8,21.241,KAN,@,STL,W 28-20,,6,4,53,13.25,0,66.7%,8.83,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
9,1997,1997-11-03,9,21.249,KAN,,PIT,W 13-10,,5,4,56,14.00,0,80.0%,11.20,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
10,1997,1997-11-09,10,21.255,KAN,@,JAX,L 10-24,,11,7,69,9.86,0,63.6%,6.27,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
11,1997,1997-11-16,11,21.262,KAN,,DEN,W 24-22,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
12,1997,1997-11-23,12,21.269,KAN,@,SEA,W 19-14,,5,4,37,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
13,1997,1997-11-30,13,21.276,KAN,,SFO,W 44-9,,4,2,19,9.50,1,50.0%,4.75,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0.0,,
14,1997,1997-12-07,14,21.283,KAN,,OAK,W 30-0,,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,,
15,1997,1997-12-14,15,21.290,KAN,@,SDG,W 29-7,,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
16,1997,1997-12-21,16,21.297,KAN,,NOR,W 25-13,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0.0,,
17,1998,1998-09-06,1,22.191,KAN,,OAK,W 28-8,,7,3,47,15.67,0,42.9%,6.71,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
18,1998,1998-09-13,2,22.198,KAN,@,JAX,L 16-21,,9,7,67,9.57,0,77.8%,7.44,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
19,1998,1998-09-20,3,22.205,KAN,,SDG,W 23-7,,10,3,24,8.00,0,30.0%,2.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
20,1998,1998-09-27,4,22.212,KAN,@,PHI,W 24-21,,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0,0.0,,
