ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,22.159,SEA,@,DEN,W 21-14,,,,,,,,,
2,1988,1988-09-11,2,22.166,SEA,,KAN,W 31-10,,,,,,,,,
3,1988,1988-09-18,3,22.173,SEA,@,SDG,L 6-17,,,,,,,,,
4,1988,1988-09-25,4,22.180,SEA,,SFO,L 7-38,,,,,,,,,
5,1988,1988-10-02,5,22.187,SEA,@,ATL,W 31-20,,,,,,,,,
6,1988,1988-10-09,6,22.194,SEA,@,CLE,W 16-10,,,,,,,,,
7,1988,1988-10-16,7,22.201,SEA,,NOR,L 19-20,,,,,,,,,
8,1988,1988-10-23,8,22.208,SEA,@,RAM,L 10-31,,,,,,,,,
9,1988,1988-10-30,9,22.215,SEA,,SDG,W 17-14,,,,,,,,,
10,1988,1988-11-06,10,22.222,SEA,,BUF,L 3-13,,,,,,,,,
11,1988,1988-11-13,11,22.229,SEA,,HOU,W 27-24,,,,,,,,,
12,1988,1988-11-20,12,22.236,SEA,@,KAN,L 24-27,,,,,,,,,
13,1988,1988-11-28,13,22.244,SEA,,RAI,W 35-27,,,,,,,,,
14,1988,1988-12-04,14,22.250,SEA,@,NWE,L 7-13,,0,0,,0,1.0,0,0,0
15,1988,1988-12-11,15,22.257,SEA,,DEN,W 42-14,,,,,,,,,
16,1988,1988-12-18,16,22.264,SEA,@,RAI,W 43-37,,,,,,,,,
17,1989,1989-09-10,1,23.165,SEA,@,PHI,L 7-31,,,,,,,,,
18,1989,1989-09-17,2,23.172,SEA,,PHO,L 24-34,,,,,,,,,
19,1989,1989-09-24,3,23.179,SEA,@,NWE,W 24-3,,0,0,,0,0.0,1,15,0
20,1989,1989-10-01,4,23.186,SEA,@,RAI,W 24-20,,,,,,,,,
21,1989,1989-10-08,5,23.193,SEA,,KAN,L 16-20,,,,,,,,,
22,1989,1989-10-15,6,23.200,SEA,@,SDG,W 17-16,,,,,,,,,
23,1989,1989-10-22,7,23.207,SEA,,DEN,L 21-24,,,,,,,,,
24,1989,1989-10-29,8,23.214,SEA,,SDG,W 10-7,,,,,,,,,
25,1989,1989-11-05,9,23.221,SEA,@,KAN,L 10-20,,,,,,,,,
26,1989,1989-11-12,10,23.228,SEA,,CLE,L 7-17,,,,,,,,,
27,1989,1989-11-19,11,23.235,SEA,@,NYG,L 3-15,,,,,,,,,
28,1989,1989-11-26,12,23.242,SEA,@,DEN,L 14-41,,,,,,,,,
29,1989,1989-12-04,13,23.250,SEA,,BUF,W 17-16,,,,,,,,,
30,1989,1989-12-10,14,23.256,SEA,@,CIN,W 24-17,,,,,,,,,
31,1989,1989-12-17,15,23.263,SEA,,RAI,W 23-17,,0,0,,0,0.0,1,0,0
32,1989,1989-12-23,16,23.269,SEA,,WAS,L 0-29,,,,,,,,,
33,1990,1990-09-09,1,24.164,SEA,@,CHI,L 0-17,,,,,,,,,
34,1990,1990-09-16,2,24.171,SEA,,RAI,L 13-17,,,,,,,,,
35,1990,1990-09-23,3,24.178,SEA,@,DEN,L 31-34,,,,,,,,,
36,1990,1990-10-01,4,24.186,SEA,,CIN,W 31-16,,0,0,,0,0.0,1,22,0
37,1990,1990-10-07,5,24.192,SEA,@,NWE,W 33-20,,0,0,,0,0.0,1,0,0
38,1990,1990-10-14,6,24.199,SEA,@,RAI,L 17-24,,,,,,,,,
39,1990,1990-10-21,7,24.206,SEA,,KAN,W 19-7,,,,,,,,,
40,1990,1990-11-04,8,24.220,SEA,,SDG,L 14-31,,,,,,,,,
41,1990,1990-11-11,9,24.227,SEA,@,KAN,W 17-16,,,,,,,,,
42,1990,1990-11-18,10,24.234,SEA,,MIN,L 21-24,,,,,,,,,
43,1990,1990-11-25,11,24.241,SEA,@,SDG,W 13-10,,,,,,,,,
44,1990,1990-12-02,12,24.248,SEA,,HOU,W 13-10,,,,,,,,,
45,1990,1990-12-09,13,24.255,SEA,@,GNB,W 20-14,,0,0,,0,0.0,1,47,0
46,1990,1990-12-16,14,24.262,SEA,@,MIA,L 17-24,,,,,,,,,
47,1990,1990-12-23,15,24.269,SEA,,DEN,W 17-12,,,,,,,,,
48,1990,1990-12-30,16,24.276,SEA,,DET,W 30-10,,,,,,,,,
49,1991,1991-09-01,1,25.156,SEA,@,NOR,L 24-27,,0,0,,0,0.0,1,43,0
50,1991,1991-09-08,2,25.163,SEA,,NYJ,W 20-13,,0,0,,0,0.0,2,41,0
51,1991,1991-09-15,3,25.170,SEA,@,DEN,L 10-16,,1,5,5.00,0,0.0,0,0,0
52,1991,1991-09-22,4,25.177,SEA,@,KAN,L 13-20,,0,0,,0,,,,
53,1991,1991-09-29,5,25.184,SEA,,IND,W 31-3,,0,0,,0,,,,
54,1991,1991-10-06,6,25.191,SEA,@,CIN,W 13-7,,0,0,,0,,,,
55,1991,1991-10-13,7,25.198,SEA,,RAI,L 20-23,,0,0,,0,,,,
56,1991,1991-10-20,8,25.205,SEA,@,PIT,W 27-7,,0,0,,0,,,,
57,1991,1991-10-27,9,25.212,SEA,,SDG,W 20-9,,0,0,,0,,,,
58,1991,1991-11-10,10,25.226,SEA,@,SDG,L 14-17,,0,0,,0,,,,
59,1991,1991-11-17,11,25.233,SEA,@,RAI,L 7-31,,0,0,,0,,,,
60,1991,1991-11-24,12,25.240,SEA,,DEN,W 13-10,,0,0,,0,0.0,1,0,0
61,1991,1991-12-01,13,25.247,SEA,,KAN,L 6-19,,0,0,,0,,,,
62,1991,1991-12-08,14,25.254,SEA,,SFO,L 22-24,,0,0,,0,,,,
63,1991,1991-12-15,15,25.261,SEA,@,ATL,L 13-26,,0,0,,0,,,,
64,1991,1991-12-22,16,25.268,SEA,,RAM,W 23-9,,0,0,,0,,,,
65,1992,1992-09-06,1,26.161,SEA,,CIN,L 3-21,,,,,,,,,
66,1992,1992-09-13,2,26.168,SEA,@,KAN,L 7-26,,,,,,,,,
67,1992,1992-09-20,3,26.175,SEA,@,NWE,W 10-6,,,,,,,,,
68,1992,1992-09-27,4,26.182,SEA,,MIA,L 17-19,,0,0,,0,0.0,1,41,0
69,1992,1992-10-04,5,26.189,SEA,@,SDG,L 6-17,,,,,,,,,
70,1992,1992-10-11,6,26.196,SEA,@,DAL,L 0-27,,,,,,,,,
71,1992,1992-10-18,7,26.203,SEA,,RAI,L 0-19,,,,,,,,,
72,1992,1992-10-25,8,26.210,SEA,@,NYG,L 10-23,,,,,,,,,
73,1992,1992-11-08,9,26.224,SEA,,WAS,L 3-16,,0,0,,0,0.0,1,10,0
74,1992,1992-11-15,10,26.231,SEA,@,RAI,L 3-20,,,,,,,,,
75,1992,1992-11-22,11,26.238,SEA,,KAN,L 14-24,,,,,,,,,
76,1992,1992-11-30,12,26.246,SEA,,DEN,W 16-13,,,,,,,,,
77,1992,1992-12-06,13,26.252,SEA,@,PIT,L 14-20,,,,,,,,,
78,1992,1992-12-13,14,26.259,SEA,,PHI,L 17-20,,,,,,,,,
79,1992,1992-12-20,15,26.266,SEA,@,DEN,L 6-10,,0,0,,0,0.0,1,23,0
80,1992,1992-12-27,16,26.273,SEA,,SDG,L 14-31,,,,,,,,,
81,1993,1993-09-05,1,27.160,SEA,@,SDG,L 12-18,,,,,,,,,
82,1993,1993-09-12,2,27.167,SEA,,RAI,L 13-17,,,,,,,,,
83,1993,1993-09-19,3,27.174,SEA,@,NWE,W 17-14,,0,0,,0,0.0,1,0,0
84,1993,1993-09-26,4,27.181,SEA,@,CIN,W 19-10,,,,,,,,,
85,1993,1993-10-03,5,27.188,SEA,,SDG,W 31-14,,,,,,,,,
86,1993,1993-10-17,6,27.202,SEA,@,DET,L 10-30,,,,,,,,,
87,1993,1993-10-24,7,27.209,SEA,,NWE,W 10-9,,,,,,,,,
88,1993,1993-10-31,8,27.216,SEA,@,DEN,L 17-28,,,,,,,,,
89,1993,1993-11-07,9,27.223,SEA,@,HOU,L 14-24,,,,,,,,,
90,1993,1993-11-14,10,27.230,SEA,,CLE,W 22-5,,,,,,,,,
91,1993,1993-11-28,11,27.244,SEA,,DEN,L 9-17,,,,,,,,,
92,1993,1993-12-05,12,27.251,SEA,,KAN,L 16-31,,,,,,,,,
93,1993,1993-12-12,13,27.258,SEA,@,RAI,L 23-27,,,,,,,,,
94,1993,1994-01-02,16,27.279,SEA,@,KAN,L 24-34,,,,,,,,,
95,1994,1994-09-04,1,28.159,SDG,@,DEN,W 37-34,,,,,,,,,
96,1994,1994-09-11,2,28.166,SDG,,CIN,W 27-10,,,,,,,,,
97,1994,1994-09-18,3,28.173,SDG,@,SEA,W 24-10,,,,,,,,,
98,1994,1994-09-25,4,28.180,SDG,@,RAI,W 26-24,,,,,,,,,
99,1994,1994-10-09,5,28.194,SDG,,KAN,W 20-6,,,,,,,,,
100,1994,1994-10-16,6,28.201,SDG,@,NOR,W 36-22,,,,,,,,,
101,1994,1994-10-23,7,28.208,SDG,,DEN,L 15-20,,,,,,,,,
102,1994,1994-10-30,8,28.215,SDG,,SEA,W 35-15,,,,,,,,,
103,1994,1994-11-06,9,28.222,SDG,@,ATL,L 9-10,,0,0,,0,0.0,2,13,0
104,1994,1994-11-13,10,28.229,SDG,@,KAN,W 14-13,,,,,,,,,
105,1994,1994-11-20,11,28.236,SDG,@,NWE,L 17-23,,,,,,,,,
106,1994,1994-11-27,12,28.243,SDG,,RAM,W 31-17,,0,0,,0,0.0,1,15,0
107,1994,1994-12-05,13,28.251,SDG,,RAI,L 17-24,,,,,,,,,
108,1994,1994-12-11,14,28.257,SDG,,SFO,L 15-38,,,,,,,,,
109,1994,1994-12-18,15,28.264,SDG,@,NYJ,W 21-6,,,,,,,,,
110,1994,1994-12-24,16,28.270,SDG,,PIT,W 37-34,,,,,,,,,
111,1995,1995-09-03,1,29.158,SDG,@,OAK,L 7-17,,,,,,,,,
112,1995,1995-09-10,2,29.165,SDG,,SEA,W 14-10,,,,,,,,,
113,1995,1995-09-17,3,29.172,SDG,@,PHI,W 27-21,,,,,,,,,
114,1995,1995-09-24,4,29.179,SDG,,DEN,W 17-6,,,,,,,,,
115,1995,1995-10-01,5,29.186,SDG,@,PIT,L 16-31,,,,,,,,,
116,1995,1995-10-09,6,29.194,SDG,@,KAN,L 23-29,,,,,,,,,
117,1995,1995-10-15,7,29.200,SDG,,DAL,L 9-23,,,,,,,,,
118,1995,1995-10-22,8,29.207,SDG,@,SEA,W 35-25,,0,0,,0,0.0,1,-1,0
119,1995,1995-11-05,9,29.221,SDG,,MIA,L 14-24,,,,,,,,,
120,1995,1995-11-12,10,29.228,SDG,,KAN,L 7-22,,,,,,,,,
121,1995,1995-11-19,11,29.235,SDG,@,DEN,L 27-30,,,,,,,,,
122,1995,1995-11-27,12,29.243,SDG,,OAK,W 12-6,,0,0,,0,0.0,3,13,0
123,1995,1995-12-03,13,29.249,SDG,,CLE,W 31-13,,,,,,,,,
