ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1960,1960-10-16,5,22.094,BUF,,NYT,L 13-17,1,10,10.00,0,0,0,,0,0,0,,0,0,0
2,1960,1960-11-06,8,22.115,BUF,,DTX,L 28-45,2,67,33.50,1,0,0,,0,0,0,,0,1,6
3,1960,1960-11-13,9,22.122,BUF,@,OAK,L 7-20,5,42,8.40,0,0,0,,0,0,0,,0,0,0
4,1960,1960-11-20,10,22.129,BUF,@,LAC,W 32-3,2,7,3.50,0,0,0,,0,0,0,,0,0,0
5,1960,1960-12-11,13,22.150,BUF,@,HOU,L 23-31,1,9,9.00,0,0,0,,0,1,5,5.00,0,0,0
6,1960,1960-12-18,14,22.157,BUF,@,DTX,L 7-24,3,38,12.67,0,0,0,,0,0,0,,0,0,0
7,1961,1961-09-17,2,23.065,BUF,,NYT,W 41-31,1,15,15.00,0,1,0,0.00,0,0,0,,0,0,0
8,1961,1961-09-23,3,23.071,BUF,,BOS,L 21-23,2,19,9.50,0,0,0,,0,0,0,,0,0,0
9,1961,1961-10-08,5,23.086,BUF,@,HOU,W 22-12,4,102,25.50,0,0,0,,0,0,0,,0,0,0
10,1961,1961-10-22,7,23.100,BUF,@,BOS,L 21-52,1,17,17.00,0,0,0,,0,0,0,,0,0,0
11,1961,1961-10-29,8,23.107,BUF,,HOU,L 16-28,3,43,14.33,0,0,0,,0,0,0,,0,0,0
12,1961,1961-11-05,9,23.114,BUF,,OAK,L 22-31,1,10,10.00,0,0,0,,0,0,0,,0,0,0
13,1961,1961-11-12,10,23.121,BUF,@,DTX,W 30-20,2,35,17.50,0,0,0,,0,0,0,,0,0,0
14,1961,1961-11-19,11,23.128,BUF,@,DEN,W 23-10,5,63,12.60,0,0,0,,0,0,0,,0,0,0
15,1961,1961-12-10,14,23.149,BUF,@,SDG,L 10-28,1,21,21.00,0,0,0,,0,0,0,,0,0,0
16,1962,1962-10-07,5,24.085,BUF,@,HOU,L 14-17,1,14,14.00,0,0,0,,0,0,0,,0,0,0
