ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2008,2008-12-21,15,23.310,BUF,@,DEN,W 30-23,,2,0,0.00,0,0,0,,0
2,2008,2008-12-28,16,23.317,BUF,,NWE,L 0-13,,4,5,1.25,0,0,0,,0
3,2009,2009-09-14,1,24.211,BUF,@,NWE,L 24-25,,2,8,4.00,0,0,0,,0
4,2009,2009-09-20,2,24.217,BUF,,TAM,W 33-20,,2,9,4.50,0,1,26,26.00,0
5,2009,2009-09-27,3,24.224,BUF,,NOR,L 7-27,,1,5,5.00,0,0,0,,0
6,2009,2009-10-11,5,24.238,BUF,,CLE,L 3-6,,,,,,,,,
7,2009,2009-11-01,8,24.259,BUF,,HOU,L 10-31,,,,,,,,,
