ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2010,2010-11-14,9,26.202,CLE,,NYJ,L 20-26,,1,0,0.00,0,0,0,0,,0,0.0%,
2,2010,2010-11-21,10,26.209,CLE,@,JAX,L 20-24,,,,,,,,,,,0.0%,
3,2010,2011-01-02,16,26.251,NWE,,MIA,W 38-7,,6,17,2.83,0,0,0,0,,0,0.0%,
4,2011,2011-11-06,8,27.194,CLE,@,HOU,L 12-30,,5,10,2.00,0,0,0,0,,0,0.0%,
5,2011,2011-11-13,9,27.201,CLE,,STL,L 12-13,,2,-2,-1.00,0,1,1,3,3.00,0,100.0%,3.00
6,2011,2011-11-20,10,27.208,CLE,,JAX,W 14-10,,1,4,4.00,0,0,0,0,,0,0.0%,
