ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1977,1977-09-18,1,24.184,CHI,,DET,W 30-20,,,,,,,,
2,1977,1977-09-25,2,24.191,CHI,@,STL,L 13-16,,,,,,,,
3,1977,1977-10-02,3,24.198,CHI,,NOR,L 24-42,0,0,,0,1,13,13.00,0
4,1977,1977-10-10,4,24.206,CHI,,RAM,W 24-23,0,0,,0,4,104,26.00,0
5,1977,1977-10-16,5,24.212,CHI,@,MIN,L 16-22,0,0,,0,1,10,10.00,0
6,1977,1977-10-23,6,24.219,CHI,,ATL,L 10-16,,,,,,,,
7,1977,1977-10-30,7,24.226,CHI,@,GNB,W 26-0,3,12,4.00,0,0,0,,0
8,1977,1977-11-06,8,24.233,CHI,@,HOU,L 0-47,3,8,2.67,0,0,0,,0
9,1977,1977-11-13,9,24.240,CHI,,KAN,W 28-27,,,,,,,,
10,1977,1977-11-20,10,24.247,CHI,,MIN,W 10-7,,,,,,,,
11,1977,1977-11-24,11,24.251,CHI,@,DET,W 31-14,,,,,,,,
12,1977,1977-12-04,12,24.261,CHI,@,TAM,W 10-0,,,,,,,,
13,1977,1977-12-11,13,24.268,CHI,,GNB,W 21-10,,,,,,,,
14,1977,1977-12-18,14,24.275,CHI,@,NYG,W 12-9,,,,,,,,
15,1978,1978-09-03,1,25.169,CHI,,STL,W 17-10,,,,,,,,
16,1978,1978-09-10,2,25.176,CHI,@,SFO,W 16-13,,,,,,,,
17,1978,1978-09-17,3,25.183,CHI,@,DET,W 19-0,,,,,,,,
18,1978,1978-09-25,4,25.191,CHI,,MIN,L 20-24,,,,,,,,
19,1978,1978-10-01,5,25.197,CHI,,OAK,L 19-25,,,,,,,,
20,1978,1978-10-08,6,25.204,CHI,@,GNB,L 14-24,,,,,,,,
21,1978,1978-10-16,7,25.212,CHI,@,DEN,L 7-16,2,11,5.50,0,0,0,,0
22,1978,1978-10-22,8,25.218,CHI,@,TAM,L 19-33,,,,,,,,
23,1978,1978-10-29,9,25.225,CHI,,DET,L 17-21,,,,,,,,
24,1978,1978-11-05,10,25.232,CHI,,SEA,L 29-31,,,,,,,,
25,1978,1978-11-12,11,25.239,CHI,@,MIN,L 14-17,,,,,,,,
26,1978,1978-11-19,12,25.246,CHI,,ATL,W 13-7,,,,,,,,
27,1978,1978-11-26,13,25.253,CHI,,TAM,W 14-3,,,,,,,,
28,1978,1978-12-04,14,25.261,CHI,@,SDG,L 7-40,,,,,,,,
29,1978,1978-12-10,15,25.267,CHI,,GNB,W 14-0,,,,,,,,
30,1978,1978-12-16,16,25.273,CHI,@,WAS,W 14-10,,,,,,,,
31,1980,1980-09-07,1,27.173,NYG,@,STL,W 41-35,,,,,,,,
