ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring
1,2015,2015-09-13,1,21.087,OAK,,CIN,L 13-33,*,9,5,47,9.40,0,55.6%,5.22,0,0,,0,0,0,,0,,0,0
2,2015,2015-09-20,2,21.094,OAK,,BAL,W 37-33,*,11,7,109,15.57,1,63.6%,9.91,0,0,,0,0,0,,0,,1,6
3,2015,2015-09-27,3,21.101,OAK,@,CLE,W 27-20,*,11,8,134,16.75,0,72.7%,12.18,0,0,,0,2,0,0.00,0,,0,0
4,2015,2015-10-04,4,21.108,OAK,@,CHI,L 20-22,*,9,4,49,12.25,1,44.4%,5.44,0,0,,0,1,7,7.00,0,,1,6
5,2015,2015-10-11,5,21.115,OAK,,DEN,L 10-16,*,4,4,47,11.75,0,100.0%,11.75,1,2,2.00,0,1,18,18.00,0,,0,0
6,2015,2015-10-25,6,21.129,OAK,@,SDG,W 37-29,,6,5,133,26.60,1,83.3%,22.17,0,0,,0,0,0,,0,,1,6
7,2015,2015-11-01,7,21.136,OAK,,NYJ,W 34-20,*,9,5,46,9.20,0,55.6%,5.11,1,2,2.00,0,0,0,,0,,0,0
8,2015,2015-11-08,8,21.143,OAK,@,PIT,L 35-38,*,13,7,88,12.57,1,53.8%,6.77,0,0,,0,0,0,,0,,1,6
9,2015,2015-11-15,9,21.150,OAK,,MIN,L 14-30,*,9,5,79,15.80,0,55.6%,8.78,0,0,,0,0,0,,0,,0,0
10,2015,2015-11-22,10,21.157,OAK,@,DET,L 13-18,*,4,1,4,4.00,0,25.0%,1.00,0,0,,0,4,16,4.00,0,,0,0
11,2015,2015-11-29,11,21.164,OAK,@,TEN,W 24-21,*,12,7,115,16.43,0,58.3%,9.58,0,0,,0,0,0,,0,,0,0
