ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1983,1983-09-11,2,22.291,PIT,@,GNB,W 25-21,0,0,,0,,,,,,
2,1983,1983-09-18,3,22.298,PIT,@,HOU,W 40-28,0,0,,0,,,,,,
3,1983,1983-09-25,4,22.305,PIT,,NWE,L 23-28,3,40,13.33,0,0,0,,0,0,0
4,1983,1983-10-02,5,22.312,PIT,,HOU,W 17-10,0,0,,0,,,,,,
5,1983,1983-10-10,6,22.320,PIT,@,CIN,W 24-14,0,0,,0,,,,,,
6,1983,1983-10-16,7,22.326,PIT,,CLE,W 44-17,1,13,13.00,0,0,0,,0,0,0
7,1983,1983-10-23,8,22.333,PIT,@,SEA,W 27-21,3,41,13.67,0,0,0,,0,0,0
8,1983,1983-10-30,9,22.340,PIT,,TAM,W 17-12,0,0,,0,,,,,,
9,1983,1983-11-06,10,22.347,PIT,,SDG,W 26-3,2,21,10.50,0,0,0,,0,0,0
10,1983,1983-11-13,11,22.354,PIT,@,BAL,W 24-13,2,24,12.00,0,0,0,,0,0,0
11,1983,1983-11-20,12,22.361,PIT,,MIN,L 14-17,2,26,13.00,0,0,0,,0,0,0
12,1983,1983-11-24,13,23.000,PIT,@,DET,L 3-45,2,31,15.50,0,0,0,,0,0,0
13,1983,1983-12-04,14,23.010,PIT,,CIN,L 10-23,1,9,9.00,0,0,0,,0,0,0
14,1983,1983-12-10,15,23.016,PIT,@,NYJ,W 34-7,1,17,17.00,1,0,0,,0,1,6
15,1983,1983-12-18,16,23.024,PIT,@,CLE,L 17-30,2,57,28.50,0,0,0,,0,0,0
16,1984,1984-09-02,1,23.283,PIT,,KAN,L 27-37,0,0,,0,,,,,,
17,1984,1984-09-16,3,23.297,PIT,,RAM,W 24-14,0,0,,0,,,,,,
18,1984,1984-10-01,5,23.312,PIT,,CIN,W 38-17,0,0,,0,,,,,,
19,1984,1984-10-07,6,23.318,PIT,,MIA,L 7-31,0,0,,0,,,,,,
20,1984,1984-10-14,7,23.325,PIT,@,SFO,W 20-17,1,10,10.00,0,0,0,,0,0,0
21,1984,1984-10-21,8,23.332,PIT,@,IND,L 16-17,1,12,12.00,0,0,0,,0,0,0
22,1984,1984-11-18,12,23.360,PHI,,WAS,W 16-10,,,,,,,,,,
23,1984,1984-11-25,13,24.001,PHI,@,STL,L 16-17,,,,,,,,,,
24,1984,1984-12-02,14,24.008,PHI,,DAL,L 10-26,,,,,,,,,,
25,1984,1984-12-16,16,24.022,PHI,@,ATL,L 10-26,,,,,,,,,,
26,1985,1985-09-08,1,24.288,PHI,@,NYG,L 0-21,2,39,19.50,0,0,0,,0,0,0
27,1985,1985-09-15,2,24.295,PHI,,RAM,L 6-17,1,15,15.00,0,0,0,,0,0,0
28,1985,1985-09-22,3,24.302,PHI,@,WAS,W 19-6,0,0,,0,,,,,,
29,1985,1985-09-29,4,24.309,PHI,,NYG,L 10-16,0,0,,0,,,,,,
30,1985,1985-10-06,5,24.316,PHI,@,NOR,L 21-23,1,31,31.00,0,0,0,,0,0,0
31,1985,1985-10-13,6,24.323,PHI,,STL,W 30-7,0,0,,0,,,,,,
32,1985,1985-11-10,10,24.351,PHI,,ATL,W 23-17,0,0,,0,,,,,,
33,1985,1985-11-17,11,24.358,PHI,@,STL,W 24-14,0,0,,0,,,,,,
34,1985,1985-11-24,12,25.000,PHI,@,DAL,L 17-34,2,52,26.00,0,0,0,,0,0,0
35,1985,1985-12-01,13,25.007,PHI,,MIN,L 23-28,1,5,5.00,0,0,0,,0,0,0
36,1985,1985-12-08,14,25.014,PHI,,WAS,L 12-17,0,0,,0,,,,,,
37,1985,1985-12-22,16,25.028,PHI,@,MIN,W 37-35,0,0,,0,,,,,,
38,1986,1986-10-05,5,25.315,PHI,@,ATL,W 16-0,1,16,16.00,0,0,0,,0,0,0
39,1986,1986-10-12,6,25.322,PHI,@,NYG,L 3-35,0,0,,0,0,0,,0,,
40,1986,1986-10-19,7,25.329,PHI,,DAL,L 14-17,0,0,,0,0,0,,0,,
41,1986,1986-10-26,8,25.336,PHI,,SDG,W 23-7,2,40,20.00,0,0,0,,0,0,0
42,1986,1986-11-02,9,25.343,PHI,@,STL,L 10-13,1,34,34.00,0,2,11,5.50,0,0,0
43,1986,1986-11-09,10,25.350,PHI,,NYG,L 14-17,1,18,18.00,0,2,24,12.00,0,0,0
44,1986,1986-11-16,11,25.357,PHI,,DET,L 11-13,2,31,15.50,0,3,12,4.00,0,0,0
45,1986,1986-11-23,12,25.364,PHI,@,SEA,L 20-24,0,0,,0,2,16,8.00,0,0,0
