ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1997,1997-08-31,1,22.311,STL,,NOR,W 38-24,,6,239,39.83,0
2,1997,1997-09-07,2,22.318,STL,,SFO,L 12-15,,5,219,43.80,0
3,1997,1997-09-14,3,22.325,STL,@,DEN,L 14-35,,7,307,43.86,0
4,1997,1997-09-21,4,22.332,STL,,NYG,W 13-3,,8,345,43.13,0
5,1997,1997-09-28,5,22.339,STL,@,OAK,L 17-35,,8,323,40.38,0
6,1997,1997-10-12,6,22.353,STL,@,SFO,L 10-30,,7,280,40.00,1
7,1999,1999-09-12,1,24.323,CIN,@,TEN,L 35-36,,3,189,63.00,1
8,1999,1999-09-19,2,24.330,CIN,,SDG,L 7-34,,8,318,39.75,0
9,1999,1999-09-26,3,24.337,CIN,@,CAR,L 3-27,,4,150,37.50,0
10,1999,1999-10-03,4,24.344,CIN,,STL,L 10-38,,8,317,39.63,0
11,1999,1999-10-10,5,24.351,CIN,@,CLE,W 18-17,,6,288,48.00,1
12,1999,1999-10-17,6,24.358,CIN,,PIT,L 3-17,,6,219,36.50,0
13,1999,1999-10-24,7,25.000,CIN,@,IND,L 10-31,,8,283,35.38,0
14,1999,1999-10-31,8,25.007,CIN,,JAX,L 10-41,,4,158,39.50,0
15,1999,1999-11-07,9,25.014,CIN,@,SEA,L 20-37,,3,118,39.33,0
16,1999,1999-11-14,10,25.021,CIN,,TEN,L 14-24,,5,186,37.20,0
17,1999,1999-11-21,11,25.028,CIN,,BAL,L 31-34,,5,249,49.80,0
