ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1988,1988-09-04,1,22.331,NYJ,@,NWE,L 3-28,,,,,,,,,,,,,,,
2,1988,1988-09-11,2,22.338,NYJ,@,CLE,W 23-3,,,,,,,,,,,,,,,
3,1988,1988-09-18,3,22.345,NYJ,,HOU,W 45-3,,0,0,,0,,,0,0,,0,0.0,1,0,0
4,1988,1988-09-25,4,22.352,NYJ,@,DET,W 17-10,,0,0,,0,,,0,0,,0,0.0,1,0,0
5,1988,1988-10-02,5,22.359,NYJ,,KAN,T 17-17,,,,,,,,,,,,,,,
6,1988,1988-10-09,6,23.000,NYJ,@,CIN,L 19-36,,,,,,,,,,,,,,,
7,1988,1988-10-17,7,23.008,NYJ,,BUF,L 14-37,,,,,,,,,,,,,,,
8,1988,1988-10-23,8,23.014,NYJ,@,MIA,W 44-30,,,,,,,,,,,,,,,
9,1988,1988-10-30,9,23.021,NYJ,,PIT,W 24-20,,0,0,,0,,,0,0,,0,0.0,1,0,0
10,1988,1988-11-06,10,23.028,NYJ,@,IND,L 14-38,,,,,,,,,,,,,,,
11,1988,1988-11-13,11,23.035,NYJ,,NWE,L 13-14,,,,,,,,,,,,,,,
12,1988,1988-11-20,12,23.042,NYJ,@,BUF,L 6-9,,,,,,,,,,,,,,,
13,1988,1988-11-27,13,23.049,NYJ,,MIA,W 38-34,,,,,,,,,,,,,,,
14,1988,1988-12-04,14,23.056,NYJ,@,KAN,L 34-38,,,,,,,,,,,,,,,
15,1988,1988-12-10,15,23.062,NYJ,,IND,W 34-16,,,,,,,,,,,,,,,
16,1988,1988-12-18,16,23.070,NYJ,,NYG,W 27-21,,,,,,,,,,,,,,,
17,1989,1989-10-22,7,24.013,NYJ,@,BUF,L 3-34,,,,,,,,,,,,,,,
18,1989,1989-10-29,8,24.020,NYJ,,SFO,L 10-23,,,,,,,,,,,,,,,
19,1989,1989-11-05,9,24.027,NYJ,@,NWE,W 27-26,,,,,,,,,,,,,,,
20,1989,1989-11-12,10,24.034,NYJ,,MIA,L 23-31,,0,0,,0,,,0,0,,0,0.0,1,13,0
21,1989,1989-11-26,12,24.048,NYJ,,ATL,W 27-7,,,,,,,,,,,,,,,
22,1989,1989-12-03,13,24.055,NYJ,@,SDG,W 20-17,,,,,,,,,,,,,,,
23,1989,1989-12-10,14,24.062,NYJ,,PIT,L 0-13,,,,,,,,,,,,,,,
24,1989,1989-12-17,15,24.069,NYJ,@,RAM,L 14-38,,,,,,,,,,,,,,,
25,1989,1989-12-23,16,24.075,NYJ,,BUF,L 0-37,,,,,,,,,,,,,,,
26,1990,1990-09-09,1,24.335,NYJ,@,CIN,L 20-25,,,,,,,,,,,,,,,
27,1990,1990-09-16,2,24.342,NYJ,,CLE,W 24-21,,,,,,,,,,,,,,,
28,1990,1990-09-24,3,24.350,NYJ,,BUF,L 7-30,,,,,,,,,,,,,,,
