ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,2002,2002-11-17,10,23.102,BAL,@,MIA,L 7-26,,,,,,,0.0%,,,,,,,,,,,,,,
2,2002,2002-11-24,11,23.109,BAL,,TEN,W 13-12,,,,,,,0.0%,,,,,,,,,,,,,,
3,2002,2002-12-01,12,23.116,BAL,@,CIN,W 27-23,,0,,,,,0.0%,,,,,,,,,,,,,,
4,2002,2002-12-08,13,23.123,BAL,,NOR,L 25-37,,1,,,,,0.0%,,,,,,,,,,,,,,
5,2002,2002-12-15,14,23.130,BAL,@,HOU,W 23-19,,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,,,,,0,0
6,2002,2002-12-22,15,23.137,BAL,,CLE,L 13-14,*,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,,,,,0,0
7,2002,2002-12-29,16,23.144,BAL,@,PIT,L 31-34,*,3,2,76,38.00,0,66.7%,25.33,0,0,,0,0,0,,,,,,0,0
8,2004,2004-09-12,1,25.036,BAL,@,CLE,L 3-20,,7,5,39,7.80,0,71.4%,5.57,0,0,,0,0,0,,0,,,,0,0
9,2004,2004-09-19,2,25.043,BAL,,PIT,W 30-13,*,7,3,24,8.00,0,42.9%,3.43,0,0,,0,0,0,,0,,,,0,0
10,2004,2004-09-26,3,25.050,BAL,@,CIN,W 23-9,*,4,4,61,15.25,1,100.0%,15.25,0,0,,0,0,0,,0,,,,1,6
11,2004,2004-10-04,4,25.058,BAL,,KAN,L 24-27,*,4,2,68,34.00,1,50.0%,17.00,0,0,,0,0,0,,0,,,,1,6
12,2004,2004-10-10,5,25.064,BAL,@,WAS,W 17-10,*,4,2,34,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,,,,0,0
13,2004,2004-10-24,6,25.078,BAL,,BUF,W 20-6,*,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,,,,0,0
14,2004,2004-10-31,7,25.085,BAL,@,PHI,L 10-15,,,,,,,0.0%,,,,,,,,,0,,,,,
15,2004,2004-11-07,8,25.092,BAL,,CLE,W 27-13,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,,,0,0
16,2004,2004-11-14,9,25.099,BAL,@,NYJ,W 20-17,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,,,,0,0
17,2004,2004-11-21,10,25.106,BAL,,DAL,W 30-10,,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
18,2004,2004-11-28,11,25.113,BAL,@,NWE,L 3-24,*,3,1,0,0.00,0,33.3%,0.00,0,0,,0,0,0,,0,,,,0,0
19,2004,2004-12-05,12,25.120,BAL,,CIN,L 26-27,,,,,,,0.0%,,,,,,,,,0,,,,,
20,2004,2004-12-26,15,25.141,BAL,@,PIT,L 7-20,*,7,4,55,13.75,0,57.1%,7.86,0,0,,0,0,0,,0,,,,0,0
21,2004,2005-01-02,16,25.148,BAL,,MIA,W 30-23,,5,2,19,9.50,0,40.0%,3.80,0,0,,0,0,0,,0,,,,0,0
22,2005,2005-09-11,1,26.035,BAL,,IND,L 7-24,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,,,0,0
23,2005,2005-09-18,2,26.042,BAL,@,TEN,L 10-25,,1,1,12,12.00,0,100.0%,12.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
24,2005,2005-10-02,3,26.056,BAL,,NYJ,W 13-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0
25,2005,2005-10-09,4,26.063,BAL,@,DET,L 17-35,,3,1,21,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,,,,0,0
26,2005,2005-10-16,5,26.070,BAL,,CLE,W 16-3,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,,,,0,0
27,2005,2005-10-23,6,26.077,BAL,@,CHI,L 6-10,*,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,,,,0,0
28,2005,2005-10-31,7,26.085,BAL,@,PIT,L 19-20,*,7,1,21,21.00,0,14.3%,3.00,0,0,,0,0,0,,0,,,,0,0
29,2005,2005-11-06,8,26.091,BAL,,CIN,L 9-21,,1,1,2,2.00,0,100.0%,2.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
