ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1971,1971-09-19,1,22.271,STL,,WAS,L 17-24,0,0,,0,2,12,6.00,0
2,1971,1971-09-27,2,22.279,STL,,NYJ,W 17-10,0,0,,0,1,0,0.00,0
3,1971,1971-10-03,3,22.285,STL,,NYG,L 20-21,0,0,,0,1,-2,-2.00,0
4,1971,1971-10-10,4,22.292,STL,@,ATL,W 26-9,0,0,,0,2,27,13.50,0
5,1971,1971-10-17,5,22.299,STL,@,WAS,L 0-20,1,8,8.00,0,1,8,8.00,0
6,1971,1971-10-24,6,22.306,STL,,SFO,L 14-26,1,13,13.00,0,0,0,,0
7,1971,1971-10-31,7,22.313,STL,@,BUF,W 28-23,1,56,56.00,0,3,39,13.00,0
8,1971,1971-11-07,8,22.320,STL,,DAL,L 13-16,2,33,16.50,0,0,0,,0
9,1971,1971-11-15,9,22.328,STL,@,SDG,L 17-20,1,15,15.00,0,0,0,,0
10,1972,1972-09-17,1,23.270,STL,@,BAL,W 10-3,,,,,,,,
11,1972,1972-09-24,2,23.277,STL,@,WAS,L 10-24,1,20,20.00,0,0,0,,0
12,1972,1972-10-01,3,23.284,STL,,PIT,L 19-25,1,22,22.00,0,1,10,10.00,0
13,1972,1972-10-08,4,23.291,STL,@,MIN,W 19-17,3,67,22.33,0,2,7,3.50,0
14,1972,1972-10-15,5,23.298,STL,,WAS,L 3-33,2,46,23.00,0,2,0,0.00,0
15,1972,1972-10-22,6,23.305,STL,@,NYG,L 21-27,,,,,,,,
16,1972,1972-10-29,7,23.312,STL,,CHI,L 10-27,,,,,,,,
17,1972,1972-11-05,8,23.319,STL,@,PHI,T 6-6,2,39,19.50,0,3,24,8.00,0
18,1972,1972-11-12,9,23.326,STL,@,DAL,L 24-33,0,0,,0,1,0,0.00,0
19,1972,1972-11-19,10,23.333,STL,,NYG,L 7-13,,,,,,,,
20,1972,1972-12-17,14,23.361,STL,,PHI,W 24-23,,,,,,,,
