ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1970,1970-09-20,1,23.230,BAL,@,SDG,W 16-14,0,0,,0,0,0,,0,1,1,100.0,3,4,75.0,0,10
2,1970,1970-09-28,2,23.238,BAL,,KAN,L 24-44,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
3,1970,1970-10-04,3,23.244,BAL,@,BOS,W 14-6,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
4,1970,1970-10-11,4,23.251,BAL,@,HOU,W 24-20,0,0,,0,0,0,,0,3,3,100.0,1,3,33.3,0,6
5,1970,1970-10-18,5,23.258,BAL,@,NYJ,W 29-22,0,0,,0,0,0,,0,2,3,66.7,3,4,75.0,0,11
6,1970,1970-10-25,6,23.265,BAL,,BOS,W 27-3,0,0,,0,0,0,,0,3,3,100.0,2,2,100.0,0,9
7,1970,1970-11-01,7,23.272,BAL,,MIA,W 35-0,0,0,,0,0,0,,0,5,5,100.0,,1,0.0,0,5
8,1970,1970-11-09,8,23.280,BAL,@,GNB,W 13-10,0,0,,0,0,0,,0,1,1,100.0,2,3,66.7,0,7
9,1970,1970-11-15,9,23.286,BAL,,BUF,T 17-17,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5
10,1970,1970-11-22,10,23.293,BAL,@,MIA,L 17-34,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5
11,1970,1970-11-29,11,23.300,BAL,,CHI,W 21-20,0,0,,0,0,0,,0,3,3,100.0,,1,0.0,0,3
12,1970,1970-12-06,12,23.307,BAL,,PHI,W 29-10,0,0,,0,0,0,,0,2,3,66.7,3,5,60.0,0,11
13,1970,1970-12-13,13,23.314,BAL,@,BUF,W 20-14,0,0,,0,0,0,,0,2,2,100.0,2,2,100.0,0,8
14,1970,1970-12-19,14,23.320,BAL,,NYJ,W 35-20,1,28,28.00,0,0,0,,0,5,5,100.0,,1,0.0,0,5
15,1971,1971-09-19,1,24.229,BAL,,NYJ,W 22-0,0,0,,0,0,0,,0,1,2,50.0,3,3,100.0,0,10
16,1971,1971-09-26,2,24.236,BAL,,CLE,L 13-14,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
17,1971,1971-10-03,3,24.243,BAL,@,NWE,W 23-3,0,0,,0,0,0,,0,2,2,100.0,3,3,100.0,0,11
18,1971,1971-10-10,4,24.250,BAL,@,BUF,W 43-0,0,0,,0,0,0,,0,5,5,100.0,2,2,100.0,0,11
19,1971,1971-10-17,5,24.257,BAL,@,NYG,W 31-7,0,0,,0,0,0,,0,4,4,100.0,1,1,100.0,0,7
