ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1960,1960-10-09,3,27.038,GNB,,BAL,W 35-21,2,35,0
2,1960,1960-12-10,11,27.100,GNB,@,SFO,W 13-0,1,17,0
3,1961,1961-10-01,3,28.030,GNB,,CHI,W 24-0,1,13,0
4,1961,1961-10-08,4,28.037,GNB,,BAL,W 45-7,1,41,0
5,1961,1961-10-22,6,28.051,GNB,@,MIN,W 33-7,1,0,0
6,1961,1961-11-05,8,28.065,GNB,@,BAL,L 21-45,1,0,0
7,1961,1961-11-23,11,28.083,GNB,@,DET,W 17-9,1,0,0
8,1962,1962-09-16,1,29.015,GNB,,MIN,W 34-7,1,35,0
9,1962,1962-09-23,2,29.022,GNB,,STL,W 17-0,1,19,0
10,1962,1962-09-30,3,29.029,GNB,,CHI,W 49-0,1,8,0
11,1962,1962-10-14,5,29.043,GNB,@,MIN,W 48-21,1,2,0
12,1962,1962-10-21,6,29.050,GNB,,SFO,W 31-13,1,24,0
13,1963,1963-11-03,8,30.063,GNB,,PIT,W 33-14,1,6,0
14,1963,1963-11-10,9,30.070,GNB,,MIN,W 28-7,1,16,0
15,1963,1963-12-07,13,30.097,GNB,@,RAM,W 31-14,1,3,0
16,1964,1964-09-28,3,31.027,GNB,@,DET,W 14-10,1,13,0
17,1966,1966-11-13,10,33.073,RAM,,NYG,W 55-14,1,0,0
