ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1982,1982-09-12,1,23.253,NWE,@,BAL,W 24-13,,,,,,,,,,
2,1982,1982-09-19,2,23.260,NWE,,NYJ,L 7-31,,,,,,,,,,
3,1982,1982-11-21,3,23.323,NWE,@,CLE,L 7-10,,,,,,,,,,
4,1982,1982-11-28,4,23.330,NWE,,HOU,W 29-21,,,,,,,,,,
5,1982,1982-12-05,5,23.337,NWE,@,CHI,L 13-26,,,,,,,,,,
6,1982,1982-12-12,6,23.344,NWE,,MIA,W 3-0,,,,,,,,,,
7,1982,1982-12-19,7,23.351,NWE,@,SEA,W 16-0,,,,,,,,,,
8,1982,1982-12-26,8,23.358,NWE,@,PIT,L 14-37,,,,,,,,,,
9,1982,1983-01-02,9,24.000,NWE,,BUF,W 30-19,,,,,,,,,,
10,1983,1983-09-04,1,24.245,NWE,,BAL,L 23-29,,,,,,,,,,
11,1983,1983-09-11,2,24.252,NWE,@,MIA,L 24-34,,,,,,,,,,
12,1983,1983-09-18,3,24.259,NWE,,NYJ,W 23-13,,,,,,,,,,
13,1983,1983-09-25,4,24.266,NWE,@,PIT,W 28-23,,,,,,,,,,
14,1983,1983-10-02,5,24.273,NWE,,SFO,L 13-33,,,,,,,,,,
15,1983,1983-10-09,6,24.280,NWE,@,BAL,L 7-12,,,,,,,,,,
16,1983,1983-10-16,7,24.287,NWE,,SDG,W 37-21,,,,,,,,,,
17,1983,1983-10-23,8,24.294,NWE,@,BUF,W 31-0,,,,,,,,,,
18,1983,1983-10-30,9,24.301,NWE,@,ATL,L 13-24,,,,,,,,,,
19,1983,1983-11-06,10,24.308,NWE,,BUF,W 21-7,0,0,,0,0,0,0.0,1,4,0
20,1983,1983-11-13,11,24.315,NWE,,MIA,W 17-6,,,,,,,,,,
21,1983,1983-11-20,12,24.322,NWE,,CLE,L 0-30,,,,,,,,,,
22,1983,1983-11-27,13,24.329,NWE,@,NYJ,L 3-26,0,0,,0,0,0,0.0,1,0,0
23,1983,1983-12-04,14,24.336,NWE,,NOR,W 7-0,,,,,,,,,,
24,1983,1983-12-11,15,24.343,NWE,@,RAM,W 21-7,,,,,,,,,,
25,1983,1983-12-18,16,24.350,NWE,@,SEA,L 6-24,,,,,,,,,,
26,1984,1984-09-02,1,25.244,NWE,@,BUF,W 21-17,,,,,,,,,,
27,1984,1984-09-09,2,25.251,NWE,@,MIA,L 7-28,,,,,,,,,,
28,1984,1984-09-16,3,25.258,NWE,,SEA,W 38-23,,,,,,,,,,
29,1984,1984-09-23,4,25.265,NWE,,WAS,L 10-26,,,,,,,,,,
30,1984,1984-09-30,5,25.272,NWE,@,NYJ,W 28-21,0,0,,0,0,0,1.0,1,26,0
31,1984,1984-10-07,6,25.279,NWE,@,CLE,W 17-16,,,,,,,,,,
32,1984,1984-10-14,7,25.286,NWE,,CIN,W 20-14,,,,,,,,,,
33,1984,1984-10-21,8,25.293,NWE,,MIA,L 24-44,,,,,,,,,,
34,1984,1984-10-28,9,25.300,NWE,,NYJ,W 30-20,,,,,,,,,,
35,1984,1984-11-04,10,25.307,NWE,@,DEN,L 19-26,,,,,,,,,,
36,1984,1984-11-11,11,25.314,NWE,,BUF,W 38-10,0,0,,0,0,0,0.0,1,13,0
37,1984,1984-11-18,12,25.321,NWE,@,IND,W 50-17,,,,,,,,,,
38,1984,1984-11-22,13,25.325,NWE,@,DAL,L 17-20,,,,,,,,,,
39,1984,1984-12-02,14,25.335,NWE,,STL,L 10-33,,,,,,,,,,
40,1984,1984-12-09,15,25.342,NWE,@,PHI,L 17-27,,,,,,,,,,
41,1984,1984-12-16,16,25.349,NWE,,IND,W 16-10,,,,,,,,,,
42,1985,1985-09-08,1,26.249,NWE,,GNB,W 26-20,0,0,,0,,,,,,
43,1985,1985-09-15,2,26.256,NWE,@,CHI,L 7-20,0,0,,0,0,0,0.0,1,0,0
44,1985,1985-09-22,3,26.263,NWE,@,BUF,W 17-14,0,0,,0,,,,,,
45,1985,1985-09-29,4,26.270,NWE,,RAI,L 20-35,0,0,,0,,,,,,
46,1985,1985-10-06,5,26.277,NWE,@,CLE,L 20-24,0,0,,0,0,0,0.0,1,4,0
47,1985,1985-10-13,6,26.284,NWE,,BUF,W 14-3,0,0,,0,,,,,,
48,1985,1985-10-20,7,26.291,NWE,,NYJ,W 20-13,0,0,,0,,,,,,
49,1985,1985-10-27,8,26.298,NWE,@,TAM,W 32-14,0,0,,0,0,0,0.0,1,22,0
50,1985,1985-11-03,9,26.305,NWE,,MIA,W 17-13,0,0,,0,,,,,,
51,1985,1985-11-10,10,26.312,NWE,,IND,W 34-15,0,0,,0,0,0,0.0,1,36,0
52,1985,1985-11-17,11,26.319,NWE,@,SEA,W 20-13,0,0,,0,0,0,0.0,2,115,0
53,1985,1985-11-24,12,26.326,NWE,@,NYJ,L 13-16,0,0,,0,,,,,,
54,1985,1985-12-01,13,26.333,NWE,@,IND,W 38-31,0,0,,0,0,0,0.0,1,12,0
55,1985,1985-12-08,14,26.340,NWE,,DET,W 23-6,0,0,,0,,,,,,
56,1985,1985-12-16,15,26.348,NWE,@,MIA,L 27-30,0,0,,0,,,,,,
57,1985,1985-12-22,16,26.354,NWE,,CIN,W 34-23,0,0,,0,,,,,,
