ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1965,1965-09-11,1,22.064,BOS,@,BUF,L 7-24,5,10,2.00,0,1,23,23.00,0,0,0,,0
2,1965,1965-09-19,2,22.072,BOS,@,HOU,L 10-31,6,6,1.00,0,1,-2,-2.00,0,0,0,,0
3,1965,1965-09-24,3,22.077,BOS,,DEN,L 10-27,4,0,0.00,0,0,0,,0,0,0,,0
4,1965,1965-10-03,4,22.086,BOS,@,KAN,L 17-27,1,3,3.00,0,0,0,,0,1,16,16.00,0
5,1965,1965-10-08,5,22.091,BOS,,OAK,L 10-24,3,10,3.33,0,1,-6,-6.00,0,1,13,13.00,0
6,1965,1965-11-07,9,22.121,BOS,,BUF,L 7-23,0,0,,0,1,14,14.00,0,0,0,,0
7,1966,1966-09-10,1,23.063,BOS,@,SDG,L 0-24,0,0,,0,0,0,,0,2,45,22.50,0
