ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1999,1999-11-28,11,22.183,TAM,@,SEA,W 16-3,,3,7,42.86,32,1,0,96.4,1,4,4.57,7.43,3,-1,-0.33,0,0,0
2,1999,1999-12-06,12,22.191,TAM,,MIN,W 24-17,*,11,19,57.89,93,2,1,83.9,2,6,4.89,4.63,4,8,2.00,0,0,0
3,1999,1999-12-12,13,22.197,TAM,,DET,W 23-16,*,23,37,62.16,297,2,1,94.1,3,26,8.03,7.89,3,7,2.33,0,0,0
4,1999,1999-12-19,14,22.204,TAM,@,OAK,L 0-45,*,17,29,58.62,142,0,1,57.0,4,39,4.90,3.34,1,5,5.00,0,0,0
5,1999,1999-12-26,15,22.211,TAM,,GNB,W 29-10,*,17,30,56.67,133,1,1,65.0,0,0,4.43,3.60,5,20,4.00,0,0,0
6,1999,2000-01-02,16,22.218,TAM,@,CHI,W 20-6,*,18,24,75.00,178,1,0,109.4,1,3,7.42,8.25,2,-1,-0.50,0,0,0
7,2000,2000-09-03,1,23.097,TAM,@,NWE,W 21-16,*,12,24,50.00,167,1,0,86.6,1,11,6.96,7.79,4,21,5.25,0,0,0
8,2000,2000-09-10,2,23.104,TAM,,CHI,W 41-0,*,10,21,47.62,167,2,0,106.6,2,15,7.95,9.86,2,6,3.00,1,1,6
9,2000,2000-09-17,3,23.111,TAM,@,DET,W 31-10,*,18,30,60.00,211,1,0,92.5,0,0,7.03,7.70,4,17,4.25,1,1,6
10,2000,2000-09-24,4,23.118,TAM,,NYJ,L 17-21,*,7,19,36.84,135,1,2,40.4,2,15,7.11,3.42,2,8,4.00,0,0,0
11,2000,2000-10-01,5,23.125,TAM,@,WAS,L 17-20,*,19,38,50.00,202,1,1,63.7,4,19,5.32,4.66,3,23,7.67,0,0,0
12,2000,2000-10-09,6,23.133,TAM,@,MIN,L 23-30,*,26,40,65.00,295,0,0,87.0,2,12,7.38,7.38,3,22,7.33,1,1,6
13,2000,2000-10-19,7,23.143,TAM,,DET,L 14-28,*,17,34,50.00,149,0,3,25.2,0,0,4.38,0.41,5,33,6.60,0,0,0
14,2000,2000-10-29,8,23.153,TAM,,MIN,W 41-13,*,16,23,69.57,267,4,0,148.0,1,6,11.61,15.09,2,4,2.00,0,0,0
15,2000,2000-11-05,9,23.160,TAM,@,ATL,W 27-14,*,11,25,44.00,110,3,1,80.0,1,4,4.40,5.00,3,19,6.33,0,0,0
16,2000,2000-11-12,10,23.167,TAM,,GNB,W 20-15,*,16,27,59.26,164,2,1,86.0,0,0,6.07,5.89,6,13,2.17,0,0,0
17,2000,2000-11-19,11,23.174,TAM,@,CHI,L 10-13,*,12,19,63.16,91,0,2,35.1,4,31,4.79,0.05,11,72,6.55,1,1,6
18,2000,2000-11-26,12,23.181,TAM,,BUF,W 31-17,*,10,18,55.56,106,0,0,72.9,7,40,5.89,5.89,5,8,1.60,1,1,6
19,2000,2000-12-03,13,23.188,TAM,,DAL,W 27-7,*,9,15,60.00,65,0,0,70.1,2,14,4.33,4.33,4,2,0.50,0,0,0
20,2000,2000-12-10,14,23.195,TAM,@,MIA,W 16-13,*,11,15,73.33,147,0,1,76.3,4,26,9.80,6.80,6,27,4.50,0,0,0
21,2000,2000-12-18,15,23.203,TAM,,STL,W 38-35,*,18,38,47.37,256,2,2,65.2,2,15,6.74,5.42,7,58,8.29,0,0,0
22,2000,2000-12-24,16,23.209,TAM,@,GNB,L 14-17,*,21,42,50.00,237,1,0,75.2,5,32,5.64,6.12,6,20,3.33,0,0,0
23,2001,2001-10-28,6,24.152,TAM,,MIN,W 41-14,,2,3,66.67,62,0,0,109.7,0,0,20.67,20.67,3,-3,-1.00,0,0,0
24,2001,2001-12-23,14,24.208,TAM,,NOR,W 48-21,,,,,,,,,0,,,,,,,,,
25,2001,2002-01-06,16,24.222,TAM,,PHI,L 13-17,,19,28,67.86,148,0,1,65.8,3,29,5.29,3.68,2,-9,-4.50,0,0,0
26,2002,2002-10-27,8,25.151,TAM,@,CAR,W 12-9,,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,0,0,,0,0,0
27,2002,2002-12-08,13,25.193,TAM,,ATL,W 34-10,,0,0,,0,0,0,,0,,,,1,2,2.00,0,0,0
28,2002,2002-12-23,15,25.208,TAM,,PIT,L 7-17,*,9,26,34.62,73,0,1,27.4,1,5,2.81,1.08,3,23,7.67,0,0,0
29,2003,2003-09-21,3,26.115,TAM,@,ATL,W 31-10,,0,0,,0,0,,,0,8,,,0,0,,0,0,
30,2003,2003-10-19,6,26.143,TAM,@,SFO,L 7-24,,4,7,57.14,24,0,0,64.0,0,0,3.43,3.43,2,18,9.00,0,0,0
31,2003,2003-12-28,16,26.213,TAM,@,TEN,L 13-33,,11,15,73.33,106,1,1,87.1,2,17,7.07,5.40,2,2,1.00,0,0,0
32,2004,2004-09-26,3,27.120,ARI,@,ATL,L 3-6,,5,6,83.33,40,0,0,94.4,1,6,6.67,6.67,0,0,,0,0,0
33,2004,2004-11-21,10,27.176,ARI,@,CAR,L 10-35,*,28,52,53.85,343,1,3,56.8,4,29,6.60,4.38,6,22,3.67,0,0,0
34,2004,2004-11-28,11,27.183,ARI,,NYJ,L 3-13,*,14,26,53.85,119,0,1,50.0,1,7,4.58,2.85,3,8,2.67,0,0,0
