ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1967,1967-09-03,1,23.238,BOS,@,DEN,L 21-26,5,210,42.00,0
2,1967,1967-09-09,2,23.244,BOS,@,SDG,L 14-28,6,231,38.50,0
3,1967,1967-09-17,3,23.252,BOS,@,OAK,L 7-35,6,247,41.17,0
4,1967,1967-09-24,4,23.259,BOS,@,BUF,W 23-0,5,212,42.40,0
5,1967,1967-10-08,5,23.273,BOS,@,SDG,T 31-31,4,150,37.50,0
6,1967,1967-10-15,6,23.280,BOS,,MIA,W 41-10,3,129,43.00,0
7,1967,1967-10-22,7,23.287,BOS,,OAK,L 14-48,9,379,42.11,0
8,1967,1967-10-29,8,23.294,BOS,@,NYJ,L 23-30,7,280,40.00,0
9,1967,1967-11-05,9,23.301,BOS,,HOU,W 18-7,2,55,27.50,0
10,1967,1967-11-12,10,23.308,BOS,,KAN,L 10-33,4,174,43.50,0
11,1967,1967-11-19,11,23.315,BOS,,NYJ,L 24-29,6,245,40.83,0
12,1967,1967-11-26,12,23.322,BOS,@,HOU,L 6-27,3,121,40.33,0
13,1967,1967-12-09,13,23.335,BOS,,BUF,L 16-44,5,198,39.60,0
14,1968,1968-10-13,5,24.279,BOS,,HOU,L 0-16,8,316,39.50,0
15,1968,1968-10-20,6,24.286,BOS,,BUF,W 23-6,5,173,34.60,0
16,1968,1968-10-27,7,24.293,BOS,@,NYJ,L 14-48,6,220,36.67,1
17,1968,1968-11-03,8,24.300,BOS,,DEN,L 14-35,7,318,45.43,0
18,1968,1968-11-10,9,24.307,BOS,,SDG,L 17-27,5,167,33.40,0
19,1968,1968-11-17,10,24.314,BOS,@,KAN,L 17-31,8,344,43.00,0
20,1968,1968-11-24,11,24.321,BOS,,MIA,L 10-34,5,206,41.20,0
21,1968,1968-12-01,12,24.328,BOS,,CIN,W 33-14,4,203,50.75,0
22,1968,1968-12-08,13,24.335,BOS,@,MIA,L 7-38,7,235,33.57,0
23,1968,1968-12-15,14,24.342,BOS,@,HOU,L 17-45,7,266,38.00,1
24,1969,1969-12-07,13,25.333,CIN,@,OAK,L 17-37,8,316,39.50,0
25,1969,1969-12-14,14,25.340,CIN,@,DEN,L 16-27,4,143,35.75,0
