ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-10-16,5,23.320,DET,,CAR,L 20-21,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
2,2005,2005-10-23,6,23.327,DET,@,CLE,W 13-10,,1,,,,,0.0%,,,,,,,,,,,,,,
3,2005,2005-10-30,7,23.334,DET,,CHI,L 13-19,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,,
4,2005,2005-11-06,8,23.341,DET,@,MIN,L 14-27,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
5,2005,2005-11-24,11,23.359,DET,,ATL,L 7-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
6,2005,2005-12-18,14,24.018,DET,,CIN,L 17-41,,0,0,0,,0,0.0%,,2,42,21.00,0,0,0,,0,0,0,0.0,,
7,2007,2007-09-30,4,25.304,DEN,@,IND,L 20-38,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
8,2007,2007-10-07,5,25.311,DEN,,SDG,L 3-41,,6,6,70,11.67,0,100.0%,11.67,0,0,,0,1,18,18.00,0,0,0,0.0,,
9,2007,2007-10-21,6,25.325,DEN,,PIT,W 31-28,,2,1,11,11.00,0,50.0%,5.50,1,31,31.00,0,0,0,,0,0,0,0.0,,
10,2007,2007-10-29,7,25.333,DEN,,GNB,L 13-19,,3,1,18,18.00,0,33.3%,6.00,0,0,,0,1,26,26.00,0,0,0,0.0,,
11,2007,2007-11-04,8,25.339,DEN,@,DET,L 7-44,,4,3,27,9.00,0,75.0%,6.75,2,41,20.50,0,1,4,4.00,0,0,0,0.0,,
12,2007,2007-11-11,9,25.346,DEN,@,KAN,W 27-11,,2,0,0,,0,0.0%,0.00,0,0,,0,1,-5,-5.00,0,0,0,0.0,,
13,2007,2007-11-19,10,25.354,DEN,,TEN,W 34-20,,1,0,0,,0,0.0%,0.00,0,0,,0,2,80,40.00,1,1,6,0.0,,
14,2007,2007-11-25,11,25.360,DEN,@,CHI,L 34-37,,0,0,0,,0,0.0%,,6,94,15.67,0,2,5,2.50,0,0,0,0.0,,
15,2007,2007-12-09,13,26.009,DEN,,KAN,W 41-7,,3,2,22,11.00,0,66.7%,7.33,1,23,23.00,0,4,14,3.50,0,0,0,0.0,,
16,2007,2007-12-13,14,26.013,DEN,@,HOU,L 13-31,*,1,1,17,17.00,0,100.0%,17.00,4,106,26.50,0,0,0,,0,0,0,0.0,,
17,2007,2007-12-24,15,26.024,DEN,@,SDG,L 3-23,,1,0,0,,0,0.0%,0.00,1,35,35.00,0,0,0,,0,0,0,0.0,,
18,2007,2007-12-30,16,26.030,DEN,,MIN,W 22-19,,1,0,10,,0,0.0%,10.00,0,0,,0,2,15,7.50,0,0,0,0.0,,
19,2008,2008-10-05,5,26.310,DEN,,TAM,W 16-13,,1,1,12,12.00,0,100.0%,12.00,1,0,0.00,0,2,9,4.50,0,0,0,0.0,0,0
20,2008,2008-10-12,6,26.317,DEN,,JAX,L 17-24,,3,2,20,10.00,0,66.7%,6.67,0,0,,0,3,47,15.67,0,0,0,0.0,0,0
21,2009,2009-09-13,1,27.287,HOU,,NYJ,L 7-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1
22,2009,2009-09-20,2,27.294,HOU,@,TEN,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1
23,2009,2009-09-27,3,27.301,HOU,,JAX,L 24-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2009,2009-11-23,10,27.358,HOU,,TEN,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,3,10,3.33,0,0,0,0.0,0,0
25,2009,2009-12-06,12,28.006,HOU,@,JAX,L 18-23,,0,0,0,,0,0.0%,,1,6,6.00,0,3,13,4.33,0,0,0,0.0,0,0
26,2009,2009-12-20,14,28.020,HOU,@,STL,W 16-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
27,2009,2009-12-27,15,28.027,HOU,@,MIA,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1
