ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1964,1964-12-13,14,22.047,CHI,,MIN,L 14-41,3,93,31.00,0,0,0,,0,0,0,0,0,,0
2,1965,1965-10-10,4,22.348,CHI,,RAM,W 31-6,1,-1,-1.00,0,0,0,,0,0,0,0,0,,0
3,1966,1966-09-11,1,23.319,ATL,,RAM,L 14-19,1,7,7.00,0,0,0,,0,0,0,0,0,,0
4,1966,1966-09-18,2,23.326,ATL,@,PHI,L 10-23,3,19,6.33,0,0,0,,0,0,0,0,0,,0
5,1966,1966-09-25,3,23.333,ATL,@,DET,L 10-28,2,5,2.50,0,0,0,,0,0,0,0,0,,0
6,1966,1966-10-02,4,23.340,ATL,,DAL,L 14-47,2,49,24.50,0,0,0,,0,0,0,0,0,,0
7,1966,1966-10-09,5,23.347,ATL,@,WAS,L 20-33,2,20,10.00,0,0,0,,0,0,0,0,0,,0
8,1966,1966-10-16,6,23.354,ATL,,SFO,L 7-44,2,40,20.00,0,0,0,,0,0,0,0,0,,0
9,1966,1966-10-23,7,23.361,ATL,@,GNB,L 3-56,4,42,10.50,0,0,0,,0,0,0,0,0,,0
10,1966,1966-11-13,9,24.017,ATL,,BAL,L 7-19,3,16,5.33,0,0,0,,0,0,0,0,0,,0
11,1966,1966-11-20,10,24.024,ATL,@,NYG,W 27-16,1,9,9.00,0,0,0,,0,0,0,0,0,,0
12,1966,1966-11-27,11,24.031,ATL,@,CHI,L 6-23,2,45,22.50,0,0,0,,0,0,0,0,0,,0
13,1966,1966-12-04,12,24.038,ATL,@,MIN,W 20-13,2,18,9.00,0,0,0,,0,0,0,0,0,,0
14,1966,1966-12-11,13,24.045,ATL,,STL,W 16-10,2,32,16.00,0,0,0,,0,0,0,0,0,,0
15,1966,1966-12-18,14,24.052,ATL,,PIT,L 33-57,3,28,9.33,0,1,0,0.00,0,0,0,0,0,,0
16,1967,1967-09-24,2,24.332,ATL,@,SFO,L 7-38,1,14,14.00,0,0,0,,0,0,0,0,0,,0
17,1967,1967-10-01,3,24.339,ATL,@,GNB,L 0-23,2,23,11.50,0,0,0,,0,0,0,0,0,,0
18,1967,1967-10-15,5,24.353,ATL,,WAS,T 20-20,4,59,14.75,1,0,0,,0,1,6,0,0,,0
19,1967,1967-10-22,6,24.360,ATL,@,DET,L 3-24,4,34,8.50,0,0,0,,0,0,0,0,0,,0
20,1967,1967-10-29,7,25.002,ATL,,MIN,W 21-20,0,0,,0,1,0,0.00,0,0,0,0,0,,0
21,1967,1967-11-05,8,25.009,ATL,@,DAL,L 7-37,1,8,8.00,1,0,0,,0,1,6,0,0,,0
22,1967,1967-11-26,11,25.030,ATL,@,NOR,L 24-27,1,5,5.00,1,0,0,,0,1,6,0,0,,0
23,1967,1967-12-03,12,25.037,ATL,@,RAM,L 3-20,1,3,3.00,0,0,0,,0,0,0,0,0,,0
24,1967,1967-12-10,13,25.044,ATL,,SFO,L 28-34,1,36,36.00,0,0,0,,0,0,0,0,0,,0
25,1968,1968-09-14,1,25.323,MIN,,ATL,W 47-7,3,41,13.67,1,0,0,,0,1,6,3,133,44.33,0
26,1968,1968-09-22,2,25.331,MIN,@,GNB,W 26-13,2,23,11.50,0,0,0,,0,0,0,3,120,40.00,0
27,1968,1968-09-29,3,25.338,MIN,,CHI,L 17-27,0,0,,0,0,0,,0,0,0,3,112,37.33,0
28,1968,1968-10-06,4,25.345,MIN,,DET,W 24-10,1,9,9.00,0,0,0,,0,0,0,5,200,40.00,0
29,1968,1968-10-13,5,25.352,MIN,@,NOR,L 17-20,0,0,,0,0,0,,0,0,0,6,214,35.67,0
30,1968,1968-10-20,6,25.359,MIN,,DAL,L 7-20,2,17,8.50,0,0,0,,0,0,0,4,134,33.50,0
31,1968,1968-10-27,7,26.000,MIN,@,CHI,L 24-26,1,3,3.00,0,0,0,,0,0,0,4,133,33.25,0
32,1968,1968-11-10,9,26.014,MIN,,GNB,W 14-10,1,8,8.00,0,0,0,,0,0,0,0,0,,0
33,1968,1968-11-17,10,26.021,MIN,@,DET,W 13-6,0,0,,0,1,0,0.00,0,0,0,0,0,,0
