ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1983,1983-09-04,1,23.193,RAM,@,NYG,W 16-6,1,2,50.0,1,2,50.0,0,4,0,0,,0
2,1983,1983-09-11,2,23.200,RAM,,NOR,W 30-27,4,4,100.0,,,,0,4,,,,
3,1983,1983-09-18,3,23.207,RAM,@,GNB,L 24-27,3,3,100.0,1,2,50.0,0,6,0,0,,0
4,1983,1983-09-25,4,23.214,RAM,@,NYJ,L 24-27,3,3,100.0,1,2,50.0,0,6,0,0,,0
5,1983,1983-10-02,5,23.221,RAM,,DET,W 21-10,3,3,100.0,,,,0,3,,,,
6,1983,1983-10-09,6,23.228,RAM,@,SFO,W 10-7,1,1,100.0,1,1,100.0,0,4,0,0,,0
7,1983,1983-10-16,7,23.235,RAM,,ATL,W 27-21,3,4,75.0,,1,0.0,0,3,0,0,,0
8,1983,1983-10-23,8,23.242,RAM,,SFO,L 35-45,5,5,100.0,,,,0,5,,,,
9,1983,1983-10-30,9,23.249,RAM,@,MIA,L 14-30,2,2,100.0,,1,0.0,0,2,0,0,,0
10,1983,1983-11-06,10,23.256,RAM,,CHI,W 21-14,3,3,100.0,,,,0,3,,,,
11,1983,1983-11-14,11,23.264,RAM,@,ATL,W 36-13,3,4,75.0,1,2,50.0,0,6,0,0,,0
12,1983,1983-11-20,12,23.270,RAM,,WAS,L 20-42,2,3,66.7,,,,0,2,,,,
13,1984,1984-11-04,10,24.255,BUF,,CLE,L 10-13,1,1,100.0,1,2,50.0,0,4,0,0,,0
14,1984,1984-11-11,11,24.262,BUF,@,NWE,L 10-38,1,1,100.0,1,2,50.0,0,4,0,0,,0
15,1984,1984-11-18,12,24.269,BUF,,DAL,W 14-3,2,2,100.0,,,,0,2,,,,
16,1984,1984-11-25,13,24.276,BUF,@,WAS,L 14-41,2,2,100.0,,,,0,2,,,,
17,1984,1984-12-02,14,24.283,BUF,,IND,W 21-15,3,3,100.0,,,,0,3,,,,
18,1984,1984-12-08,15,24.289,BUF,@,NYJ,L 17-21,2,2,100.0,1,1,100.0,0,5,0,0,,0
19,1984,1984-12-16,16,24.297,BUF,@,CIN,L 21-52,3,3,100.0,,,,0,3,,,,
20,1986,1986-09-07,1,26.196,MIN,,DET,L 10-13,1,1,100.0,1,1,100.0,0,4,0,0,,0
21,1986,1986-09-14,2,26.203,MIN,@,TAM,W 23-10,2,2,100.0,3,3,100.0,0,11,0,0,,0
22,1986,1986-09-21,3,26.210,MIN,,PIT,W 31-7,4,4,100.0,1,1,100.0,0,7,0,0,,0
23,1986,1986-09-28,4,26.217,MIN,,GNB,W 42-7,6,6,100.0,,1,0.0,0,6,0,0,,0
24,1986,1986-10-05,5,26.224,MIN,@,CHI,L 0-23,,,,,1,0.0,0,0,0,0,,0
25,1986,1986-10-12,6,26.231,MIN,@,SFO,W 27-24,3,3,100.0,2,2,100.0,0,9,0,0,,0
26,1986,1986-10-19,7,26.238,MIN,,CHI,W 23-7,2,3,66.7,1,1,100.0,0,5,0,0,,0
27,1986,1986-10-26,8,26.245,MIN,,CLE,L 20-23,2,2,100.0,2,3,66.7,0,8,3,72,24.00,0
28,1986,1986-11-02,9,26.252,MIN,@,WAS,L 38-44,5,5,100.0,1,1,100.0,0,8,0,0,,0
29,1986,1986-11-09,10,26.259,MIN,@,DET,W 24-10,3,3,100.0,1,2,50.0,0,6,0,0,,0
30,1986,1986-11-16,11,26.266,MIN,,NYG,L 20-22,2,2,100.0,2,3,66.7,0,8,0,0,,0
31,1986,1986-11-23,12,26.273,MIN,@,CIN,L 20-24,2,2,100.0,2,2,100.0,0,8,0,0,,0
32,1986,1986-11-30,13,26.280,MIN,,TAM,W 45-13,6,6,100.0,1,1,100.0,0,9,0,0,,0
33,1986,1986-12-07,14,26.287,MIN,@,GNB,W 32-6,2,4,50.0,2,2,100.0,0,8,0,0,,0
34,1986,1986-12-14,15,26.294,MIN,@,HOU,L 10-23,1,1,100.0,1,1,100.0,0,4,0,0,,0
35,1986,1986-12-21,16,26.301,MIN,,NOR,W 33-17,3,3,100.0,2,3,66.7,0,9,0,0,,0
36,1987,1987-09-13,1,27.202,MIN,,DET,W 34-19,4,4,100.0,2,2,100.0,0,10,0,0,,0
37,1987,1987-09-20,2,27.209,MIN,@,RAM,W 21-16,3,3,100.0,,,,0,3,,,,
38,1987,1987-10-26,6,27.245,MIN,,DEN,W 34-27,4,5,80.0,,,,0,4,,,,
39,1987,1987-11-01,7,27.251,MIN,@,SEA,L 17-28,2,2,100.0,1,2,50.0,0,5,0,0,,0
40,1987,1987-11-08,8,27.258,MIN,,RAI,W 31-20,4,4,100.0,1,1,100.0,0,7,0,0,,0
41,1987,1987-11-15,9,27.265,MIN,,TAM,W 23-17,2,2,100.0,3,5,60.0,0,11,0,0,,0
42,1987,1987-11-22,10,27.272,MIN,,ATL,W 24-13,3,3,100.0,1,2,50.0,0,6,0,0,,0
43,1987,1987-11-26,11,27.276,MIN,@,DAL,W 44-38,5,5,100.0,1,4,25.0,0,8,0,0,,0
44,1987,1987-12-06,12,27.286,MIN,,CHI,L 24-30,3,3,100.0,1,2,50.0,0,6,0,0,,0
45,1987,1987-12-13,13,27.293,MIN,@,GNB,L 10-16,1,1,100.0,1,2,50.0,0,4,0,0,,0
46,1987,1987-12-20,14,27.300,MIN,@,DET,W 17-14,2,2,100.0,1,2,50.0,0,5,0,0,,0
47,1987,1987-12-26,15,27.306,MIN,,WAS,L 24-27,3,3,100.0,1,2,50.0,0,6,0,0,,0
48,1988,1988-09-04,1,28.194,MIN,@,BUF,L 10-13,1,1,100.0,1,2,50.0,0,4,0,0,,0
49,1988,1988-09-11,2,28.201,MIN,,NWE,W 36-6,4,4,100.0,2,2,100.0,0,10,0,0,,0
50,1988,1988-09-18,3,28.208,MIN,@,CHI,W 31-7,4,4,100.0,1,1,100.0,0,7,0,0,,0
51,1988,1988-09-25,4,28.215,MIN,,PHI,W 23-21,2,2,100.0,3,4,75.0,0,11,0,0,,0
52,1988,1988-10-02,5,28.222,MIN,@,MIA,L 7-24,1,1,100.0,,1,0.0,0,1,0,0,,0
53,1988,1988-10-09,6,28.229,MIN,,TAM,W 14-13,2,2,100.0,,,,0,2,,,,
54,1988,1988-10-16,7,28.236,MIN,,GNB,L 14-34,2,2,100.0,,1,0.0,0,2,0,0,,0
55,1988,1988-10-23,8,28.243,MIN,@,TAM,W 49-20,7,7,100.0,,,,0,7,,,,
56,1988,1988-10-30,9,28.250,MIN,@,SFO,L 21-24,3,3,100.0,,,,0,3,,,,
57,1988,1988-11-06,10,28.257,MIN,,DET,W 44-17,5,6,83.3,1,1,100.0,0,8,0,0,,0
58,1988,1988-11-13,11,28.264,MIN,@,DAL,W 43-3,5,5,100.0,2,2,100.0,0,11,0,0,,0
59,1988,1988-11-20,12,28.271,MIN,,IND,W 12-3,,,,4,4,100.0,0,12,0,0,,0
60,1988,1988-11-24,13,28.275,MIN,@,DET,W 23-0,2,2,100.0,3,3,100.0,0,11,0,0,,0
61,1988,1988-12-04,14,28.285,MIN,,NOR,W 45-3,6,6,100.0,1,1,100.0,0,9,0,0,,0
62,1988,1988-12-11,15,28.292,MIN,@,GNB,L 6-18,,,,2,3,66.7,0,6,0,0,,0
63,1988,1988-12-19,16,28.300,MIN,,CHI,W 28-27,4,4,100.0,,,,0,4,,,,
