ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2013,2013-09-29,4,23.291,TAM,,ARI,L 10-13,*,24,43,55.81,193,1,2,55.7,2,20,4.49,2.86,2,-1,-0.50,0,0.0,0,0
2,2013,2013-10-13,5,23.305,TAM,,PHI,L 20-31,*,26,43,60.47,273,2,1,84.7,2,16,6.35,6.23,3,20,6.67,0,0.0,0,0
3,2013,2013-10-20,6,23.312,TAM,@,ATL,L 23-31,*,26,44,59.09,256,2,0,90.7,3,30,5.82,6.73,1,13,13.00,0,0.0,0,0
4,2013,2013-10-24,7,23.316,TAM,,CAR,L 13-31,*,30,51,58.82,275,1,0,80.1,3,26,5.39,5.78,3,2,0.67,0,0.0,0,0
5,2013,2013-11-03,8,23.326,TAM,@,SEA,L 24-27,*,17,23,73.91,168,2,0,123.1,3,25,7.30,9.04,4,13,3.25,0,0.0,0,0
6,2013,2013-11-11,9,23.334,TAM,,MIA,W 22-19,*,11,21,52.38,139,1,1,69.3,2,15,6.62,5.43,4,-3,-0.75,0,0.0,0,0
7,2013,2013-11-17,10,23.340,TAM,,ATL,W 41-28,*,20,23,86.96,231,2,0,137.5,2,7,10.04,11.78,1,4,4.00,0,0.0,0,0
8,2013,2013-11-24,11,23.347,TAM,@,DET,W 24-21,*,14,21,66.67,247,2,0,138.4,4,40,11.76,13.67,4,-17,-4.25,0,0.0,0,0
9,2013,2013-12-01,12,23.354,TAM,@,CAR,L 6-27,*,14,21,66.67,180,0,1,73.5,5,40,8.57,6.43,2,3,1.50,0,0.0,0,0
10,2013,2013-12-08,13,23.361,TAM,,BUF,W 27-6,*,9,25,36.00,90,2,2,40.4,1,9,3.60,1.60,1,0,0.00,0,0.0,0,0
11,2013,2013-12-15,14,24.003,TAM,,SFO,L 14-33,*,18,34,52.94,179,2,1,75.5,4,35,5.26,5.12,0,0,,0,0.0,0,0
12,2013,2013-12-22,15,24.010,TAM,@,STL,L 13-23,*,16,26,61.54,158,0,0,78.7,7,47,6.08,6.08,2,3,1.50,0,0.0,0,0
13,2013,2013-12-29,16,24.017,TAM,@,NOR,L 17-42,*,22,41,53.66,219,2,1,75.2,2,4,5.34,5.22,0,0,,0,0.0,0,0
14,2014,2014-09-18,3,24.280,TAM,@,ATL,L 14-56,,17,24,70.83,121,1,0,96.0,2,18,5.04,5.88,3,19,6.33,0,0.0,1,0
15,2014,2014-09-28,4,24.290,TAM,@,PIT,W 27-24,*,21,42,50.00,302,2,1,79.7,1,15,7.19,7.07,0,0,,0,0.0,0,0
16,2014,2014-10-05,5,24.297,TAM,@,NOR,L 31-37,*,19,32,59.38,249,2,1,91.8,1,1,7.78,7.63,1,0,0.00,0,0.0,0,0
17,2014,2014-10-12,6,24.304,TAM,,BAL,L 17-48,*,24,44,54.55,314,2,1,83.0,5,37,7.14,7.02,0,0,,0,0.0,0,0
18,2014,2014-10-26,7,24.318,TAM,,MIN,L 13-19,*,19,28,67.86,171,1,1,81.1,5,12,6.11,5.21,3,13,4.33,0,0.0,0,0
19,2014,2014-11-02,8,24.325,TAM,@,CLE,L 17-22,*,17,33,51.52,260,2,2,72.8,2,8,7.88,6.36,3,17,5.67,0,0.0,1,0
20,2016,2016-11-03,8,26.327,TAM,,ATL,L 28-43,,10,11,90.91,75,1,0,125.4,0,0,6.82,8.64,0,0,,0,0.0,0,0
21,2016,2016-11-13,9,26.337,TAM,,CHI,W 36-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0
22,2017,2017-09-10,1,27.272,CHI,,ATL,L 17-23,*,26,40,65.00,213,1,0,86.8,4,37,5.33,5.83,0,0,,0,0.0,0,0
23,2017,2017-09-17,2,27.279,CHI,@,TAM,L 7-29,*,31,45,68.89,301,1,2,76.2,1,11,6.69,5.13,0,0,,0,0.0,0,0
24,2017,2017-09-24,3,27.286,CHI,,PIT,W 23-17,*,15,22,68.18,101,1,1,74.2,2,17,4.59,3.45,3,4,1.33,0,0.0,0,0
25,2017,2017-09-28,4,27.290,CHI,@,GNB,L 14-35,*,21,33,63.64,218,1,2,67.5,1,13,6.61,4.48,1,0,0.00,0,0.0,0,0
