ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1960,1960-10-30,5,23.308,NYG,,STL,L 13-20,,2,6,33.33,17,0,0,42.4,0,0,2.83,2.83,2,7,3.50,0
2,1960,1960-11-27,9,23.336,NYG,@,PHI,L 23-31,,2,2,100.00,26,0,0,118.7,0,0,13.00,13.00,0,0,,0
3,1960,1960-12-04,10,23.343,NYG,,DAL,T 31-31,,5,11,45.45,75,1,0,98.7,0,0,6.82,8.64,0,0,,0
4,1960,1960-12-18,12,23.357,NYG,,CLE,L 34-48,,2,6,33.33,26,0,1,8.3,0,0,4.33,-3.17,1,-6,-6.00,0
5,1961,1961-09-17,1,24.264,NYG,,STL,L 10-21,,3,11,27.27,43,0,0,43.4,0,0,3.91,3.91,2,10,5.00,0
6,1961,1961-11-05,8,24.313,NYG,,WAS,W 53-0,,2,9,22.22,44,1,2,44.9,0,0,4.89,-2.89,0,0,,0
7,1961,1961-11-19,10,24.327,NYG,,PIT,W 42-21,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,0,0,,0
8,1962,1962-09-09,1,25.256,NYT,@,OAK,W 28-17,,5,8,62.50,186,3,1,106.2,0,0,23.25,25.13,1,18,18.00,0
9,1962,1962-09-16,2,25.263,NYT,@,SDG,L 14-40,*,20,41,48.78,216,2,3,50.5,0,0,5.27,2.95,4,31,7.75,0
10,1962,1962-09-22,3,25.269,NYT,@,BUF,W 17-6,*,17,26,65.38,169,1,1,80.4,0,0,6.50,5.54,1,12,12.00,0
11,1962,1962-09-30,4,25.277,NYT,,DEN,L 10-32,*,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,3,3.00,0
12,1962,1962-10-06,5,25.283,NYT,,BOS,L 14-43,,8,18,44.44,205,2,2,84.0,0,0,11.39,8.61,0,0,,0
13,1962,1962-10-14,6,25.291,NYT,@,HOU,L 17-56,*,3,8,37.50,48,0,0,58.3,0,0,6.00,6.00,1,-2,-2.00,0
14,1962,1962-12-08,13,25.346,NYT,,BUF,L 3-20,,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
15,1962,1962-12-15,14,25.353,NYT,,HOU,L 10-44,,4,20,20.00,31,0,1,18.7,0,0,1.55,-0.70,0,0,,0
