ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1996,1996-09-01,1,27.264,BAL,,OAK,W 19-14,,0,0,,0,0.0%,,0,0,,0,0,0,,0
2,1996,1996-09-08,2,27.271,BAL,@,PIT,L 17-31,,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,1996,1996-09-15,3,27.278,BAL,@,HOU,L 13-29,,0,0,,0,0.0%,,0,0,,0,0,0,,0
4,1996,1996-09-29,4,27.292,BAL,,NOR,W 17-10,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,,0
5,1996,1996-10-06,5,27.299,BAL,,NWE,L 38-46,0,0,0,,0,0.0%,,1,29,29.00,0,0,0,,0
6,1996,1996-10-20,7,27.313,BAL,@,DEN,L 34-45,0,0,0,,0,0.0%,,1,28,28.00,0,0,0,,0
7,1996,1996-11-03,9,27.327,BAL,,CIN,L 21-24,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0
8,1996,1996-11-10,10,27.334,BAL,@,JAX,L 27-30,,0,0,,0,0.0%,,0,0,,0,0,0,,0
9,1996,1996-11-17,11,27.341,BAL,@,SFO,L 20-38,0,0,0,,0,0.0%,,4,67,16.75,0,1,3,3.00,0
10,1996,1996-11-24,12,27.348,BAL,,JAX,L 25-28,0,0,0,,0,0.0%,,1,26,26.00,0,0,0,,0
11,1996,1996-12-01,13,27.355,BAL,,PIT,W 31-17,,0,0,,0,0.0%,,0,0,,0,0,0,,0
12,1996,1996-12-08,14,27.362,BAL,@,CIN,L 14-21,,0,0,,0,0.0%,,0,0,,0,0,0,,0
13,1996,1996-12-15,15,28.003,BAL,@,CAR,L 16-27,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
14,1996,1996-12-22,16,28.010,BAL,,HOU,L 21-24,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,0
15,1997,1997-09-07,2,28.269,BAL,,CIN,W 23-10,0,0,0,,0,0.0%,,1,22,22.00,0,4,21,5.25,0
16,1997,1997-09-14,3,28.276,BAL,@,NYG,W 24-23,0,0,0,,0,0.0%,,1,15,15.00,0,1,0,0.00,0
