ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-20,2,23.091,NYG,@,DAL,W 33-31,,,,,,,,,,,0.0%,,,,,,,,
2,2009,2009-09-27,3,23.098,NYG,@,TAM,W 24-0,,6,23,3.83,0,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
3,2009,2009-10-04,4,23.105,NYG,@,KAN,W 27-16,,,,,,,,,,,0.0%,,,,,,,,
4,2009,2009-10-11,5,23.112,NYG,,OAK,W 44-7,,5,16,3.20,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
5,2009,2009-10-18,6,23.119,NYG,@,NOR,L 27-48,,,,,,,,,,,0.0%,,,,,,,,
6,2009,2009-11-26,11,23.158,NYG,@,DEN,L 6-26,,,,,,,,,,,0.0%,,,,,,,,
7,2009,2009-12-06,12,23.168,NYG,,DAL,W 31-24,,,,,,,,,,,0.0%,,,,,,,,
8,2009,2009-12-21,14,23.183,NYG,@,WAS,W 45-12,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
9,2009,2009-12-27,15,23.189,NYG,,CAR,L 9-41,,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,0.0,0,0
10,2009,2010-01-03,16,23.196,NYG,@,MIN,L 7-44,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
11,2010,2010-10-24,7,24.125,ATL,,CIN,W 39-32,,1,23,23.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
12,2010,2010-11-07,8,24.139,ATL,,TAM,W 27-21,,,,,,,,,,,0.0%,,,,,,,,
13,2010,2010-11-11,9,24.143,ATL,,BAL,W 26-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
14,2010,2010-11-28,11,24.160,ATL,,GNB,W 20-17,,0,0,,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0.0,0,0
15,2010,2010-12-05,12,24.167,ATL,@,TAM,W 28-24,,0,0,,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0.0,0,0
16,2010,2010-12-12,13,24.174,ATL,@,CAR,W 31-10,,6,8,1.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,1,0
17,2010,2010-12-19,14,24.181,ATL,@,SEA,W 34-18,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
18,2010,2010-12-27,15,24.189,ATL,,NOR,L 14-17,,,,,,,,,,,0.0%,,,,,,,,
19,2010,2011-01-02,16,24.195,ATL,,CAR,W 31-10,,2,1,0.50,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0.0,0,0
