ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-12-15,14,26.224,STL,,ARI,W 30-28,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,2002-12-22,15,26.231,STL,@,SEA,L 10-30,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2002,2002-12-30,16,26.239,STL,,SFO,W 31-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2003,2003-09-07,1,27.125,STL,@,NYG,L 13-23,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,0,0,,0,0,0,,0,0,0,0.0,,
5,2003,2003-09-14,2,27.132,STL,,SFO,W 27-24,,5,5,47,9.40,1,100.0%,9.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0.0,,
6,2003,2003-09-21,3,27.139,STL,@,SEA,L 23-24,,6,3,25,8.33,0,50.0%,4.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
7,2003,2003-09-28,4,27.146,STL,,ARI,W 37-13,,5,4,27,6.75,1,80.0%,5.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0.0,,
8,2003,2003-10-13,5,27.161,STL,,ATL,W 36-0,,4,4,43,10.75,0,100.0%,10.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
9,2003,2003-10-19,6,27.167,STL,,GNB,W 34-24,,6,2,31,15.50,1,33.3%,5.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0.0,,
10,2003,2003-10-26,7,27.174,STL,@,PIT,W 33-21,,5,3,27,9.00,0,60.0%,5.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
11,2003,2003-11-02,8,27.181,STL,@,SFO,L 10-30,,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
12,2003,2003-11-09,9,27.188,STL,,BAL,W 33-22,*,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,44,44.00,0,0,0,0.0,,
13,2003,2003-11-16,10,27.195,STL,@,CHI,W 23-21,,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,3,3.00,0,0,0,0.0,,
14,2003,2003-11-23,11,27.202,STL,@,ARI,W 30-27,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
15,2003,2003-11-30,12,27.209,STL,,MIN,W 48-17,,1,1,41,41.00,0,100.0%,41.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
16,2003,2003-12-08,13,27.217,STL,@,CLE,W 26-20,,6,3,50,16.67,0,50.0%,8.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
17,2003,2003-12-14,14,27.223,STL,,SEA,W 27-22,,5,3,30,10.00,0,60.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
18,2003,2003-12-21,15,27.230,STL,,CIN,W 27-10,*,7,3,17,5.67,0,42.9%,2.43,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
19,2003,2003-12-28,16,27.237,STL,@,DET,L 20-30,,8,3,35,11.67,0,37.5%,4.38,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0.0,,
20,2004,2004-09-12,1,28.130,STL,,ARI,W 17-10,,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
21,2004,2004-09-19,2,28.137,STL,@,ATL,L 17-34,,3,2,41,20.50,0,66.7%,13.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
22,2004,2004-09-26,3,28.144,STL,,NOR,L 25-28,,8,5,69,13.80,0,62.5%,8.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
23,2004,2004-10-03,4,28.151,STL,@,SFO,W 24-14,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2004,2004-10-10,5,28.158,STL,@,SEA,W 33-27,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
25,2004,2004-10-18,6,28.166,STL,,TAM,W 28-21,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2004,2004-10-24,7,28.172,STL,@,MIA,L 14-31,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
27,2004,2004-11-21,10,28.200,STL,@,BUF,L 17-37,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2004,2004-11-29,11,28.208,STL,@,GNB,L 17-45,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2004,2004-12-05,12,28.214,STL,,SFO,W 16-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2004,2004-12-12,13,28.221,STL,@,CAR,L 7-20,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2004,2004-12-19,14,28.228,STL,@,ARI,L 7-31,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2004,2004-12-27,15,28.236,STL,,PHI,W 20-7,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2004,2005-01-02,16,28.242,STL,,NYJ,W 32-29,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
34,2005,2005-09-11,1,29.129,STL,@,SFO,L 25-28,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
35,2005,2005-09-18,2,29.136,STL,@,ARI,W 17-12,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
36,2005,2005-09-25,3,29.143,STL,,TEN,W 31-27,,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
37,2005,2005-10-02,4,29.150,STL,@,NYG,L 24-44,,11,8,90,11.25,0,72.7%,8.18,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
38,2005,2005-10-09,5,29.157,STL,,SEA,L 31-37,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
39,2005,2005-10-17,6,29.165,STL,@,IND,L 28-45,,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
40,2005,2005-10-23,7,29.171,STL,,NOR,W 28-17,,4,4,43,10.75,0,100.0%,10.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
41,2005,2005-10-30,8,29.178,STL,,JAX,W 24-21,,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
42,2005,2005-11-13,9,29.192,STL,@,SEA,L 16-31,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
