ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-09-12,1,22.011,PHI,@,ATL,L 10-14,,,,,,,,,,,
2,2005,2005-09-18,2,22.017,PHI,,SFO,W 42-3,,,,,,,,,,,
3,2005,2005-09-25,3,22.024,PHI,,OAK,W 23-20,*,0,0,,0,1.0,,,0,0,0
4,2005,2005-10-02,4,22.031,PHI,@,KAN,W 37-31,*,0,0,,0,1.0,,,0,0,0
5,2005,2005-10-09,5,22.038,PHI,@,DAL,L 10-33,*,,,,,,,,,,
6,2005,2005-10-23,6,22.052,PHI,,SDG,W 20-17,,,,,,,,,,,
7,2005,2005-10-30,7,22.059,PHI,@,DEN,L 21-49,,,,,,,,,,,
8,2005,2005-11-06,8,22.066,PHI,@,WAS,L 10-17,,,,,,,,,,,
9,2005,2005-11-14,9,22.074,PHI,,DAL,L 20-21,,,,,,,,,,,
10,2005,2005-11-20,10,22.080,PHI,@,NYG,L 17-27,,0,0,,0,0.5,,,0,0,0
11,2005,2005-11-27,11,22.087,PHI,,GNB,W 19-14,,0,0,,0,1.0,,,0,0,0
12,2005,2005-12-05,12,22.095,PHI,,SEA,L 0-42,,,,,,,,,,,
13,2005,2005-12-11,13,22.101,PHI,,NYG,L 23-26,*,,,,,,,,,,
14,2005,2005-12-18,14,22.108,PHI,@,STL,W 17-16,*,,,,,,,,,,
15,2005,2005-12-24,15,22.114,PHI,@,ARI,L 21-27,*,,,,,,,,,,
16,2005,2006-01-01,16,22.122,PHI,,WAS,L 20-31,*,1,12,12.00,0,0.0,,,0,0,0
17,2006,2006-09-10,1,23.009,PHI,@,HOU,W 24-10,*,,,,,,,,,,
18,2006,2006-09-17,2,23.016,PHI,,NYG,L 24-30,*,0,0,,0,1.5,,,0,0,0
19,2006,2006-09-24,3,23.023,PHI,@,SFO,W 38-24,*,,,,,,,,,,
20,2006,2006-10-02,4,23.031,PHI,,GNB,W 31-9,*,,,,,,,,,,
21,2006,2006-10-08,5,23.037,PHI,,DAL,W 38-24,*,,,,,,,,,,
22,2006,2006-10-15,6,23.044,PHI,@,NOR,L 24-27,*,,,,,,,,,,
23,2006,2006-10-22,7,23.051,PHI,@,TAM,L 21-23,*,,,,,,,,,,
24,2006,2006-10-29,8,23.058,PHI,,JAX,L 6-13,*,,,,,,,,,,
25,2006,2006-11-12,9,23.072,PHI,,WAS,W 27-3,*,,,,,,,,,,
26,2006,2006-11-19,10,23.079,PHI,,TEN,L 13-31,*,,,,,,,,,,
27,2006,2006-11-26,11,23.086,PHI,@,IND,L 21-45,*,,,,,,,,,,
28,2006,2006-12-04,12,23.094,PHI,,CAR,W 27-24,*,,,,,,,,,,
29,2006,2006-12-10,13,23.100,PHI,@,WAS,W 21-19,*,,,,,,,,,,
30,2006,2006-12-17,14,23.107,PHI,@,NYG,W 36-22,*,,,,,,,,,,
31,2006,2006-12-25,15,23.115,PHI,@,DAL,W 23-7,*,,,,,,,,,,
32,2006,2006-12-31,16,23.121,PHI,,ATL,W 24-17,*,,,,,,,,,,
33,2007,2007-09-09,1,24.008,PHI,@,GNB,L 13-16,*,0,0,,0,1.0,,,0,0,0
34,2007,2007-09-17,2,24.016,PHI,,WAS,L 12-20,*,,,,,,,,,,
35,2007,2007-09-23,3,24.022,PHI,,DET,W 56-21,*,0,0,,0,0.5,,,0,0,0
36,2007,2007-09-30,4,24.029,PHI,@,NYG,L 3-16,*,,,,,,,,,,
37,2007,2007-10-14,5,24.043,PHI,@,NYJ,W 16-9,*,,,,,,,,,,
38,2007,2007-10-21,6,24.050,PHI,,CHI,L 16-19,*,,,,,,,,,,
39,2007,2007-10-28,7,24.057,PHI,@,MIN,W 23-16,*,,,,,,,,,,
40,2007,2007-11-04,8,24.064,PHI,,DAL,L 17-38,*,,,,,,,,,,
41,2007,2007-11-11,9,24.071,PHI,@,WAS,W 33-25,*,0,0,,0,1.0,,,0,0,0
42,2007,2007-11-18,10,24.078,PHI,,MIA,W 17-7,*,,,,,,,,,,
43,2007,2007-11-25,11,24.085,PHI,@,NWE,L 28-31,,,,,,,,,,,
44,2007,2007-12-02,12,24.092,PHI,,SEA,L 24-28,*,0,0,,0,0.5,,,0,0,0
45,2007,2007-12-09,13,24.099,PHI,,NYG,L 13-16,*,,,,,,,,,,
46,2007,2007-12-16,14,24.106,PHI,@,DAL,W 10-6,*,0,0,,0,1.0,,,0,0,0
47,2007,2007-12-23,15,24.113,PHI,@,NOR,W 38-23,*,,,,,,,,,,
48,2007,2007-12-30,16,24.120,PHI,,BUF,W 17-9,*,,,,,,,,,,
49,2008,2008-09-07,1,25.006,PHI,,STL,W 38-3,*,0,0,,0,0.5,1,1,0,0,0
50,2008,2008-09-15,2,25.014,PHI,@,DAL,L 37-41,*,0,0,,0,0.0,1,1,0,0,0
51,2008,2008-09-21,3,25.020,PHI,,PIT,W 15-6,*,0,0,,0,0.0,0,1,0,0,0
52,2008,2008-09-28,4,25.027,PHI,@,CHI,L 20-24,*,0,0,,0,0.0,1,0,0,0,0
53,2008,2008-10-05,5,25.034,PHI,,WAS,L 17-23,*,0,0,,0,0.0,8,2,0,0,0
54,2008,2008-10-12,6,25.041,PHI,@,SFO,W 40-26,*,0,0,,0,0.0,0,2,0,0,0
55,2008,2008-10-26,7,25.055,PHI,,ATL,W 27-14,*,0,0,,0,0.0,1,0,0,0,0
56,2008,2008-11-02,8,25.062,PHI,@,SEA,W 26-7,*,0,0,,0,0.0,1,1,0,0,0
57,2008,2008-11-09,9,25.069,PHI,,NYG,L 31-36,*,0,0,,0,0.0,1,0,1,21,0
58,2008,2008-11-16,10,25.076,PHI,@,CIN,T 13-13,*,0,0,,0,0.0,0,2,0,0,0
59,2008,2008-11-23,11,25.083,PHI,@,BAL,L 7-36,*,0,0,,0,0.0,5,0,0,0,0
60,2008,2008-11-27,12,25.087,PHI,,ARI,W 48-20,*,0,0,,0,0.0,1,0,0,0,0
61,2008,2008-12-07,13,25.097,PHI,@,NYG,W 20-14,*,0,0,,0,0.0,2,1,0,0,0
62,2008,2008-12-15,14,25.105,PHI,,CLE,W 30-10,*,,,,,,,,,,
63,2008,2008-12-21,15,25.111,PHI,@,WAS,L 3-10,*,0,0,,0,0.0,5,2,0,0,0
64,2008,2008-12-28,16,25.118,PHI,,DAL,W 44-6,*,0,0,,0,0.0,1,1,0,0,0
65,2009,2009-09-13,1,26.012,PHI,@,CAR,W 38-10,*,0,0,,0,0.5,2,3,0,0,0
66,2009,2009-09-20,2,26.019,PHI,,NOR,L 22-48,*,0,0,,0,0.0,2,1,0,0,0
67,2009,2009-09-27,3,26.026,PHI,,KAN,W 34-14,*,,,,,,,,,,
68,2009,2009-10-11,4,26.040,PHI,,TAM,W 33-14,*,0,0,,0,0.0,0,1,0,0,0
69,2009,2009-10-18,5,26.047,PHI,@,OAK,L 9-13,*,0,0,,0,0.0,5,0,0,0,0
70,2009,2009-10-26,6,26.055,PHI,@,WAS,W 27-17,*,0,0,,0,0.0,3,1,0,0,0
71,2009,2009-11-01,7,26.061,PHI,,NYG,W 40-17,*,0,0,,0,0.0,3,0,0,0,0
