ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1996,1996-09-01,1,22.347,ARI,@,IND,L 13-20,,,,,,,,,,,,,,,
2,1996,1996-09-08,2,22.354,ARI,,MIA,L 10-38,,,,,,,,,,,,,,,
3,1996,1996-09-15,3,22.361,ARI,@,NWE,L 0-31,,,,,,,,,,,,,,,
4,1996,1996-09-22,4,23.002,ARI,@,NOR,W 28-14,,,,,,,,,,,,,,,
5,1996,1996-09-29,5,23.009,ARI,,STL,W 31-28,,,,,,,,,,,,,,,
6,1996,1996-10-13,6,23.023,ARI,@,DAL,L 3-17,,,,,,,,,,,,,,,
7,1996,1996-10-20,7,23.030,ARI,,TAM,W 13-9,,,,,,,,,,,,,,,
8,1996,1996-10-27,8,23.037,ARI,,NYJ,L 21-31,,,,,,,,,,,,,,,
9,1996,1996-11-03,9,23.044,ARI,@,NYG,L 8-16,,,,,,,,,,,,,,,
10,1996,1996-11-10,10,23.051,ARI,@,WAS,W 37-34,,,,,,,,,,,,,,,
11,1996,1996-11-17,11,23.058,ARI,,NYG,W 31-23,,,,,,,,,,,,,,,
12,1996,1996-11-24,12,23.065,ARI,,PHI,W 36-30,,,,,,,,,,,,,,,
13,1996,1996-12-01,13,23.072,ARI,@,MIN,L 17-41,,1,-4,-4.00,0,0,0,,0,0,0,0.0,0,0,0
14,1996,1996-12-08,14,23.079,ARI,,DAL,L 6-10,,,,,,,,,,,,,,,
15,1996,1996-12-15,15,23.086,ARI,,WAS,W 27-26,,,,,,,,,,,,,,,
16,1996,1996-12-22,16,23.093,ARI,@,PHI,L 19-29,,,,,,,,,,,,,,,
17,1997,1997-08-31,1,23.345,ARI,@,CIN,L 21-24,,,,,,,,,,,,,,,
18,1997,1997-09-07,2,23.352,ARI,,DAL,W 25-22,,,,,,,,,,,,,,,
19,1997,1997-09-14,3,23.359,ARI,@,WAS,L 13-19,,0,0,,0,0,0,,0,0,0,0.0,1,17,0
20,1997,1997-09-28,4,24.008,ARI,@,TAM,L 18-19,,1,3,3.00,0,0,0,,0,0,0,0.0,0,0,0
21,1997,1997-10-05,5,24.015,ARI,,MIN,L 19-20,,,,,,,,,,,,,,,
22,1997,1997-10-12,6,24.022,ARI,,NYG,L 13-27,,,,,,,,,,,,,,,
23,1997,1997-10-19,7,24.029,ARI,@,PHI,L 10-13,,,,,,,,,,,,,,,
24,1997,1997-10-26,8,24.036,ARI,,TEN,L 14-41,,,,,,,,,,,,,,,
25,1997,1997-11-02,9,24.043,ARI,,PHI,W 31-21,,0,0,,0,0,0,,0,0,0,0.0,1,6,0
26,1997,1997-11-09,10,24.050,ARI,@,DAL,L 6-24,,0,0,,0,0,0,,0,0,0,0.0,1,17,0
27,1997,1997-11-16,11,24.057,ARI,@,NYG,L 10-19,,,,,,,,,,,,,,,
28,1997,1997-11-23,12,24.064,ARI,@,BAL,W 16-13,,,,,,,,,,,,,,,
29,1997,1997-11-23,12,24.064,DET,,IND,W 32-10,,,,,,,,,,,,,,,
30,1997,1997-11-30,13,24.071,ARI,,PIT,L 20-26,,,,,,,,,,,,,,,
31,1997,1997-12-07,14,24.078,ARI,,WAS,L 28-38,,,,,,,,,,,,,,,
32,1997,1997-12-14,15,24.085,ARI,@,NOR,L 10-27,,,,,,,,,,,,,,,
33,1997,1997-12-21,16,24.092,ARI,,ATL,W 29-26,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
34,1998,1998-09-06,1,24.351,ARI,@,DAL,L 10-38,,0,0,,0,0,0,,0,0,0,0.0,1,4,0
35,1998,1998-09-13,2,24.358,ARI,@,SEA,L 14-33,,,,,,,,,,,,,,,
36,1998,1998-09-20,3,25.000,ARI,,PHI,W 17-3,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
37,1998,1998-09-27,4,25.007,ARI,@,STL,W 20-17,,,,,,,,,,,,,,,
38,1998,1998-10-04,5,25.014,ARI,,OAK,L 20-23,,,,,,,,,,,,,,,
39,1998,1998-10-11,6,25.021,ARI,,CHI,W 20-7,,0,0,,0,0,0,,0,0,0,0.0,3,21,0
40,1998,1998-10-18,7,25.028,ARI,@,NYG,L 7-34,,,,,,,,,,,,,,,
41,1998,1998-11-01,8,25.042,ARI,@,DET,W 17-15,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
