ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1994,1994-09-05,1,23.285,SFO,,RAI,W 44-14,,5,6,83.3,1,2,50.0,0,8,0,0,,0
2,1994,1994-09-11,2,23.291,SFO,@,KAN,L 17-24,,2,2,100.0,1,2,50.0,0,5,0,0,,0
3,1994,1994-09-18,3,23.298,SFO,@,RAM,W 34-19,,4,4,100.0,2,2,100.0,0,10,0,0,,0
4,1994,1994-09-25,4,23.305,SFO,,NOR,W 24-13,,3,3,100.0,1,2,50.0,0,6,0,0,,0
5,1994,1994-10-02,5,23.312,SFO,,PHI,L 8-40,,,,,,,,,,,,,
6,1994,1994-10-09,6,23.319,SFO,@,DET,W 27-21,,3,4,75.0,,,,0,3,,,,
7,1994,1994-10-16,7,23.326,SFO,@,ATL,W 42-3,,6,6,100.0,,,,0,6,,,,
8,1994,1994-10-23,8,23.333,SFO,,TAM,W 41-16,,5,5,100.0,2,2,100.0,0,11,0,0,,0
9,1994,1994-11-06,9,23.347,SFO,@,WAS,W 37-22,,4,4,100.0,1,1,100.0,0,7,0,0,,0
10,1994,1994-11-13,10,23.354,SFO,,DAL,W 21-14,,3,3,100.0,,,,0,3,,,,
11,1994,1994-11-20,11,23.361,SFO,,RAM,W 31-27,,4,4,100.0,1,2,50.0,0,7,0,0,,0
12,1994,1994-11-28,12,24.004,SFO,@,NOR,W 35-14,,3,3,100.0,2,2,100.0,0,9,0,0,,0
13,1994,1994-12-04,13,24.010,SFO,,ATL,W 50-14,,5,5,100.0,3,4,75.0,0,14,0,0,,0
14,1994,1994-12-11,14,24.017,SFO,@,SDG,W 38-15,,5,5,100.0,1,1,100.0,0,8,0,0,,0
15,1994,1994-12-17,15,24.023,SFO,,DEN,W 42-19,,6,6,100.0,,,,0,6,,,,
16,1994,1994-12-26,16,24.032,SFO,@,MIN,L 14-21,,2,2,100.0,,,,0,2,,,,
17,1995,1995-09-03,1,24.283,SFO,@,NOR,W 24-22,,3,3,100.0,1,2,50.0,0,6,0,0,,0
18,1995,1995-09-10,2,24.290,SFO,,ATL,W 41-10,,5,5,100.0,2,3,66.7,0,11,0,0,,0
19,1995,1995-09-17,3,24.297,SFO,,NWE,W 28-3,,4,4,100.0,,,,0,4,,,,
20,1995,1995-09-25,4,24.305,SFO,@,DET,L 24-27,,3,3,100.0,1,3,33.3,0,6,0,0,,0
21,1995,1995-10-01,5,24.311,SFO,,NYG,W 20-6,,2,2,100.0,2,2,100.0,0,8,0,0,,0
