ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1976,1976-09-26,3,22.052,SFO,@,SEA,W 37-21,,,,,,,,
2,1976,1976-10-11,5,22.067,SFO,@,RAM,W 16-0,,,,,,,,
3,1976,1976-10-17,6,22.073,SFO,,NOR,W 33-3,,,,,,,,
4,1976,1976-10-23,7,22.079,SFO,,ATL,W 15-0,,,,,,,,
5,1976,1976-10-31,8,22.087,SFO,@,STL,L 20-23,,,,,,,,
6,1976,1976-11-07,9,22.094,SFO,,WAS,L 21-24,,,,,,,,
7,1976,1976-11-14,10,22.101,SFO,@,ATL,L 16-21,,,,,,,,
8,1976,1976-11-21,11,22.108,SFO,,RAM,L 3-23,,,,,,,,
9,1976,1976-11-29,12,22.116,SFO,,MIN,W 20-16,,,,,,,,
10,1976,1976-12-05,13,22.122,SFO,@,SDG,L 7-13,1,7,7.00,0,0,0,,0
11,1976,1976-12-12,14,22.129,SFO,@,NOR,W 27-7,0,0,,0,1,3,3.00,0
12,1977,1977-09-19,1,23.045,SFO,@,PIT,L 0-27,0,0,,0,3,7,2.33,0
13,1977,1977-12-04,12,23.121,CHI,@,TAM,W 10-0,,,,,,,,
14,1977,1977-12-11,13,23.128,CHI,,GNB,W 21-10,,,,,,,,
15,1977,1977-12-18,14,23.135,CHI,@,NYG,W 12-9,1,7,7.00,0,0,0,,0
