ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,21.017,TAM,,CAR,L 14-20,*,9,5,37,7.40,0,55.6%,4.11,,0,0,0.0,1,0
2,2014,2014-09-14,2,21.024,TAM,,STL,L 17-19,*,4,4,49,12.25,0,100.0%,12.25,,0,0,0.0,0,0
3,2014,2014-09-18,3,21.028,TAM,@,ATL,L 14-56,*,7,4,52,13.00,0,57.1%,7.43,,0,0,0.0,0,0
4,2014,2014-09-28,4,21.038,TAM,@,PIT,W 27-24,*,7,4,65,16.25,1,57.1%,9.29,,1,6,0.0,0,0
5,2014,2014-10-12,6,21.052,TAM,,BAL,L 17-48,*,8,4,55,13.75,1,50.0%,6.88,,1,6,0.0,0,0
6,2014,2014-10-26,7,21.066,TAM,,MIN,L 13-19,*,7,4,78,19.50,0,57.1%,11.14,,0,0,0.0,1,0
7,2014,2014-11-02,8,21.073,TAM,@,CLE,L 17-22,*,11,7,124,17.71,2,63.6%,11.27,,2,12,0.0,0,0
8,2014,2014-11-09,9,21.080,TAM,,ATL,L 17-27,*,9,7,125,17.86,1,77.8%,13.89,,1,6,0.0,0,0
9,2014,2014-11-16,10,21.087,TAM,@,WAS,W 27-7,*,9,7,209,29.86,2,77.8%,23.22,,2,12,0.0,0,0
10,2014,2014-11-23,11,21.094,TAM,@,CHI,L 13-21,*,11,3,47,15.67,1,27.3%,4.27,,1,6,0.0,1,0
11,2014,2014-11-30,12,21.101,TAM,,CIN,L 13-14,*,8,4,49,12.25,0,50.0%,6.13,,0,0,0.0,0,0
12,2014,2014-12-07,13,21.108,TAM,@,DET,L 17-34,*,11,4,45,11.25,2,36.4%,4.09,,2,12,0.0,0,0
13,2014,2014-12-14,14,21.115,TAM,@,CAR,L 17-19,*,8,2,13,6.50,1,25.0%,1.63,,1,6,0.0,1,0
14,2014,2014-12-21,15,21.122,TAM,,GNB,L 3-20,*,7,4,49,12.25,0,57.1%,7.00,,0,0,0.0,0,0
15,2014,2014-12-28,16,21.129,TAM,,NOR,L 20-23,*,6,5,54,10.80,1,83.3%,9.00,,1,6,0.0,0,0
16,2015,2015-09-20,2,22.030,TAM,@,NOR,W 26-19,,3,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
17,2015,2015-09-27,3,22.037,TAM,@,HOU,L 9-19,*,17,7,101,14.43,0,41.2%,5.94,,0,0,0.0,0,0
18,2015,2015-10-04,4,22.044,TAM,,CAR,L 23-37,*,8,3,32,10.67,0,37.5%,4.00,,0,0,0.0,0,0
19,2015,2015-10-11,5,22.051,TAM,,JAX,W 38-31,*,5,3,41,13.67,0,60.0%,8.20,,0,0,0.0,0,0
20,2015,2015-10-25,6,22.065,TAM,@,WAS,L 30-31,*,12,8,164,20.50,1,66.7%,13.67,,1,6,0.0,0,0
21,2015,2015-11-01,7,22.072,TAM,@,ATL,W 23-20,*,9,3,48,16.00,0,33.3%,5.33,,0,0,0.0,0,0
22,2015,2015-11-08,8,22.079,TAM,,NYG,L 18-32,*,19,8,150,18.75,0,42.1%,7.89,,0,0,0.0,0,0
23,2015,2015-11-15,9,22.086,TAM,,DAL,W 10-6,*,13,8,126,15.75,0,61.5%,9.69,,0,0,0.0,0,0
24,2015,2015-11-22,10,22.093,TAM,@,PHI,W 45-17,*,7,4,63,15.75,1,57.1%,9.00,,1,6,0.0,0,0
25,2015,2015-11-29,11,22.100,TAM,@,IND,L 12-25,*,10,5,64,12.80,0,50.0%,6.40,,0,0,0.0,0,0
26,2015,2015-12-06,12,22.107,TAM,,ATL,W 23-19,*,7,5,61,12.20,1,71.4%,8.71,,1,6,0.0,0,0
27,2015,2015-12-13,13,22.114,TAM,,NOR,L 17-24,*,4,3,39,13.00,0,75.0%,9.75,,0,0,0.0,0,0
28,2015,2015-12-17,14,22.118,TAM,@,STL,L 23-31,*,17,9,157,17.44,0,52.9%,9.24,,0,0,0.0,0,0
29,2015,2015-12-27,15,22.128,TAM,,CHI,L 21-26,*,8,4,61,15.25,0,50.0%,7.63,,0,0,0.0,0,0
30,2015,2016-01-03,16,22.135,TAM,@,CAR,L 10-38,*,9,4,99,24.75,0,44.4%,11.00,,0,0,0.0,0,0
31,2016,2016-09-11,1,23.021,TAM,@,ATL,W 31-24,*,7,5,99,19.80,1,71.4%,14.14,,1,6,0.0,0,0
32,2016,2016-09-18,2,23.028,TAM,@,ARI,L 7-40,*,18,6,70,11.67,1,33.3%,3.89,,1,6,0.0,0,0
33,2016,2016-09-25,3,23.035,TAM,,LAR,L 32-37,*,14,10,132,13.20,1,71.4%,9.43,,1,6,0.0,0,0
34,2016,2016-10-02,4,23.042,TAM,,DEN,L 7-27,*,11,5,59,11.80,0,45.5%,5.36,,0,0,0.0,0,0
35,2016,2016-10-10,5,23.050,TAM,@,CAR,W 17-14,*,12,6,89,14.83,1,50.0%,7.42,,1,6,0.0,0,0
36,2016,2016-10-23,6,23.063,TAM,@,SFO,W 34-17,*,13,8,96,12.00,2,61.5%,7.38,,2,12,0.0,0,0
37,2016,2016-10-30,7,23.070,TAM,,OAK,L 24-30,*,11,4,50,12.50,0,36.4%,4.55,1,0,2,0.0,0,0
38,2016,2016-11-03,8,23.074,TAM,,ATL,L 28-43,*,17,11,150,13.64,2,64.7%,8.82,,2,12,0.0,0,0
39,2016,2016-11-13,9,23.084,TAM,,CHI,W 36-10,*,5,4,66,16.50,0,80.0%,13.20,,0,0,0.0,0,0
40,2016,2016-11-20,10,23.091,TAM,@,KAN,W 19-17,*,13,6,105,17.50,0,46.2%,8.08,,0,0,0.0,0,0
41,2016,2016-11-27,11,23.098,TAM,,SEA,W 14-5,*,11,8,104,13.00,2,72.7%,9.45,,2,12,0.0,0,0
42,2016,2016-12-04,12,23.105,TAM,@,SDG,W 28-21,*,6,3,38,12.67,0,50.0%,6.33,1,0,2,0.0,0,0
43,2016,2016-12-11,13,23.112,TAM,,NOR,W 16-11,*,8,4,42,10.50,0,50.0%,5.25,,0,0,0.0,0,0
44,2016,2016-12-18,14,23.119,TAM,@,DAL,L 20-26,*,8,4,59,14.75,0,50.0%,7.38,,0,0,0.0,0,0
45,2016,2016-12-24,15,23.125,TAM,@,NOR,L 24-31,*,8,7,97,13.86,1,87.5%,12.13,,1,6,0.0,0,0
46,2016,2017-01-01,16,23.133,TAM,,CAR,W 17-16,*,11,5,65,13.00,1,45.5%,5.91,,1,6,0.0,0,0
47,2017,2017-09-17,1,24.027,TAM,,CHI,W 29-7,*,9,7,93,13.29,1,77.8%,10.33,,1,6,0.0,0,0
