ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1982,1982-09-19,2,22.344,HOU,,SEA,W 23-21,,,,,,,,,,,,,,,
2,1982,1982-11-28,4,23.049,HOU,@,NWE,L 21-29,,,,,,,,,,,,,,,
3,1982,1982-12-05,5,23.056,HOU,@,NYG,L 14-17,,,,,,,,,,,,,,,
4,1982,1982-12-13,6,23.064,HOU,,DAL,L 7-37,,,,,,,,,,,,,,,
5,1982,1982-12-19,7,23.070,HOU,@,PHI,L 14-35,,,,,,,,,,,,,,,
6,1982,1982-12-26,8,23.077,HOU,,CLE,L 14-20,,,,,,,,,,,,,,,
7,1982,1983-01-02,9,23.084,HOU,,CIN,L 27-35,,,,,,,,,,,,,,,
8,1983,1983-09-04,1,23.329,HOU,,GNB,L 38-41,2,26,13.00,0,0,0,,0,0,0,,0,,,
9,1983,1983-09-11,2,23.336,HOU,@,RAI,L 6-20,0,0,,0,0,0,,0,0,0,,0,,,
10,1983,1983-09-18,3,23.343,HOU,,PIT,L 28-40,1,15,15.00,0,0,0,,0,0,0,,0,,,
11,1983,1983-09-25,4,23.350,HOU,@,BUF,L 13-30,0,0,,0,0,0,,0,0,0,,0,,,
12,1983,1983-10-02,5,23.357,HOU,@,PIT,L 10-17,0,0,,0,0,0,,0,0,0,,0,,,
13,1983,1983-10-09,6,23.364,HOU,,DEN,L 14-26,0,0,,0,0,0,,0,0,0,,0,,,
14,1983,1983-10-16,7,24.006,HOU,@,MIN,L 14-34,0,0,,0,0,0,,0,0,0,,0,,,
15,1983,1983-10-23,8,24.013,HOU,,KAN,L 10-13,0,0,,0,0,0,,0,0,0,,0,,,
16,1983,1983-10-30,9,24.020,HOU,@,CLE,L 19-25,0,0,,0,0,0,,0,0,0,,0,,,
17,1983,1983-11-06,10,24.027,HOU,,CIN,L 14-55,1,4,4.00,0,0,0,,0,0,0,,0,,,
18,1983,1983-11-13,11,24.034,HOU,,DET,W 27-17,0,0,,0,0,0,,0,0,0,,0,,,
19,1983,1983-11-20,12,24.041,HOU,@,CIN,L 10-38,1,17,17.00,0,0,0,,0,0,0,,0,,,
20,1983,1983-11-27,13,24.048,HOU,@,TAM,L 24-33,1,19,19.00,0,0,0,,0,0,0,,0,,,
21,1983,1983-12-04,14,24.055,HOU,,MIA,L 17-24,2,39,19.50,0,0,0,,0,0,0,,0,,,
22,1983,1983-12-11,15,24.062,HOU,,CLE,W 34-27,3,20,6.67,0,1,1,100.00,24,1,0,158.3,0,0,24.00,44.00
23,1983,1983-12-18,16,24.069,HOU,@,BAL,L 10-20,5,71,14.20,0,0,0,,0,0,0,,0,,,
24,1984,1984-09-02,1,24.328,HOU,,RAI,L 14-24,4,66,16.50,0,0,0,,0,0,0,,,,,
25,1984,1984-09-09,2,24.335,HOU,,IND,L 21-35,3,51,17.00,0,0,0,,0,0,0,,,,,
26,1984,1984-09-16,3,24.342,HOU,@,SDG,L 14-31,1,11,11.00,0,0,0,,0,0,0,,,,,
27,1984,1984-09-23,4,24.349,HOU,@,ATL,L 10-42,2,42,21.00,0,0,0,,0,0,0,,,,,
28,1984,1984-09-30,5,24.356,HOU,,NOR,L 10-27,0,0,,0,,,,,,,,,,,
29,1984,1984-10-07,6,24.363,HOU,@,CIN,L 3-13,0,0,,0,,,,,,,,,,,
30,1984,1984-10-14,7,25.004,HOU,@,MIA,L 10-28,3,34,11.33,0,0,0,,0,0,0,,,,,
31,1984,1984-10-21,8,25.011,HOU,,SFO,L 21-34,1,5,5.00,0,0,0,,0,0,0,,,,,
32,1984,1984-10-28,9,25.018,HOU,,CIN,L 13-31,1,13,13.00,0,0,0,,0,0,0,,,,,
33,1984,1984-11-04,10,25.025,HOU,@,PIT,L 7-35,1,11,11.00,0,0,0,,0,0,0,,,,,
34,1984,1984-11-11,11,25.032,HOU,@,KAN,W 17-16,0,0,,0,,,,,,,,,,,
35,1984,1984-11-18,12,25.039,HOU,,NYJ,W 31-20,0,0,,0,,,,,,,,,,,
36,1984,1984-11-25,13,25.046,HOU,@,CLE,L 10-27,1,14,14.00,0,0,0,,0,0,0,,,,,
37,1984,1984-12-02,14,25.053,HOU,,PIT,W 23-20,2,31,15.50,0,0,0,,0,0,0,,,,,
38,1985,1985-10-27,8,26.017,HOU,@,STL,W 20-10,,,,,,,,,,,,,,,
39,1985,1985-11-03,9,26.024,HOU,,KAN,W 23-20,,,,,,,,,,,,,,,
40,1985,1985-11-10,10,26.031,HOU,@,BUF,L 0-20,,,,,,,,,,,,,,,
41,1985,1985-11-17,11,26.038,HOU,,PIT,L 7-30,,,,,,,,,,,,,,,
42,1987,1987-10-04,3,27.359,IND,@,BUF,W 47-6,1,12,12.00,0,0,0,,0,0,0,,,,,
