ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1968,1968-10-13,5,23.363,NOR,,MIN,W 20-17,1,6,1,94,1
2,1968,1968-11-10,9,24.025,NOR,@,CLE,L 17-35,0,0,1,27,0
3,1968,1968-12-15,14,24.060,NOR,,PIT,W 24-14,0,0,1,8,0
4,1969,1969-11-30,11,25.045,NOR,,PHI,W 26-17,0,0,1,24,0
