ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1991,1991-11-24,12,24.045,KAN,@,CLE,L 15-20,,,,,,,,,,,,,,,,,,,,,,,,
2,1992,1992-09-06,1,24.332,KAN,@,SDG,W 24-10,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
3,1992,1992-09-13,2,24.339,KAN,,SEA,W 26-7,3,2,42,21.00,0,66.7%,14.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
4,1992,1992-09-20,3,24.346,KAN,@,HOU,L 20-23,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,,,,,0,0
5,1992,1992-09-28,4,24.354,KAN,,RAI,W 27-7,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
6,1992,1992-10-04,5,24.360,KAN,@,DEN,L 19-20,6,5,127,25.40,1,83.3%,21.17,0,0,,0,0,0,,0,0,0,,,,,,1,6
7,1992,1992-10-11,6,25.001,KAN,,PHI,W 24-17,7,5,167,33.40,1,71.4%,23.86,0,0,,0,0,0,,0,0,0,,,,,,1,6
8,1992,1992-10-18,7,25.008,KAN,@,DAL,L 10-17,8,6,100,16.67,0,75.0%,12.50,0,0,,0,0,0,,0,0,0,,,,,,0,0
9,1992,1992-10-25,8,25.015,KAN,,PIT,L 3-27,7,1,9,9.00,0,14.3%,1.29,1,-11,-11.00,0,0,0,,0,0,0,,,,,,0,0
10,1992,1992-11-08,9,25.029,KAN,,SDG,W 16-14,2,2,36,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
11,1992,1992-11-15,10,25.036,KAN,,WAS,W 35-16,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
12,1992,1992-11-22,11,25.043,KAN,@,SEA,W 24-14,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
13,1992,1992-11-29,12,25.050,KAN,@,NYJ,W 23-7,4,3,79,26.33,0,75.0%,19.75,0,0,,0,0,0,,0,0,0,,,,,,0,0
14,1992,1992-12-06,13,25.057,KAN,@,RAI,L 7-28,4,1,24,24.00,0,25.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
15,1992,1992-12-13,14,25.064,KAN,,NWE,W 27-20,3,1,43,43.00,1,33.3%,14.33,0,0,,0,0,0,,0,0,0,,,,,,1,6
16,1992,1992-12-19,15,25.070,KAN,@,NYG,L 21-35,7,3,35,11.67,0,42.9%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0
17,1992,1992-12-27,16,25.078,KAN,,DEN,W 42-20,4,1,45,45.00,0,25.0%,11.25,0,0,,0,0,0,,0,0,0,,,,,,0,0
18,1993,1993-09-05,1,25.330,KAN,@,TAM,W 27-3,7,5,61,12.20,1,71.4%,8.71,0,0,,0,0,0,,0,0,0,,,,,,1,6
19,1993,1993-09-12,2,25.337,KAN,@,HOU,L 0-30,7,3,67,22.33,0,42.9%,9.57,0,0,,0,0,0,,0,0,0,,,,,,0,0
