ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,26.072,SFO,,NYY,L 17-21,8,35,4.38,0,0,0,,0,0,0,,0,0,,,,,,
2,1950,1950-10-01,3,26.086,SFO,,RAM,L 14-35,1,1,1.00,0,1,17,17.00,0,0,0,,0,0,,,,,,
3,1950,1950-10-08,4,26.093,SFO,@,DET,L 7-24,3,-11,-3.67,0,0,0,,0,0,0,,0,0,,,,,,
4,1950,1950-10-12,5,26.097,SFO,@,NYY,L 24-29,0,0,,0,2,7,3.50,0,0,0,,0,0,,,,,,
5,1950,1950-10-22,6,26.107,SFO,,DET,W 28-27,8,34,4.25,0,1,24,24.00,0,0,0,,0,0,,,,,,
6,1950,1950-10-29,7,26.114,SFO,,BAL,W 17-14,1,-2,-2.00,0,1,23,23.00,0,0,0,,0,0,,,,,,
7,1950,1950-11-05,8,26.121,SFO,@,RAM,L 21-28,1,7,7.00,0,1,19,19.00,0,0,0,,0,0,,,,,,
8,1950,1950-11-12,9,26.128,SFO,@,CLE,L 14-34,9,9,1.00,0,1,9,9.00,0,0,0,,0,0,,,,,,
9,1950,1950-11-19,10,26.135,SFO,@,CHI,L 0-17,2,3,1.50,0,0,0,,0,0,0,,0,0,,,,,,
10,1952,1952-10-05,2,28.090,SFO,@,DTX,W 37-14,3,10,3.33,0,2,15,7.50,0,0,0,,0,0,,,,,,
11,1952,1952-10-12,3,28.097,SFO,@,DET,W 28-0,3,11,3.67,0,0,0,,0,0,0,,0,0,,,,,,
12,1952,1952-10-26,5,28.111,SFO,,DTX,W 48-21,0,0,,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00
