ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,22.350,TEN,,JAX,W 17-10,*,15,93,6.20,0,4,3,34,11.33,1,75.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,1,0
2,2008,2008-09-14,2,22.357,TEN,@,CIN,W 24-7,*,19,109,5.74,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
3,2008,2008-09-21,3,22.364,TEN,,HOU,W 31-12,,16,74,4.63,0,4,2,5,2.50,0,50.0%,1.25,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
4,2008,2008-09-28,4,23.005,TEN,,MIN,W 30-17,*,17,61,3.59,2,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,0,0
5,2008,2008-10-05,5,23.012,TEN,@,BAL,W 13-10,*,18,44,2.44,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
6,2008,2008-10-19,6,23.026,TEN,@,KAN,W 34-10,*,18,168,9.33,1,3,2,4,2.00,0,66.7%,1.33,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
7,2008,2008-10-27,7,23.034,TEN,,IND,W 31-21,*,19,77,4.05,1,6,4,19,4.75,0,66.7%,3.17,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
8,2008,2008-11-02,8,23.040,TEN,,GNB,W 19-16,*,24,89,3.71,1,8,6,72,12.00,0,75.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
9,2008,2008-11-09,9,23.047,TEN,@,CHI,W 21-14,*,14,8,0.57,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
10,2008,2008-11-16,10,23.054,TEN,@,JAX,W 24-14,*,17,64,3.76,0,8,4,24,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,1,17,17.00,0,,0,0,0.0,0,0
11,2008,2008-11-23,11,23.061,TEN,,NYJ,L 13-34,*,10,46,4.60,0,7,3,15,5.00,0,42.9%,2.14,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
