ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1980,1980-09-07,1,22.062,CHI,@,GNB,L 6-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1980,1980-09-14,2,22.069,CHI,,NOR,W 22-3,6,5,0.83,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
3,1980,1980-09-21,3,22.076,CHI,,MIN,L 14-34,2,3,1.50,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,6,115,19.17,0,0,0,,0,0,0
4,1980,1980-09-28,4,22.083,CHI,@,PIT,L 3-38,7,14,2.00,0,3,36,12.00,0,0,0,,0,0,0,,0,0,,,6,130,21.67,0,0,0,,0,0,0
5,1980,1980-10-06,5,22.091,CHI,,TAM,W 23-0,2,3,1.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
6,1980,1980-10-12,6,22.097,CHI,@,MIN,L 7-13,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,42,21.00,0,0,0,,0,0,0
7,1980,1980-10-19,7,22.104,CHI,,DET,W 24-7,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
8,1980,1980-10-26,8,22.111,CHI,@,PHI,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,,0,0,0
9,1980,1980-11-03,9,22.119,CHI,@,CLE,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,17,17.00,0,1,4,4.00,0,0,0
10,1980,1980-11-09,10,22.125,CHI,,WAS,W 35-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1980,1980-11-16,11,22.132,CHI,,HOU,L 6-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1980,1980-11-23,12,22.139,CHI,@,ATL,L 17-28,2,4,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,49,24.50,0,0,0,,0,0,0
13,1980,1980-11-27,13,22.143,CHI,@,DET,W 23-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1980,1980-12-07,14,22.153,CHI,,GNB,W 61-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1980,1980-12-14,15,22.160,CHI,,CIN,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,31,31.00,0,0,0,,0,0,0
