ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-17,2,21.146,DAL,,WAS,W 27-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
2,2006,2006-10-01,3,21.160,DAL,@,TEN,W 45-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
3,2006,2006-10-08,4,21.167,DAL,@,PHI,L 24-38,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
4,2006,2006-10-15,5,21.174,DAL,,HOU,W 34-6,,1,1,33,33.00,0,100.0%,33.00,0,0,,0,0,0,0.0,,
5,2006,2006-10-23,6,21.182,DAL,,NYG,L 22-36,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
6,2006,2006-10-29,7,21.188,DAL,@,CAR,W 35-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
7,2006,2006-11-05,8,21.195,DAL,@,WAS,L 19-22,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
8,2006,2006-11-12,9,21.202,DAL,@,ARI,W 27-10,*,7,4,42,10.50,0,57.1%,6.00,0,0,,0,0,0,0.0,,
9,2006,2006-11-19,10,21.209,DAL,,IND,W 21-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
10,2006,2006-11-23,11,21.213,DAL,,TAM,W 38-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
11,2006,2006-12-03,12,21.223,DAL,@,NYG,W 23-20,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
12,2006,2006-12-10,13,21.230,DAL,,NOR,L 17-42,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
13,2006,2006-12-16,14,21.236,DAL,@,ATL,W 38-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
