ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1974,1974-09-15,1,23.202,NOR,,SFO,L 13-17,3,21,7.00,0,1,8,8.00,0
2,1974,1974-09-22,2,23.209,NOR,@,RAM,L 0-24,9,20,2.22,0,0,0,,0
3,1974,1974-09-29,3,23.216,NOR,,ATL,W 14-13,18,60,3.33,0,2,-2,-1.00,0
4,1974,1974-10-06,4,23.223,NOR,@,CHI,L 10-24,2,9,4.50,0,0,0,,0
5,1974,1974-10-13,5,23.230,NOR,@,DEN,L 17-33,1,0,0.00,0,0,0,,0
6,1974,1974-10-27,7,23.244,NOR,,PHI,W 14-10,,,,,,,,
7,1974,1974-11-03,8,23.251,NOR,@,DET,L 14-19,,,,,,,,
8,1974,1974-11-10,9,23.258,NOR,,MIA,L 0-21,0,0,,0,1,7,7.00,0
9,1974,1974-11-17,10,23.265,NOR,,RAM,W 20-7,,,,,,,,
10,1974,1974-11-25,11,23.273,NOR,,PIT,L 7-28,,,,,,,,
11,1974,1974-12-01,12,23.279,NOR,@,MIN,L 9-29,,,,,,,,
12,1974,1974-12-08,13,23.286,NOR,,STL,W 14-0,,,,,,,,
