ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2013,2013-09-22,3,24.287,WAS,,DET,L 20-27,,,,,
2,2013,2013-09-29,4,24.294,WAS,@,OAK,W 24-14,,,,,
3,2013,2013-10-13,5,24.308,WAS,@,DAL,L 16-31,,,,,
4,2013,2013-10-20,6,24.315,WAS,,CHI,W 45-41,,,,,
5,2013,2013-10-27,7,24.322,WAS,@,DEN,L 21-45,,,,,
6,2013,2013-11-03,8,24.329,WAS,,SDG,W 30-24,,,,,
7,2013,2013-11-07,9,24.333,WAS,@,MIN,L 27-34,,,,,
8,2013,2013-11-25,11,24.351,WAS,,SFO,L 6-27,,,,,
9,2013,2013-12-01,12,24.357,WAS,,NYG,L 17-24,,1,5,5.00,0
10,2013,2013-12-08,13,24.364,WAS,,KAN,L 10-45,,,,,
11,2013,2013-12-15,14,25.006,WAS,@,ATL,L 26-27,,,,,
12,2013,2013-12-22,15,25.013,WAS,,DAL,L 23-24,,,,,
13,2013,2013-12-29,16,25.020,WAS,@,NYG,L 6-20,,,,,
14,2015,2016-01-03,16,27.025,NYG,,PHI,L 30-35,,0,0,,0
15,2016,2016-11-14,9,27.341,NYG,,CIN,W 21-20,,0,0,,0
16,2016,2016-11-20,10,27.347,NYG,,CHI,W 22-16,,0,0,,0
17,2016,2016-11-27,11,27.354,NYG,@,CLE,W 27-13,*,0,0,,0
