ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1965,1965-10-10,4,22.305,CHI,,RAM,W 31-6,0,0,,0,0,0,,0,0,0,1,11,0
2,1965,1965-10-17,5,22.312,CHI,@,MIN,W 45-37,0,0,,0,0,0,,0,0,0,1,35,0
3,1965,1965-11-07,8,22.333,CHI,,BAL,L 21-26,0,0,,0,0,0,,0,0,0,1,0,0
4,1965,1965-11-14,9,22.340,CHI,,STL,W 34-13,0,0,,0,0,0,,0,0,0,1,38,0
5,1965,1965-11-28,11,22.354,CHI,@,NYG,W 35-14,0,0,,0,0,0,,0,0,0,1,0,0
6,1966,1966-09-11,1,23.276,CHI,@,DET,L 3-14,0,0,,0,0,0,,0,0,0,1,3,0
7,1966,1966-10-09,4,23.304,CHI,,BAL,W 27-17,0,0,,0,1,18,18.00,0,0,0,0,0,0
8,1966,1966-12-11,13,24.002,CHI,@,SFO,L 14-41,0,0,,0,1,12,12.00,0,0,0,0,0,0
9,1966,1966-12-18,14,24.009,CHI,,MIN,W 41-28,0,0,,0,1,2,2.00,0,0,0,0,0,0
10,1967,1967-09-17,1,24.282,CHI,@,PIT,L 13-41,0,0,,0,0,0,,0,0,0,1,24,0
11,1968,1968-09-15,1,25.281,CHI,,WAS,L 28-38,0,0,,0,1,28,28.00,0,0,0,0,0,0
12,1968,1968-10-13,5,25.309,CHI,,DET,L 10-28,0,0,,0,1,2,2.00,0,0,0,0,0,0
13,1968,1968-11-10,9,25.337,CHI,,SFO,W 27-19,0,0,,0,0,0,,0,0,0,1,14,0
14,1968,1968-12-01,12,25.358,CHI,@,NOR,W 23-17,0,0,,0,0,0,,0,0,0,1,0,0
15,1968,1968-12-08,13,25.365,CHI,@,RAM,W 17-16,0,0,,0,0,0,,0,0,0,1,0,0
16,1969,1969-09-21,1,26.286,CHI,@,GNB,L 0-17,0,0,,0,1,0,0.00,0,0,0,0,0,0
17,1969,1969-10-12,4,26.307,CHI,,MIN,L 0-31,0,0,,0,0,0,,0,0,0,1,2,0
18,1969,1969-11-23,10,26.349,CHI,,BAL,L 21-24,0,0,,0,1,0,0.00,0,0,0,0,0,0
19,1969,1969-12-14,13,27.005,CHI,,GNB,L 3-21,0,0,,0,0,0,,0,0,0,1,11,0
20,1969,1969-12-21,14,27.012,CHI,,DET,L 3-20,0,0,,0,1,28,28.00,0,0,0,0,0,0
21,1970,1970-09-19,1,27.284,CHI,@,NYG,W 24-16,0,0,,0,0,0,,0,0,0,1,0,0
22,1970,1970-11-22,10,27.348,CHI,,BUF,W 31-13,0,0,,0,1,0,0.00,0,0,0,1,0,0
23,1970,1970-11-29,11,27.355,CHI,@,BAL,L 20-21,0,0,,0,0,0,,0,0,0,1,0,0
24,1972,1972-09-17,1,29.283,CHI,,ATL,L 21-37,,,,,,,,,,,,,
25,1972,1972-09-24,2,29.290,CHI,,RAM,T 13-13,,,,,,,,,,,,,
26,1972,1972-10-01,3,29.297,CHI,,DET,L 24-38,1,28,28.00,0,0,0,,0,0,0,0,0,0
27,1972,1972-10-08,4,29.304,CHI,@,GNB,L 17-20,,,,,,,,,,,,,
28,1972,1972-10-15,5,29.311,CHI,@,CLE,W 17-0,,,,,,,,,,,,,
29,1972,1972-10-23,6,29.319,CHI,,MIN,W 13-10,0,0,,0,0,0,,0,0,0,1,14,0
30,1972,1972-10-29,7,29.325,CHI,@,STL,W 27-10,,,,,,,,,,,,,
31,1972,1972-11-05,8,29.332,CHI,@,DET,L 0-14,,,,,,,,,,,,,
32,1972,1972-11-12,9,29.339,CHI,,GNB,L 17-23,,,,,,,,,,,,,
33,1972,1972-11-19,10,29.346,CHI,,SFO,L 21-34,,,,,,,,,,,,,
34,1972,1972-11-26,11,29.353,CHI,,CIN,L 3-13,0,0,,0,1,15,15.00,0,0,0,1,5,0
35,1972,1972-12-03,12,29.360,CHI,@,MIN,L 10-23,,,,,,,,,,,,,
36,1972,1972-12-10,13,30.001,CHI,@,PHI,W 21-12,0,0,,0,,,,,0,1,,,
37,1972,1972-12-17,14,30.008,CHI,@,OAK,L 21-28,,,,,,,,,,,,,
38,1973,1973-10-28,7,30.323,CHI,,HOU,W 35-14,0,0,,0,0,0,,0,0,0,1,0,0
