ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,2002,2002-09-15,2,23.349,TEN,@,DAL,L 13-21,,,,
2,2002,2002-09-22,3,23.356,TEN,,CLE,L 28-31,,,,
3,2002,2002-09-29,4,23.363,TEN,@,OAK,L 25-52,,,,
4,2002,2002-10-06,5,24.005,TEN,,WAS,L 14-31,,,,
5,2002,2002-10-13,6,24.012,TEN,,JAX,W 23-14,,,,
6,2002,2002-10-27,7,24.026,TEN,@,CIN,W 30-24,,,,
7,2002,2002-11-03,8,24.033,TEN,@,IND,W 23-15,,,,
8,2002,2002-11-10,9,24.040,TEN,,HOU,W 17-10,,,,
9,2002,2002-11-17,10,24.047,TEN,,PIT,W 31-23,,,,
10,2002,2002-11-24,11,24.054,TEN,@,BAL,L 12-13,,,,
11,2002,2002-12-08,13,24.068,TEN,,IND,W 27-17,,,,
12,2002,2002-12-16,14,24.076,TEN,,NWE,W 24-7,,,,
13,2002,2002-12-22,15,24.082,TEN,@,JAX,W 28-10,,,,
14,2002,2002-12-29,16,24.089,TEN,@,HOU,W 13-3,,,,
15,2003,2003-09-07,1,24.341,TEN,,OAK,W 25-20,,,,
16,2003,2003-09-14,2,24.348,TEN,@,IND,L 7-33,,,,
17,2003,2003-09-21,3,24.355,TEN,,NOR,W 27-12,,,,
18,2003,2003-09-28,4,24.362,TEN,@,PIT,W 30-13,,,,
19,2003,2003-10-05,5,25.004,TEN,@,NWE,L 30-38,,,,
20,2003,2003-10-12,6,25.011,TEN,,HOU,W 38-17,*,,,
21,2003,2003-10-19,7,25.018,TEN,@,CAR,W 37-17,*,,,
22,2003,2003-10-26,8,25.025,TEN,@,JAX,W 30-17,*,1,0,0
23,2003,2003-11-09,9,25.039,TEN,,MIA,W 31-7,,,,
24,2003,2003-11-16,10,25.046,TEN,,JAX,W 10-3,,,,
25,2003,2003-11-23,11,25.053,TEN,@,ATL,W 38-31,,,,
26,2003,2003-12-01,12,25.061,TEN,@,NYJ,L 17-24,,,,
27,2003,2003-12-07,13,25.067,TEN,,IND,L 27-29,,,,
28,2003,2003-12-14,14,25.074,TEN,,BUF,W 28-26,,,,
29,2003,2003-12-21,15,25.081,TEN,@,HOU,W 27-24,,,,
30,2003,2003-12-28,16,25.088,TEN,,TAM,W 33-13,,,,
31,2004,2004-12-05,12,26.065,TEN,@,IND,L 24-51,,,,
32,2004,2004-12-13,13,26.073,TEN,,KAN,L 38-49,,,,
33,2004,2004-12-19,14,26.079,TEN,@,OAK,L 35-40,,,,
34,2004,2004-12-25,15,26.085,TEN,,DEN,L 16-37,,,,
35,2004,2005-01-02,16,26.093,TEN,,DET,W 24-19,*,,,
36,2005,2005-09-11,1,26.345,TEN,@,PIT,L 7-34,*,,,
37,2005,2005-09-18,2,26.352,TEN,,BAL,W 25-10,,,,
38,2005,2005-09-25,3,26.359,TEN,@,STL,L 27-31,*,,,
39,2005,2005-10-02,4,27.001,TEN,,IND,L 10-31,,,,
40,2005,2005-10-09,5,27.008,TEN,@,HOU,W 34-20,,,,
41,2005,2005-10-16,6,27.015,TEN,,CIN,L 23-31,,,,
42,2005,2005-10-23,7,27.022,TEN,@,ARI,L 10-20,,,,
43,2005,2005-10-30,8,27.029,TEN,,OAK,L 25-34,,,,
44,2005,2005-11-06,9,27.036,TEN,@,CLE,L 14-20,,,,
45,2005,2005-11-20,10,27.050,TEN,,JAX,L 28-31,,,,
46,2005,2005-11-27,11,27.057,TEN,,SFO,W 33-22,,,,
47,2005,2005-12-04,12,27.064,TEN,@,IND,L 3-35,,,,
48,2005,2005-12-11,13,27.071,TEN,,HOU,W 13-10,,,,
49,2005,2005-12-18,14,27.078,TEN,,SEA,L 24-28,,,,
50,2005,2006-01-01,16,27.092,TEN,@,JAX,L 13-40,,,,
51,2007,2007-09-16,2,28.350,DET,,MIN,W 20-17,,,,
52,2007,2007-10-07,5,29.006,DET,@,WAS,L 3-34,,,,
53,2007,2007-10-21,6,29.020,DET,,TAM,W 23-16,,,,
54,2007,2007-10-28,7,29.027,DET,@,CHI,W 16-7,,,,
55,2007,2007-11-22,11,29.052,DET,,GNB,L 26-37,,,,
56,2007,2007-12-02,12,29.062,DET,@,MIN,L 10-42,,,,
