ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1982,1982-09-12,1,21.280,NOR,,STL,L 7-21,6,103,17.17,0,0,0,,0,0,0
2,1982,1982-11-21,3,21.350,NOR,,KAN,W 27-17,2,19,9.50,0,1,-4,-4.00,0,0,0
3,1982,1982-11-28,4,21.357,NOR,@,SFO,W 23-20,0,0,,0,0,0,,0,0,
4,1982,1982-12-05,5,21.364,NOR,,TAM,L 10-13,2,43,21.50,0,0,0,,0,0,0
5,1982,1982-12-12,6,22.006,NOR,@,ATL,L 0-35,1,7,7.00,0,0,0,,0,0,0
6,1982,1982-12-19,7,22.013,NOR,@,DAL,L 7-21,2,40,20.00,0,0,0,,0,0,0
7,1982,1982-12-26,8,22.020,NOR,,WAS,L 10-27,2,18,9.00,0,0,0,,0,0,0
8,1982,1983-01-02,9,22.027,NOR,,ATL,W 35-6,2,21,10.50,0,0,0,,0,0,0
9,1983,1983-09-04,1,22.272,NOR,,STL,W 28-17,0,0,,0,,,,,,
10,1983,1983-09-11,2,22.279,NOR,@,RAM,L 27-30,3,31,10.33,0,0,0,,0,0,0
11,1983,1983-09-18,3,22.286,NOR,,CHI,W 34-31,4,40,10.00,0,0,0,,0,0,0
12,1983,1983-09-25,4,22.293,NOR,@,DAL,L 20-21,1,9,9.00,0,0,0,,0,0,0
13,1983,1983-10-02,5,22.300,NOR,,MIA,W 17-7,2,12,6.00,0,0,0,,0,0,0
14,1983,1983-10-09,6,22.307,NOR,@,ATL,W 19-17,1,10,10.00,0,0,0,,0,0,0
15,1983,1983-10-16,7,22.314,NOR,,SFO,L 13-32,3,25,8.33,0,0,0,,0,0,0
16,1983,1983-10-23,8,22.321,NOR,@,TAM,W 24-21,0,0,,0,,,,,,
17,1983,1983-10-30,9,22.328,NOR,@,BUF,L 21-27,1,25,25.00,0,0,0,,0,0,0
18,1983,1983-11-06,10,22.335,NOR,,ATL,W 27-10,0,0,,0,,,,,,
19,1983,1983-11-13,11,22.342,NOR,@,SFO,L 0-27,2,11,5.50,0,0,0,,0,0,0
20,1983,1983-11-21,12,22.350,NOR,,NYJ,L 28-31,2,43,21.50,0,0,0,,0,0,0
21,1983,1983-11-27,13,22.356,NOR,,MIN,W 17-16,2,39,19.50,0,0,0,,0,0,0
22,1983,1983-12-04,14,22.363,NOR,@,NWE,L 0-7,1,12,12.00,0,0,0,,0,0,0
23,1983,1983-12-11,15,23.005,NOR,@,PHI,W 20-17,0,0,,0,,,,,,
24,1983,1983-12-18,16,23.012,NOR,,RAM,L 24-26,2,17,8.50,0,0,0,,0,0,0
25,1984,1984-09-02,1,23.271,NOR,,ATL,L 28-36,1,19,19.00,0,0,0,,0,0,0
26,1984,1984-09-09,2,23.278,NOR,,TAM,W 17-13,2,39,19.50,0,0,0,,0,0,0
27,1984,1984-09-16,3,23.285,NOR,@,SFO,L 20-30,1,7,7.00,0,0,0,,0,0,0
28,1984,1984-09-23,4,23.292,NOR,,STL,W 34-24,0,0,,0,,,,,,
29,1984,1984-09-30,5,23.299,NOR,@,HOU,W 27-10,3,36,12.00,0,0,0,,0,0,0
30,1984,1984-10-07,6,23.306,NOR,@,CHI,L 7-20,0,0,,0,,,,,,
31,1984,1984-10-14,7,23.313,NOR,,RAM,L 10-28,2,30,15.00,0,0,0,,0,0,0
32,1984,1984-10-21,8,23.320,NOR,@,DAL,L 27-30,2,20,10.00,0,0,0,,0,0,0
33,1984,1984-10-28,9,23.327,NOR,@,CLE,W 16-14,1,36,36.00,0,0,0,,0,0,0
34,1984,1984-11-04,10,23.334,NOR,,GNB,L 13-23,3,28,9.33,0,0,0,,0,0,0
35,1984,1984-11-11,11,23.341,NOR,@,ATL,W 17-13,0,0,,0,,,,,,
36,1984,1984-11-19,12,23.349,NOR,,PIT,W 27-24,2,19,9.50,0,0,0,,0,0,0
37,1984,1984-11-25,13,23.355,NOR,,SFO,L 3-35,1,4,4.00,0,0,0,,0,0,0
38,1984,1984-12-02,14,23.362,NOR,@,RAM,L 21-34,3,40,13.33,1,0,0,,0,1,6
39,1984,1984-12-09,15,24.003,NOR,,CIN,L 21-24,0,0,,0,,,,,,
40,1984,1984-12-15,16,24.009,NOR,@,NYG,W 10-3,0,0,,0,,,,,,
41,1985,1985-09-08,1,24.276,NOR,,KAN,L 27-47,1,8,8.00,0,0,0,,0,0,0
42,1985,1985-09-15,2,24.283,NOR,@,DEN,L 23-34,0,0,,0,,,,,,
43,1985,1985-09-22,3,24.290,NOR,,TAM,W 20-13,1,10,10.00,0,0,0,,0,0,0
44,1985,1985-09-29,4,24.297,NOR,@,SFO,W 20-17,0,0,,0,,,,,,
45,1985,1985-10-06,5,24.304,NOR,,PHI,W 23-21,0,0,,0,,,,,,
46,1985,1985-10-13,6,24.311,NOR,@,RAI,L 13-23,0,0,,0,,,,,,
47,1985,1985-10-20,7,24.318,NOR,@,ATL,L 24-31,2,23,11.50,0,0,0,,0,0,0
48,1985,1985-10-27,8,24.325,NOR,,NYG,L 13-21,1,3,3.00,0,0,0,,0,0,0
49,1985,1985-11-03,9,24.332,NOR,@,RAM,L 10-28,2,17,8.50,0,0,0,,0,0,0
