ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
1,1989,1989-09-10,1,22.054,NYJ,,NWE,L 24-27,0,0,,0,,,,
2,1989,1989-09-17,2,22.061,NYJ,@,CLE,L 24-38,0,0,,0,,,,
3,1989,1989-09-24,3,22.068,NYJ,@,MIA,W 40-33,0,0,,0,,,,
4,1989,1989-10-01,4,22.075,NYJ,,IND,L 10-17,0,0,,0,1.0,0,0,0
5,1989,1989-10-09,5,22.083,NYJ,,RAI,L 7-14,0,0,,0,,,,
6,1989,1989-10-15,6,22.089,NYJ,@,NOR,L 14-29,0,0,,0,,,,
7,1989,1989-10-22,7,22.096,NYJ,@,BUF,L 3-34,0,0,,0,0.5,0,0,0
8,1989,1989-10-29,8,22.103,NYJ,,SFO,L 10-23,0,0,,0,,,,
9,1989,1989-11-05,9,22.110,NYJ,@,NWE,W 27-26,1,-5,-5.00,0,0.0,0,0,0
10,1989,1989-11-12,10,22.117,NYJ,,MIA,L 23-31,0,0,,0,,,,
11,1989,1989-11-19,11,22.124,NYJ,@,IND,L 10-27,0,0,,0,1.0,0,0,0
12,1989,1989-11-26,12,22.131,NYJ,,ATL,W 27-7,0,0,,0,,,,
13,1989,1989-12-03,13,22.138,NYJ,@,SDG,W 20-17,0,0,,0,1.0,0,0,0
14,1989,1989-12-10,14,22.145,NYJ,,PIT,L 0-13,0,0,,0,,,,
15,1989,1989-12-17,15,22.152,NYJ,@,RAM,L 14-38,0,0,,0,1.0,0,0,0
16,1989,1989-12-23,16,22.158,NYJ,,BUF,L 0-37,0,0,,0,,,,
17,1990,1990-09-09,1,23.053,NYJ,@,CIN,L 20-25,,,,,,,,
18,1990,1990-09-16,2,23.060,NYJ,,CLE,W 24-21,0,0,,0,1.0,0,0,0
19,1990,1990-09-24,3,23.068,NYJ,,BUF,L 7-30,0,0,,0,1.0,0,0,0
20,1990,1990-09-30,4,23.074,NYJ,@,NWE,W 37-13,,,,,,,,
21,1990,1990-10-07,5,23.081,NYJ,@,MIA,L 16-20,,,,,,,,
22,1990,1990-10-14,6,23.088,NYJ,,SDG,L 3-39,0,0,,0,1.0,0,0,0
23,1990,1990-10-21,7,23.095,NYJ,@,BUF,L 27-30,,,,,,,,
24,1990,1990-10-28,8,23.102,NYJ,@,HOU,W 17-12,,,,,,,,
25,1990,1990-11-04,9,23.109,NYJ,,DAL,W 24-9,,,,,,,,
26,1990,1990-11-11,10,23.116,NYJ,,MIA,L 3-17,,,,,,,,
27,1990,1990-11-18,11,23.123,NYJ,@,IND,L 14-17,0,0,,0,1.0,0,0,0
28,1990,1990-11-25,12,23.130,NYJ,,PIT,L 7-24,,,,,,,,
29,1990,1990-12-02,13,23.137,NYJ,@,SDG,L 17-38,,,,,,,,
30,1990,1990-12-16,14,23.151,NYJ,,IND,L 21-29,,,,,,,,
31,1990,1990-12-23,15,23.158,NYJ,,NWE,W 42-7,,,,,,,,
32,1990,1990-12-30,16,23.165,NYJ,@,TAM,W 16-14,,,,,,,,
33,1991,1991-09-01,1,24.045,NYJ,,TAM,W 16-13,,,,,,,,
34,1991,1991-09-08,2,24.052,NYJ,@,SEA,L 13-20,,,,,,,,
35,1991,1991-09-15,3,24.059,NYJ,,BUF,L 20-23,0,0,,0,2.0,0,0,0
36,1991,1991-09-23,4,24.067,NYJ,@,CHI,L 13-19,0,0,,0,1.0,0,0,0
