ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2013,2013-11-03,8,23.336,OAK,,PHI,L 20-49,,7,15,46.67,87,0,0,65.1,0,0,5.80,5.80,0,0,,0,0.0,0,0
2,2013,2013-11-17,10,23.350,OAK,@,HOU,W 28-23,*,18,32,56.25,197,3,0,105.9,2,21,6.16,8.03,3,-3,-1.00,0,0.0,0,0
3,2013,2013-11-24,11,23.357,OAK,,TEN,L 19-23,*,19,32,59.38,260,1,1,82.8,0,0,8.13,7.34,2,6,3.00,0,0.0,0,0
4,2013,2013-11-28,12,23.361,OAK,@,DAL,L 24-31,*,18,30,60.00,255,0,1,73.6,0,0,8.50,7.00,2,-1,-0.50,0,0.0,0,0
5,2013,2013-12-08,13,24.006,OAK,@,NYJ,L 27-37,*,18,31,58.06,245,2,1,91.5,3,32,7.90,7.74,2,20,10.00,0,0.0,0,0
6,2013,2013-12-15,14,24.013,OAK,,KAN,L 31-56,*,18,35,51.43,297,2,4,59.8,0,0,8.49,4.49,1,0,0.00,0,0.0,0,0
7,2013,2013-12-22,15,24.020,OAK,@,SDG,L 13-26,*,20,36,55.56,206,0,1,60.6,1,0,5.72,4.47,1,5,5.00,0,0.0,0,0
8,2014,2014-09-28,4,24.300,OAK,,MIA,L 14-38,,12,19,63.16,129,1,2,61.0,1,8,6.79,3.11,2,3,1.50,0,0.0,1,0
9,2015,2015-09-13,1,25.285,OAK,,CIN,L 13-33,,23,31,74.19,142,2,1,91.1,2,20,4.58,4.42,0,0,,0,0.0,0,0
10,2015,2015-11-29,11,25.362,OAK,@,TEN,W 24-21,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,0,0
11,2016,2016-11-27,11,26.361,OAK,,CAR,W 35-32,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,0,0
12,2016,2016-12-24,15,27.022,OAK,,IND,W 33-25,,2,3,66.67,29,0,0,97.9,0,0,9.67,9.67,3,-3,-1.00,0,0.0,0,0
13,2016,2017-01-01,16,27.030,OAK,@,DEN,L 6-24,*,6,11,54.55,21,0,0,60.0,0,0,1.91,1.91,0,0,,0,0.0,0,0
