ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1979,1979-10-07,6,23.305,CLE,,PIT,L 35-51,1,7,7.00,0,0,0,,0,9,172,19.11,0,2,58,29.00,0,0,0
2,1979,1979-10-14,7,23.312,CLE,,WAS,L 9-13,0,0,,0,0,0,,0,4,86,21.50,0,4,22,5.50,0,0,0
3,1979,1979-10-21,8,23.319,CLE,,CIN,W 28-27,0,0,,0,0,0,,0,4,85,21.25,0,2,25,12.50,0,0,0
4,1979,1979-10-28,9,23.326,CLE,@,STL,W 38-20,2,61,30.50,1,0,0,,0,3,68,22.67,0,1,9,9.00,0,1,6
5,1979,1979-11-04,10,23.333,CLE,@,PHI,W 24-19,4,35,8.75,0,0,0,,0,3,59,19.67,0,3,24,8.00,0,0,0
6,1979,1979-11-11,11,23.340,CLE,,SEA,L 24-29,4,10,2.50,0,0,0,,0,3,61,20.33,0,4,19,4.75,0,0,0
7,1979,1979-11-18,12,23.347,CLE,,MIA,W 30-24,3,15,5.00,0,0,0,,0,5,124,24.80,0,3,33,11.00,0,0,0
8,1979,1979-11-25,13,23.354,CLE,@,PIT,L 30-33,1,-3,-3.00,0,1,8,8.00,0,8,162,20.25,0,0,0,,0,0,0
9,1979,1979-12-02,14,23.361,CLE,,HOU,W 14-7,1,7,7.00,0,0,0,,0,1,4,4.00,0,4,68,17.00,0,0,0
10,1979,1979-12-09,15,24.003,CLE,@,OAK,L 14-19,2,-2,-1.00,0,0,0,,0,6,113,18.83,0,2,21,10.50,0,0,0
11,1979,1979-12-16,16,24.010,CLE,@,CIN,L 12-16,4,22,5.50,0,1,6,6.00,0,4,80,20.00,0,4,16,4.00,0,0,0
12,1980,1980-09-07,1,24.276,CLE,@,NWE,L 17-34,0,0,,0,0,0,,0,5,88,17.60,0,0,0,,0,0,0
13,1980,1980-09-15,2,24.284,CLE,,HOU,L 7-16,0,0,,0,0,0,,0,2,31,15.50,0,0,0,,0,0,0
14,1980,1980-09-21,3,24.290,CLE,,KAN,W 20-13,0,0,,0,0,0,,0,1,11,11.00,0,0,0,,0,0,0
15,1980,1980-09-28,4,24.297,CLE,@,TAM,W 34-27,0,0,,0,0,0,,0,3,63,21.00,0,0,0,,0,0,0
16,1980,1980-10-05,5,24.304,CLE,,DEN,L 16-19,0,0,,0,0,0,,0,3,98,32.67,0,0,0,,0,0,0
17,1980,1980-10-12,6,24.311,CLE,@,SEA,W 27-3,1,7,7.00,0,0,0,,0,0,0,,0,1,13,13.00,0,0,0
18,1980,1980-10-19,7,24.318,CLE,,GNB,W 26-21,0,0,,0,0,0,,0,2,44,22.00,0,0,0,,0,0,0
19,1980,1980-10-26,8,24.325,CLE,,PIT,W 27-26,0,0,,0,0,0,,0,1,25,25.00,0,1,1,1.00,0,0,0
20,1980,1980-11-03,9,24.333,CLE,,CHI,W 27-21,0,0,,0,0,0,,0,1,24,24.00,0,0,0,,0,0,0
21,1980,1980-11-09,10,24.339,CLE,@,BAL,W 28-27,0,0,,0,0,0,,0,2,49,24.50,0,1,6,6.00,0,0,0
22,1980,1980-11-16,11,24.346,CLE,@,PIT,L 13-16,1,19,19.00,0,0,0,,0,3,50,16.67,0,2,21,10.50,0,0,0
23,1980,1980-11-23,12,24.353,CLE,,CIN,W 31-7,0,0,,0,0,0,,0,2,45,22.50,0,0,0,,0,0,0
24,1980,1980-11-30,13,24.360,CLE,@,HOU,W 17-14,0,0,,0,0,0,,0,2,23,11.50,0,1,0,0.00,0,0,0
25,1980,1980-12-07,14,25.001,CLE,,NYJ,W 17-14,0,0,,0,0,0,,0,2,67,33.50,0,0,0,,0,0,0
26,1980,1980-12-14,15,25.008,CLE,@,MIN,L 23-28,0,0,,0,0,0,,0,2,38,19.00,0,0,0,,0,0,0
27,1980,1980-12-21,16,25.015,CLE,@,CIN,W 27-24,0,0,,0,0,0,,0,1,35,35.00,0,0,0,,0,0,0
28,1981,1981-09-07,1,25.275,CLE,,SDG,L 14-44,0,0,,0,0,0,,0,1,16,16.00,0,1,8,8.00,0,0,0
29,1981,1981-09-13,2,25.281,CLE,,HOU,L 3-9,,,,,,,,,,,,,0,0,,0,,
30,1981,1981-09-20,3,25.288,CLE,@,CIN,W 20-17,,,,,,,,,,,,,0,0,,0,,
31,1981,1981-09-27,4,25.295,CLE,,ATL,W 28-17,,,,,,,,,,,,,1,7,7.00,0,,
32,1981,1981-10-04,5,25.302,CLE,@,RAM,L 16-27,,,,,,,,,,,,,0,0,,0,,
33,1981,1981-10-11,6,25.309,CLE,@,PIT,L 7-13,0,0,,0,0,0,,0,1,22,22.00,0,4,16,4.00,0,0,0
34,1981,1981-10-18,7,25.316,CLE,,NOR,W 20-17,0,0,,0,0,0,,0,0,0,,0,5,28,5.60,0,0,0
35,1981,1981-10-25,8,25.323,CLE,,BAL,W 42-28,0,0,,0,0,0,,0,1,32,32.00,0,7,50,7.14,0,0,0
36,1981,1981-11-01,9,25.330,CLE,@,BUF,L 13-22,0,0,,0,0,0,,0,2,42,21.00,0,2,23,11.50,0,0,0
37,1981,1981-11-08,10,25.337,CLE,@,DEN,L 20-23,0,0,,0,0,0,,0,5,114,22.80,0,4,38,9.50,0,0,0
38,1981,1981-11-15,11,25.344,CLE,@,SFO,W 15-12,0,0,,0,0,0,,0,3,82,27.33,0,3,50,16.67,0,0,0
39,1981,1981-11-22,12,25.351,CLE,,PIT,L 10-32,0,0,,0,0,0,,0,4,60,15.00,0,1,0,0.00,0,0,0
40,1981,1981-11-29,13,25.358,CLE,,CIN,L 21-41,0,0,,0,0,0,,0,7,169,24.14,0,4,29,7.25,0,0,0
41,1981,1981-12-03,14,25.362,CLE,@,HOU,L 13-17,0,0,,0,0,0,,0,4,84,21.00,0,0,0,,0,0,0
42,1981,1981-12-12,15,26.006,CLE,,NYJ,L 13-14,0,0,,0,0,0,,0,3,94,31.33,0,1,6,6.00,0,0,0
43,1981,1981-12-20,16,26.014,CLE,@,SEA,L 21-42,0,0,,0,0,0,,0,5,98,19.60,0,1,0,0.00,0,0,0
44,1982,1982-09-12,1,26.280,CLE,@,SEA,W 21-7,0,0,,0,0,0,,0,1,17,17.00,0,0,0,,0,0,0
45,1982,1982-09-19,2,26.287,CLE,,PHI,L 21-24,0,0,,0,1,31,31.00,0,2,44,22.00,0,0,0,,0,0,0
46,1982,1982-11-21,3,26.350,CLE,,NWE,W 10-7,0,0,,0,1,4,4.00,0,1,25,25.00,0,3,23,7.67,0,0,0
47,1982,1982-11-25,4,26.354,CLE,@,DAL,L 14-31,0,0,,0,3,43,14.33,1,3,59,19.67,0,0,0,,0,1,6
48,1982,1982-12-05,5,26.364,CLE,,SDG,L 13-30,0,0,,0,0,0,,0,2,29,14.50,0,0,0,,0,0,0
49,1982,1982-12-12,6,27.006,CLE,@,CIN,L 10-23,2,14,7.00,0,0,0,,0,4,49,12.25,0,0,0,,0,0,0
50,1982,1982-12-19,7,27.013,CLE,,PIT,W 10-9,0,0,,0,0,0,,0,2,44,22.00,0,1,10,10.00,0,0,0
51,1982,1982-12-26,8,27.020,CLE,@,HOU,W 20-14,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0
52,1982,1983-01-02,9,27.027,CLE,@,PIT,L 21-37,0,0,,0,0,0,,0,6,141,23.50,0,0,0,,0,0,0
53,1983,1983-09-04,1,27.272,CLE,,MIN,L 21-27,0,0,,0,0,0,,0,2,34,17.00,0,1,7,7.00,0,0,0
54,1983,1983-09-11,2,27.279,CLE,@,DET,W 31-26,0,0,,0,0,0,,0,3,67,22.33,0,0,0,,0,0,0
55,1983,1983-09-15,3,27.283,CLE,,CIN,W 17-7,0,0,,0,0,0,,0,2,50,25.00,0,4,17,4.25,0,0,0
56,1983,1983-09-25,4,27.293,CLE,@,SDG,W 30-24,1,2,2.00,0,0,0,,0,0,0,,0,2,13,6.50,0,0,0
57,1983,1983-10-02,5,27.300,CLE,,SEA,L 9-24,0,0,,0,0,0,,0,1,15,15.00,0,2,11,5.50,0,0,0
58,1983,1983-10-09,6,27.307,CLE,,NYJ,W 10-7,0,0,,0,1,7,7.00,0,0,0,,0,1,2,2.00,0,0,0
59,1983,1983-10-16,7,27.314,CLE,@,PIT,L 17-44,0,0,,0,2,17,8.50,0,0,0,,0,2,5,2.50,0,0,0
60,1983,1983-10-23,8,27.321,CLE,@,CIN,L 21-28,0,0,,0,0,0,,0,2,44,22.00,0,5,44,8.80,0,0,0
61,1983,1983-10-30,9,27.328,CLE,,HOU,W 25-19,0,0,,0,0,0,,0,0,0,,0,4,29,7.25,0,0,0
62,1983,1983-11-06,10,27.335,CLE,@,GNB,L 21-35,0,0,,0,0,0,,0,1,27,27.00,0,2,7,3.50,0,0,0
63,1983,1983-11-13,11,27.342,CLE,,TAM,W 20-0,0,0,,0,0,0,,0,0,0,,0,3,19,6.33,0,0,0
64,1983,1983-11-20,12,27.349,CLE,@,NWE,W 30-0,0,0,,0,0,0,,0,0,0,,0,2,10,5.00,0,0,0
65,1983,1983-11-27,13,27.356,CLE,,BAL,W 41-23,0,0,,0,1,9,9.00,0,0,0,,0,5,64,12.80,0,0,0
66,1983,1983-12-04,14,27.363,CLE,@,DEN,L 6-27,0,0,,0,0,0,,0,0,0,,0,1,11,11.00,0,0,0
67,1983,1983-12-11,15,28.005,CLE,@,HOU,L 27-34,0,0,,0,0,0,,0,0,0,,0,2,17,8.50,0,0,0
68,1983,1983-12-18,16,28.012,CLE,,PIT,W 30-17,0,0,,0,0,0,,0,0,0,,0,3,28,9.33,0,0,0
